web_enter_code,id.x,species,category,common_name,life_stage,n_s_both,zone,trophic_strategy,interaction_type,resourceName,source
,597,Haplostomella oceanica,copepod,NA,adult,Both,NA,NA,preys_on,compound tunicates (see above),"Morris, Abbott, & Haderlie; Light & Smith"
,905,Chelyosoma productum,tunicate,"Flattop sea squirt, horseshoe ascidian",adult,Both,low,filter feeder,preys_on,copepod nauplii (larvae),Light & Smith
,129,Bugula californica,bryozoan,NA,adult,both,all,filter feeder,preys_on,copepods,"Morris, Abbott, & Haderlie"
,230,Calliostoma annulatum,topsnail,purple ringed topsnail,adult,Both,low,omnivore,preys_on,copepods,"Morris, Abbott, & Haderlie; Light & Smith"
,475,Cirolana harfordi,isopod,rock isopod,adult,Both,middle,carnivore (scavenger + predator),preys_on,copepods,"Morris, Abbott, & Haderlie"
,604,Heterostichus rostratus,fish,kelpfish,juvenile,N,NA,typical predator,preys_on,copepods,D. Canestro; FishBase
,894,Parasagitta euneritica,chaetognath,NA,adult,Both,all,carnivore (scavenger + predator),preys_on,copepods,Light & Smith
,895,Flaccisagitta enflata,chaetognath,NA,adult,Both,all,carnivore (scavenger + predator),preys_on,copepods,Light & Smith
,896,Flaccisagitta enflata,chaetognath,NA,juvenile,Both,all,carnivore (scavenger + predator),preys_on,copepods,Light & Smith
,897,Mesosagitta minima,chaetognath,NA,adult,S,all,carnivore (scavenger + predator),preys_on,copepods,Light & Smith
,898,Serratosagitta bierii,chaetognath,NA,adult,S,all,carnivore (scavenger + predator),preys_on,copepods,Light & Smith
,899,Paraspadella pimukatharos,chaetognath,NA,adult,S,mid to low,carnivore (scavenger + predator),preys_on,copepods,Light & Smith; Alvariño (1987)
,934,Hybocodon prolifer,plankton,NA,medusa,Both,low,filter feeder,preys_on,copepods,Light & Smith
,212,Lottia triangularis,true limpet,triangular limpet,adult,Both,low,grazer,preys_on,coralline algae,"Morris, Abbott, & Haderlie; Light & Smith"
,229,Haliotis cracherodii,abalone,black abalone,adult,Both,all,grazer,preys_on,coralline algae,"Morris, Abbott, & Haderlie; Light & Smith"
,256,Antisabia panamensis,slipper snail,hoof snail,adult,Both,low,detritivore,preys_on,coralline algae,"Morris, Abbott, & Haderlie; Light & Smith"
,404,Tonicella lineata,chiton,NA,adult,N,low,grazer,preys_on,coralline algae,"Morris, Abbott, & Haderlie; light & Smith"
,417,Cryptochiton stelleri,chiton,gumboot chiton,adult,Both,low tidepools,grazer,preys_on,coralline algae,"Morris, Abbott, & Haderlie; Light & Smith"
,556,Cycloxanthops novemdentatus,true crab,large pebble crab,adult,Both,low,omnivore,preys_on,coralline algae,"Morris, Abbott, & Haderlie"
,558,Paraxanthias taylori,true crab,lumpy crab,adult,Both,middle to low,omnivore,preys_on,coralline algae,"Morris, Abbott, & Haderlie"
no - resource (subtidal),359,Anteaeolidiella oliviae,nudibranch,Olive's spurilla,adult,Both,low tidepools,micropredator,preys_on,Coryanactis californica,"Morris, Abbott, & Haderlie"
no - resource (sand),350,Antiopella barbarensis,nudibranch,cockscomb,adult,Both,low,micropredator,preys_on,Corymorpha palma,"Morris, Abbott, & Haderlie"
no - resource (sand),355,Cuthona divae,nudibranch,rose-pink cuthona,adult,Both,low,omnivore,preys_on,Corymorpha sp.,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,1923,Dendronotus frondosus,nudibranch,NA,adult,Both,all,micropredator,preys_on,Coryne spp.,Light & Smith
,1129,Holobomolochus spinulus,copepod,NA,adult,NA,all,parasite,parasitic_on,Cottidae,Light & Smith
,1192,Clavella parva,copepod,NA,adult,NA,all,parasite,parasitic_on,Cottidae,Light & Smith
,1193,Naobranchia occidentalis,copepod,NA,adult,NA,all,parasite,parasitic_on,Cottidae,Light & Smith
,420,Enteroctopus dofleini,octopus,giant Pacific octopus,small,Both,low tidepools,typical predator,preys_on,crabs,"Morris, Abbott, & Haderlie; Light & Smith"
,1745,Enteroctopus dofleini,octopus,giant Pacific octopus,adult,N,low tidepools,typical predator,preys_on,crabs,Light & Smith
,1219,Argeia pugettensis,isopod,NA,adult,Both,all,parasite,parasitic_on,Crangonidae,Light & Smith
expanded,343,Triopha maculata,nudibranch,spotted triopha,adult,Both,low tidepools,micropredator,preys_on,Crisia,"Morris, Abbott, & Haderlie"
expanded,342,Triopha catalinae,nudibranch,sea clown,adult,Both,middle to low,micropredator,preys_on,Crisia spp.,"Morris, Abbott, & Haderlie; light & Smith"
,228,Hydractinia milleri,hydroid,NA,adult,Both,low,carnivore (scavenger + predator),preys_on,crustacean larvae,"Morris, Abbott, & Haderlie"
,348,Dirona albolineata,nudibranch,chalk lined dirona,adult,Both,low tidepools,micropredator,preys_on,crustaceans,"Morris, Abbott, & Haderlie; Light & Smith"
,419,Octopus rubescens,octopus,red octopus,adult,N,low,typical predator,preys_on,crustaceans,"Morris, Abbott, & Haderlie; Light & Smith"
,428,Oxydromus pugettensis,polychaete,NA,adult,Both,low,omnivore,preys_on,crustaceans,"Morris, Abbott, & Haderlie; Light & Smith"
,556,Cycloxanthops novemdentatus,true crab,large pebble crab,adult,Both,low,omnivore,preys_on,crustaceans,"Morris, Abbott, & Haderlie"
,1489,Amblopusa brevipes,insect,NA,adult,NA,all,typical predator,preys_on,crustaceans,Light & Smith
,1491,Bryobiota bicolor,insect,NA,adult,NA,all,typical predator,preys_on,crustaceans,Light & Smith
,1492,Bryobiota giulianii,insect,NA,adult,NA,all,typical predator,preys_on,crustaceans,Light & Smith
,1493,Bryothinusa catalinae,insect,NA,adult,NA,all,typical predator,preys_on,crustaceans,Light & Smith
,1501,Diaulota densissima,insect,NA,adult,NA,high to middle,typical predator,preys_on,crustaceans,Light & Smith
,1502,Diaulota fulviventris,insect,NA,adult,NA,all,typical predator,preys_on,crustaceans,Light & Smith
,1503,Diaulota vandykei,insect,NA,adult,NA,all,typical predator,preys_on,crustaceans,Light & Smith
,1504,Diaulota vandykei,insect,NA,larvae,NA,all,typical predator,preys_on,crustaceans,Light & Smith
,1505,Diaulota harteri,insect,NA,adult,NA,all,typical predator,preys_on,crustaceans,Light & Smith
,1513,Liparocephalus brevipennis,insect,NA,adult,NA,all,typical predator,preys_on,crustaceans,Light & Smith
,1514,Liparocephalus cordicollis,insect,NA,adult,NA,middle,typical predator,preys_on,crustaceans,Light & Smith
,1515,Liparocephalus cordicollis,insect,NA,larvae,NA,middle,typical predator,preys_on,crustaceans,Light & Smith
,1516,Liparocephalus cordicollis,insect,NA,pupae,NA,middle,typical predator,preys_on,crustaceans,Light & Smith
,1519,Pontomalota terminalia,insect,NA,adult,NA,all,typical predator,preys_on,crustaceans,Light & Smith
,1520,Tarphiota geniculata,insect,NA,adult,NA,all,typical predator,preys_on,crustaceans,Light & Smith
,1521,Tarphiota pallidipes,insect,NA,adult,NA,all,typical predator,preys_on,crustaceans,Light & Smith
,1522,Thinusa maritima,insect,NA,adult,NA,all,typical predator,preys_on,crustaceans,Light & Smith
,1523,Thinusa fletcheri,insect,NA,adult,NA,all,typical predator,preys_on,crustaceans,Light & Smith
,1707,Lineus ruber,nemertean,ribbon worm,adult,N,middle,omnivore,preys_on,crustaceans,Light & Smith
,1709,Lineus ruber,nemertean,ribbon worm,juvenile,N,middle,omnivore,preys_on,crustaceans,Light & Smith
,455,Pollicipes polymerus,barnacle,leaf barnacle,adult,Both,middle,filter feeder,preys_on,crustaceans <1mm,"Morris, Abbott, & Haderlie"
,557,Lophopanopeus leucomanus leucomanus,true crab,NA,adult,Both,low,omnivore,preys_on,crustose coralline algae,"Morris, Abbott, & Haderlie"
,215,Lottia scutum,true limpet,plate limpet,adult,N,middle,grazer,preys_on,crustose red algae,"Morris, Abbott, & Haderlie; Light & Smith"
yes,281,Acanthinucella punctulata,snail,spotted unicorn,adult,Both,high,typical predator,preys_on,Chthamalus dalli,"Morris, Abbott, & Haderlie; Light & Smith"
yes,284,Nucella emarginata,snail,emarginate dogwinkle,adult,Both,high to middle,typical predator,preys_on,Chthamalus dalli,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,1471,Oedoparena glauca,insect,fly,larvae,NA,all,parasite,parasitic_on,Cthamalus adults,Light & Smith
no - resource (subtidal),143,Dermasterias imbricata,asteroid,leather star,adult,Both,low,typical predator,preys_on,Cucumaria lubrica (subtidal),"Morris, Abbott, & Haderlie; Light & Smith"
no - resource (subtidal),146,Solaster dawsoni,asteroid,sun star,adult,N,low,typical predator,preys_on,Cucumaria lubrica (subtidal),"Morris, Abbott, & Haderlie; Light & Smith"
no - resource (atlantic),559,Fabia subquadrata,true crab,pea crab,adult,Both,low,filter feeder,parasitic_on,Cyclocardia borealis,"Morris, Abbott, & Haderlie; Light & Smith"
no - resource (sand),559,Fabia subquadrata,true crab,pea crab,adult,Both,low,filter feeder,parasitic_on,Cyclocardia ventricosa,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,1825,Lamellaria diegoensis,snail,NA,adult,N,all,micropredator,preys_on,Cystodytes,Light & Smith
,558,Paraxanthias taylori,true crab,lumpy crab,adult,Both,middle to low,omnivore,preys_on,dead animal matter,"Morris, Abbott, & Haderlie"
,153,Pisaster brevispinus,asteroid,pink star,adult,Both,low,typical predator,preys_on,dead animals,"Morris, Abbott, & Haderlie; Light & Smith"
,357,Hermissenda opalescens,nudibranch,opalescent,adult,Both,low,omnivore,preys_on,dead animals,"Morris, Abbott, & Haderlie; Lindsay, Valdez 2016"
,1979,Mediaster aequalis,asteroid,NA,adult,N,all,carnivore (scavenger + predator),preys_on,dead animals,Light & Smith
,230,Calliostoma annulatum,topsnail,purple ringed topsnail,adult,Both,low,omnivore,preys_on,dead fish,"Morris, Abbott, & Haderlie; Light & Smith"
,554,Cancer productus,true crab,red crab,juvenile,Both,low,carnivore (scavenger + predator),preys_on,dead fishes,"Morris, Abbott, & Haderlie; Light & Smith"
,555,Cancer productus,true crab,red crab,adult,Both,low,carnivore (scavenger + predator),preys_on,dead fishes,"Morris, Abbott, & Haderlie; Light & Smith"
,144,Patiria miniata,asteroid,bat star,adult,Both,low,carnivore (scavenger + predator),preys_on,dead or alive,"Morris, Abbott, & Haderlie; Light & Smith"
,761,Ligia pallasii,isopod,NA,adult,Both,high,detritivore,preys_on,dead plants,Walla Walla; Light & Smith
,1717,Lineus sanguineus,nemertean,ribbon worm,adult,Both,high to middle,carnivore (scavenger + predator),preys_on,dead shrimp,Light & Smith
,1474,Coelopa (Fucomyia) frigida,insect,kelp fly,larvae,NA,all,detritivore,preys_on,decaying kelp,Light & Smith; PO
,1531,Emphyastes fucicola,insect,NA,larvae,NA,all,detritivore,preys_on,decaying kelp,Light & Smith
,1518,Philonthus nudus,insect,NA,adult,NA,all,detritivore,preys_on,decaying organic matter,Light & Smith
no - resource (sand),153,Pisaster brevispinus,asteroid,pink star,adult,Both,low,typical predator,preys_on,Dendraster excentricus,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,342,Triopha catalinae,nudibranch,sea clown,adult,Both,middle to low,micropredator,preys_on,Dendrobeania spp.,"Morris, Abbott, & Haderlie; light & Smith"
,142,Linckia columbiae,asteroid,NA,adult,S,low,NA,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,159,Apostichopus californicus,cucumber,NA,adult,Both,low,deposit feeder,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,161,Amphipholis squamata,brittle star,NA,adult,Both,low,deposit feeder,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,166,Ophioderma panamense,brittle star,NA,adult,Both,low tidepools,deposit feeder,preys_on,detritus,"Morris, Abbott, & Haderlie"
,167,Ophiopteris papillosa,brittle star,NA,adult,Both,low tidepools,carnivore (scavenger + predator),preys_on,detritus,"Morris, Abbott, & Haderlie"
,230,Calliostoma annulatum,topsnail,purple ringed topsnail,adult,Both,low,omnivore,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,232,Calliostoma ligatum,topsnail,blue topsnail,adult,Both,low,omnivore,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,256,Antisabia panamensis,slipper snail,hoof snail,adult,Both,low,detritivore,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,262,Crepidula nummaria,slipper snail,white slipper snail,adult,Both,low,filter feeder,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,263,Crepidula onyx,slipper snail,onyx slipper snail,adult,S,low,filter feeder,preys_on,detritus,"Morris, Abbott, & Haderlie"
,290,Alia carinata,snail,carinated dove snail,adult,Both,low,detritivore,preys_on,detritus,"Morris, Abbott, & Haderlie"
,294,Callianax baetica,snail,purple olive,adult,Both,low,scavenger,preys_on,detritus,"Morris, Abbott, & Haderlie"
,367,Mytilus edulis,mussel,bay mussel,adult,Both,low,filter feeder,preys_on,detritus,"Morris, Abbott, & Haderlie"
,374,Lasaea adansoni,clam,NA,adult,Both,high to middle,filter feeder,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,429,Nereis grubei,polychaete,nereid,adult,Both,middle to low,omnivore,preys_on,detritus,"Morris, Abbott, & Haderlie"
,432,Arabella iricolor,polychaete,NA,adult,Both,low,scavenger,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,433,Arabella endonata,polychaete,NA,adult,Both,low,parasite,preys_on,detritus,"Morris, Abbott, & Haderlie"
,434,Cirriformia luxuriosa,polychaete,NA,juvenile,Both,middle to low,filter feeder,preys_on,detritus,"Morris, Abbott, & Haderlie"
,435,Dodecaceria fewkesi,polychaete,NA,adult,Both,middle,deposit feeder,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,439,Pectinaria californiensis,polychaete,terebellid tubeworm,adult,NA,very low,filter feeder,preys_on,detritus,"Morris, Abbott, & Haderlie"
,441,Thelepus setosus,polychaete,feather duster worm,adult,Both,low,deposit feeder,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,452,Trypetesa lateralis,barnacle,NA,adult,N,middle to low,symbiotic egg predator,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,503,Polycheria osborni,amphipod,NA,adult,Both,low,grazer,preys_on,detritus,"Morris, Abbott, & Haderlie"
,505,Caprella californica,amphipod,caprellid,adult,Both,low,omnivore,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,521,Hapalogaster cavicauda,true crab,NA,adult,Both,low,filter feeder,preys_on,detritus,"Morris, Abbott, & Haderlie"
,532,Petrolisthes cinctipes,porcelain crab,flat porcelain crab,adult,N,middle to low,filter feeder,preys_on,detritus,"Morris, Abbott, & Haderlie"
,535,Pachycheles rudis,porcelain crab,thick clawed porcelain crab,adult,Both,low,filter feeder,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,566,Pachygrapsus crassipes,true crab,striped shore crab,adult,Both,high to middle,omnivore,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,568,Tigriopus californicus,copepod,tig,adult,Both,high,omnivore,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,577,Neomachilis halophila,insect,bristletail,adult,Both,high,grazer,preys_on,detritus,"Morris, Abbott, & Haderlie; Light & Smith"
,1480,Neochthebius vandykei,insect,NA,adult,NA,high,detritivore,preys_on,detritus,Light & Smith
,1532,Thalasselephas testaceus,insect,NA,adult,NA,high,detritivore,preys_on,detritus,Light & Smith
yes,148,Leptasterias pusilla,asteroid,NA,adult,N,pools,typical predator,preys_on,Diala acuta,"Morris, Abbott, & Haderlie; Light & Smith"
,154,Cucumaria pseudocurata,cucumber,NA,adult,N,middle,grazer,preys_on,diatom film,"Morris, Abbott, & Haderlie; Light & Smith"
,412,Mopalia ciliata,chiton,NA,adult,Both,middle to low,omnivore,preys_on,diatoms,"Morris, Abbott, & Haderlie; Light & Smith"
,414,Mopalia lignosa,chiton,NA,adult,N,middle to low,omnivore,preys_on,diatoms,"Morris, Abbott, & Haderlie; Light & Smith"
,442,Bispira sp.,polychaete,plume worm,adult,Both,low,filter feeder,preys_on,diatoms,"Morris, Abbott, & Haderlie; Light & Smith"
,503,Polycheria osborni,amphipod,NA,adult,Both,low,grazer,preys_on,diatoms,"Morris, Abbott, & Haderlie"
,504,Oligochinus lighti,gammarid,NA,adult,Both,high to middle,grazer,preys_on,diatoms,"Morris, Abbott, & Haderlie"
,529,Petrolisthes eriomerus,porcelain crab,porcelain crab,adult,Both,low,filter feeder,preys_on,diatoms,"Morris, Abbott, & Haderlie"
,567,Hemigrapsus nudus,true crab,purple shore crab,adult,N,middle to low,omnivore,preys_on,diatoms,"Morris, Abbott, & Haderlie"
,1472,Oedoparena glauca,insect,fly,adult,NA,all,grazer,preys_on,diatoms,Light & Smith
,1803,Alvania compacta,microsnail,NA,adult,N,all,grazer,preys_on,diatoms,Light & Smith
,1804,Alvania almo,microsnail,NA,adult,N,all,grazer,preys_on,diatoms,Light & Smith
,1805,Alvinia aequisculpta,microsnail,NA,adult,N,all,grazer,preys_on,diatoms,Light & Smith
,1806,Alvinia purpurea,microsnail,NA,adult,N,all,grazer,preys_on,diatoms,Light & Smith
,1807,Onoba carpenteri,microsnail,NA,adult,N,all,grazer,preys_on,diatoms,Light & Smith
,1808,Onoba mighelsii,microsnail,NA,adult,N,all,grazer,preys_on,diatoms,Light & Smith
,1880,Littorina subrotundata,limpet,NA,adult,N,all,unknown,preys_on,diatoms,Light & Smith
,107,Metridium senile,anemone,NA,adult,Both,low,filter feeder,preys_on,Diet is mostly small zooplankton,"Morris, Abbott, & Haderlie; Light & Smith"
,142,Linckia columbiae,asteroid,NA,adult,S,low,NA,preys_on,diet unknown,"Morris, Abbott, & Haderlie; Light & Smith"
,1878,Littorina plena,limpet,NA,adult,Both,all,unknown,preys_on,diet),Light & Smith
,102,Epiactis prolifera,anemone,NA,adult,Both,"middle, low",filter feeder,preys_on,dietary studies lacking,"Morris, Abbott, & Haderlie; Light & Smith"
yes,353,Flabellinopsis iodinea,nudibranch,NA,adult,Both,low,micropredator,preys_on,Diplosoma macdonaldi,"Morris, Abbott, & Haderlie"
,1707,Lineus ruber,nemertean,ribbon worm,adult,N,middle,omnivore,preys_on,dissolved organics,Light & Smith
,1709,Lineus ruber,nemertean,ribbon worm,juvenile,N,middle,omnivore,preys_on,dissolved organics,Light & Smith
,226,Haliotis fulgens,abalone,green abalone,adult,S,low,grazer,preys_on,drift algae,"Morris, Abbott, & Haderlie; Light & Smith"
,227,Haliotis corrugata,abalone,pink abalone,adult,S,low,grazer,preys_on,drift algae,"Morris, Abbott, & Haderlie; Light & Smith"
,229,Haliotis cracherodii,abalone,black abalone,adult,Both,all,grazer,preys_on,drift algae,"Morris, Abbott, & Haderlie; Light & Smith"
,237,Tegula funebralis,topsnail,black turban snail,adult,Both,middle,grazer,preys_on,drift algae,"Morris, Abbott, & Haderlie"
,430,Platynereis bicanaliculata,polychaete,NA,adult,Both,low,grazer,preys_on,drift algae,"Morris, Abbott, & Haderlie; Light & Smith"
,524,Pagurus samuelis,hermit crab,blue banded hermit crab,adult,Both,high to middle,scavenger,preys_on,drift algae,"Morris, Abbott, & Haderlie"
no - resource (atlantic),1923,Dendronotus frondosus,nudibranch,NA,adult,Both,all,micropredator,preys_on,Dynamena pumila,Light & Smith
no - resource (subtidal),310,Cadlina limbaughorum,nudibranch,Limbaugh's cadlina,adult,S,low,micropredator,preys_on,Dysidea amblia,"Morris, Abbott, & Haderlie; Light & Smith"
no - resource (subtidal),312,Cadlina luteomarginata,nudibranch,yellow edged cadlina,adult,Both,low,micropredator,preys_on,Dysidea amblia,"Morris, Abbott, & Haderlie; Light & Smith"
no - resource (subtidal),316,Felimare porterae,nudibranch,Porter's nudibranch,adult,Both,low,micropredator,preys_on,Dysidea amblia,"Morris, Abbott, & Haderlie"
no - resource (subtidal),317,Felimare californiensis,nudibranch,"blue, gold nudibranch",adult,Both,low,micropredator,preys_on,Dysidea amblia,"Morris, Abbott, & Haderlie"
no - resource (subtidal),1906,Hypselodoris californiensis,nudibranch,NA,adult,Both,all,micropredator,preys_on,Dysidea amblia,Light & Smith
no - resource (subtidal),1907,Mexichromis porterae,nudibranch,NA,adult,Both,all,micropredator,preys_on,Dysidea amblia.,Light & Smith
,165,Ophioplocus esmarki,brittle star,NA,adult,Both,low tidepools,carnivore (scavenger + predator),preys_on,eats dying or slow moving small animals,"Morris, Abbott, & Haderlie; Light & Smith"
,1365,Chromopleustes lineatus,gammarid,NA,adult,NA,all,micropredator,preys_on,echinoderms,Light & Smith
,348,Dirona albolineata,nudibranch,chalk lined dirona,adult,Both,low tidepools,micropredator,preys_on,ectoprocts,"Morris, Abbott, & Haderlie; Light & Smith"
,246,Lacuna marmorata,littorine,chink snail,adult,Both,low,grazer,preys_on,eelgrass,"Morris, Abbott, & Haderlie; Light & Smith"
,1798,Lacuna porrecta,snail,NA,adult,N,all,grazer,preys_on,eelgrass,Light & Smith
,1799,Lacuna unifasciata,snail,NA,adult,Both,all,grazer,preys_on,eelgrass,Light & Smith
,905,Chelyosoma productum,tunicate,"Flattop sea squirt, horseshoe ascidian",adult,Both,low,filter feeder,preys_on,eggs,Light & Smith
,1487,Aleochara (Coprochara) sulcicollis,insect,NA,adult,NA,all,typical predator,preys_on,eggs,Light & Smith
,1488,Aleochara arenaria,insect,NA,adult,NA,all,typical predator,preys_on,eggs,Light & Smith
,1497,Cafius opacus,insect,NA,adult,NA,all,typical predator,preys_on,eggs,Light & Smith
,1498,Cafius sulcicollis,insect,NA,adult,NA,all,typical predator,preys_on,eggs,Light & Smith
,1499,Cafius sulcicollis,insect,NA,larvae,NA,all,typical predator,preys_on,eggs,Light & Smith
,1500,Cafius nauticus,insect,NA,adult,NA,all,typical predator,preys_on,eggs,Light & Smith
,945,Eutonina indicans,plankton,NA,medusa,N,low,filter feeder,preys_on,eggs of invertebrates,Light & Smith
,1722,Carcinonemertes wickhami,nemertean,ribbon worm,adult,S,low,symbiotic egg predator,preys_on,eggs of Panulirus interruptus,Light & Smith
,711,Carcinonemertes epialti,nemertean,NA,adult,Both,all,symbiotic egg predator,preys_on,eggs of Pugettia producta,"Morris, Abbott, & Haderlie; Light & Smith"
yes,1322,Carinonajna barnardi,gammarid,NA,adult,NA,all,parasite,parasitic_on,Egregia,Light & Smith
yes,1324,Carinonajna bispinosa,gammarid,NA,adult,NA,all,parasite,parasitic_on,Egregia,Light & Smith
yes,1326,Carinonajna kitamati,gammarid,NA,adult,NA,all,parasite,parasitic_on,Egregia,Light & Smith
yes,538,Taliepus nuttallii,true crab,southern kelp crab,adult,S,low,grazer,preys_on,Egregia menszii,"Morris, Abbott, & Haderlie"
yes,539,Pugettia producta,true crab,kelp crab,young,Both,low,omnivore,preys_on,Egregia menszii,"Morris, Abbott, & Haderlie"
yes,208,Lottia pelta,true limpet,shield limpet,adult,Both,middle to low,grazer,preys_on,Egregia sp.,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,226,Haliotis fulgens,abalone,green abalone,adult,S,low,grazer,preys_on,Eisenia,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,1304,Peramphithoe stypotrupetes,gammarid,NA,adult,NA,very low,parasite,parasitic_on,Eisenia,Light & Smith
expanded,483,Limnoria algarum,isopod,gribble,adult,Both,low,micropredator,preys_on,Eisenia sp.,"Morris, Abbott, & Haderlie; Light & Smith"
no - resource (atlantic),341,Onchidoris muricata,nudibranch,white onchodoris,adult,N,low,micropredator,preys_on,Electra pilosa,"Morris, Abbott, & Haderlie; Light & Smith"
,1125,Bomolochus cuneatus,copepod,NA,adult,NA,all,parasite,parasitic_on,Embiotocidae,Light & Smith
,1127,Holobomolochus embiotocae,copepod,NA,adult,NA,all,parasite,parasitic_on,Embiotocidae,Light & Smith
,1183,Caligus hobsoni,copepod,NA,adult,NA,all,parasite,parasitic_on,Embiotocidae,Light & Smith
,1191,Clavella embiotocae,copepod,NA,adult,NA,all,parasite,parasitic_on,Embiotocidae,Light & Smith
,1192,Clavella parva,copepod,NA,adult,NA,all,parasite,parasitic_on,Embiotocidae,Light & Smith
,1195,Peniculus fissipes,copepod,NA,adult,NA,all,parasite,parasitic_on,Embiotocidae,Light & Smith
,196,Acmaea mitra,true limpet,white-cap limpet,adult,Both,low,grazer,preys_on,encrusting coralline algae Lithothamnion,"Morris, Abbott, & Haderlie"
,761,Ligia pallasii,isopod,NA,adult,Both,high,detritivore,preys_on,encrusting diatoms,Walla Walla; Light & Smith
,1979,Mediaster aequalis,asteroid,NA,adult,N,all,carnivore (scavenger + predator),preys_on,encrusting sponges,Light & Smith
expanded,208,Lottia pelta,true limpet,shield limpet,adult,Both,middle to low,grazer,preys_on,Endocladia sp.,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,405,Cyanoplax hartwegii,chiton,NA,adult,Both,"high tide pools, nocturnal",grazer,preys_on,Endocladia sp.,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,491,Idotea montereyensis,isopod,NA,adult,N,middle to low,unknown,preys_on,Endocladia sp.,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,566,Pachygrapsus crassipes,true crab,striped shore crab,adult,Both,high to middle,omnivore,preys_on,Endocladia sp.,"Morris, Abbott, & Haderlie; Light & Smith"
yes,566,Pachygrapsus crassipes,true crab,striped shore crab,adult,Both,high to middle,omnivore,preys_on,Ulva sp,"Morris, Abbott, & Haderlie; Light & Smith"
yes,581,Canaceoides nudatus,insect,beach fly,adult,Both,high to middle,grazer,preys_on,Ulva sp,"Morris, Abbott, & Haderlie; Light & Smith"
yes,1880,Littorina subrotundata,limpet,NA,adult,N,all,unknown,preys_on,Ulva sp,Light & Smith
,1879,Littorina saxatilis,limpet,NA,adult,N,all,unknown,preys_on,ephemeral filamentous,Light & Smith
,1877,Littorina littorea,limpet,NA,adult,N,all,grazer,preys_on,ephemeral macroalgae,Light & Smith
,1798,Lacuna porrecta,snail,NA,adult,N,all,grazer,preys_on,ephiphytic diatoms,Light & Smith
,361,Onchidella borealis,snail,leather limpet,adult,N,high to middle,grazer,preys_on,epiphytic diatoms on O. floccosa,"Morris, Abbott, & Haderlie"
,409,Nuttallina californica,chiton,Nuttall's chiton,adult,Both,middle,grazer,preys_on,erect coralline algae,"Morris, Abbott, & Haderlie; Light & Smith"
no - resource (subtidal),459,Armatobalanus nefrens,barnacle,NA,adult,Both,low,parasite,parasitic_on,Errinopora pourtalesii,"Morris, Abbott, & Haderlie"
no,1877,Littorina littorea,limpet,NA,adult,N,all,grazer,preys_on,especially small,Light & Smith
no,1717,Lineus sanguineus,nemertean,ribbon worm,adult,Both,high to middle,carnivore (scavenger + predator),preys_on,etc.,Light & Smith
no - resource (atlantic),353,Flabellinopsis iodinea,nudibranch,NA,adult,Both,low,micropredator,preys_on,Eudendridum ramosum,"Morris, Abbott, & Haderlie"
expanded,351,Orienthella trilineata,nudibranch,three-lined,adult,Both,low,micropredator,preys_on,Eudendridum sp.,"Morris, Abbott, & Haderlie"
expanded,560,Hermissenda crassicornis,nudibranch,opalescent nudibranch,adult,N,low,typical predator,preys_on,Eudendrium spp.,Light & Smith
expanded,1131,Botryllophilus abbotti,copepod,NA,adult,NA,all,parasite,parasitic_on,Eudistoma,Light & Smith
yes,335,Okenia rosacea,nudibranch,Hopkin's rose,adult,Both,low,micropredator,preys_on,Eurystomella bilabiata,"Morris, Abbott, & Haderlie"
,660,Larus occidentalis,bird,Western gull,adult,Both,all,carnivore (scavenger + predator),preys_on,everything,NA
expanded,491,Idotea montereyensis,isopod,NA,adult,N,middle to low,unknown,preys_on,Farlowia sp.,"Morris, Abbott, & Haderlie; Light & Smith"
,102,Epiactis prolifera,anemone,NA,adult,Both,"middle, low",filter feeder,preys_on,feed on small crustaceans,"Morris, Abbott, & Haderlie; Light & Smith"
