id.x,species,category,common_name,life_stage,n_s_both,zone,trophic_strategy,interaction_type,resourceName,source,resourceNum,resource_alt,r_zone,resourceCat,resourceStage,r_nsboth
595,Haplostomella dubia,copepod,NA,adult,Both,NA,parasite,parasitic_on,Aplidium arenatum,"Morris, Abbott, & Haderlie; Light & Smith",173,NA,low,tunicate,adult,Both
596,Haplostomella distincta,copepod,NA,adult,Both,NA,NA,parasitic_on,Aplidium arenatum,"Morris, Abbott, & Haderlie",173,NA,low,tunicate,adult,Both
597,Haplostomella oceanica,copepod,NA,adult,Both,NA,NA,parasitic_on,Eudistoma ritteri,"Morris, Abbott, & Haderlie; Light & Smith",182,Archidistoma ritteri,low,tunicate,adult,Both
634,Doto kya,nudibranch,NA,adult,Both,low,micropredator,preys_on,Obelia dichotoma,Light & Smith,85,NA,low,hydroid,hydroid,Both
634,Doto kya,nudibranch,NA,adult,Both,low,micropredator,preys_on,Abietinaria sp.,Light & Smith,90,NA,low,hydroid,adult,Both
634,Doto kya,nudibranch,NA,adult,Both,low,micropredator,preys_on,Eudendrium californicum,Light & Smith,84,NA,NA,hydroid,hydroid,Both
634,Doto kya,nudibranch,NA,adult,Both,low,micropredator,preys_on,Sarsia sp.,Light & Smith,767,NA,all,hydroid,hydroid,Both
634,Doto kya,nudibranch,NA,adult,Both,low,micropredator,preys_on,Sarsia sp.,Light & Smith,927,NA,all,plankton,medusa,Both
702,Crangon alaskensis,shrimp,NA,adult,Both,NA,carnivore (scavenger + predator),parasitic_on,Argeia pugettensis,PO; Light & Smith,1219,NA,all,isopod,adult,Both
706,Apodichthys fucorum,fish,rockweed gunnel,adult,Both,NA,typical predator,preys_on,small crustaceans,"Morris, Abbott,, Haderlie; FishBase",758,NA,NA,zooplankton,NA,Both
711,Carcinonemertes epialti,nemertean,NA,adult,Both,all,symbiotic egg predator,preys_on,Pachygrapsus crassipes,"Morris, Abbott, & Haderlie; Light & Smith",566,NA,high to middle,true crab,adult,Both
748,Leptochelia sp.,tanaid,NA,adult,NA,all,detritivore,preys_on,Detritus,OIMB; Light & Smith,749,NA,NA,dead stuff,NA,Both
1119,Anthessius fitchi,copepod,NA,adult,NA,all,parasite,parasitic_on,Chaceia ovoidea,Light & Smith,386,NA,low,boring clam,adult,Both
1122,Anthessius nortoni,copepod,NA,adult,NA,all,parasite,parasitic_on,Diodora aspera,Light & Smith,195,NA,low,limpet,adult,Both
1124,Bomolochus constrictus,copepod,NA,adult,NA,all,parasite,parasitic_on,Atherinops affinis,Light & Smith,8,NA,NA,fish,adult,N
1126,Bomolochus longicaudus,copepod,NA,adult,Both,all,parasite,parasitic_on,Paralabrax nebulifer,Light & Smith,2072,NA,low,fish,adult,Both
1126,Bomolochus longicaudus,copepod,NA,adult,Both,all,parasite,parasitic_on,Paralabrax nebulifer,Light & Smith,2073,NA,low,fish,juvenile,Both
1128,Holobomolochus prolixus,copepod,NA,adult,NA,all,parasite,parasitic_on,Leptocottus armatus,Light & Smith,14,NA,NA,fish,adult,N
1220,Bopyrella calmani,isopod,NA,adult,Both,all,unknown,parasitic_on,Alpheus sp.,Light & Smith,985,NA,very low,shrimp,adult,Both
1222,Cabirops montereyensis,isopod,NA,adult,N,low,unknown,parasitic_on,Aporobopyrus muguensis,Light & Smith,485,NA,host range,parasitic isopod,adult,Both
1227,Elthusa californica,isopod,NA,adult,Both,all,parasite,parasitic_on,Micrometrus minimus,Light & Smith,6,NA,NA,fish,adult,N
1227,Elthusa californica,isopod,NA,adult,Both,all,parasite,parasitic_on,Atherinops affinis,Light & Smith,8,NA,NA,fish,adult,N
1322,Carinonajna barnardi,gammarid,NA,adult,NA,all,parasite,preys_on,macroalgae,Light & Smith,759,NA,NA,algae,adult,Both
1366,Chromopleustes oculatus,gammarid,NA,adult,NA,all,micropredator,preys_on,Cucumaria miniata,Light & Smith,155,NA,low,cucumber,adult,N
1434,Tanystylum duospinum,sea spider,NA,larvae,NA,all,typical predator,parasitic_on,Orthopyxis everta,Light & Smith,964,Eucopella everta,very low,hydroid,hydroid colony,Both
1468,Chironomids,insect,midge,larvae,Both,all,grazer,preys_on,Ulva sp.,Light & Smith,601,Enteromorpha,all,algae,adult,Both
1543,Heptacyclus viridus,leech,NA,adult,not in CA,low,parasite,parasitic_on,Enophrys bison,Light & Smith,2086,NA,NA,fish,adult,N
1544,Heptacyclus buthi,leech,NA,adult,N,all,parasite,parasitic_on,Oligocottus snyderi,Light & Smith,2094,NA,NA,fish,adult,N
1544,Heptacyclus buthi,leech,NA,adult,N,all,parasite,parasitic_on,Oligocottus rubellio,Light & Smith,2093,NA,NA,fish,adult,N
1544,Heptacyclus buthi,leech,NA,adult,N,all,parasite,parasitic_on,Clinocottus analis,Light & Smith,15,NA,NA,fish,adult,Both
1545,Pterobdella abditovesiculata,leech,NA,adult,not in CA,all,parasite,parasitic_on,Leptocottus armatus,Light & Smith,14,NA,NA,fish,adult,N
1724,Nemertopsis gracilis,nemertean,ribbon worm,adult,Both,all,micropredator,preys_on,Lasaea adansoni,Light & Smith,374,Lasaea cistula,high to middle,clam,adult,Both
1736,Dicyemennea abreida,rhombozoan,NA,multiple,N,all,parasite,parasitic_on,Enteroctopus dofleini,Light & Smith,420,Octopus dolfleini,low tidepools,octopus,small,Both
1736,Dicyemennea abreida,rhombozoan,NA,multiple,N,all,parasite,parasitic_on,Enteroctopus dofleini,Light & Smith,1745,Octopus dolfleini,low tidepools,octopus,adult,N
1736,Dicyemennea abreida,rhombozoan,NA,multiple,N,all,parasite,parasitic_on,Enteroctopus dofleini,Light & Smith,1746,Octopus dolfleini,low tidepools,octopus,eggs,N
1737,Dicyemennea nouveli,rhombozoan,NA,multiple,N,all,parasite,parasitic_on,Enteroctopus dofleini,Light & Smith,420,Octopus dolfleini,low tidepools,octopus,small,Both
1737,Dicyemennea nouveli,rhombozoan,NA,multiple,N,all,parasite,parasitic_on,Enteroctopus dofleini,Light & Smith,1745,Octopus dolfleini,low tidepools,octopus,adult,N
1737,Dicyemennea nouveli,rhombozoan,NA,multiple,N,all,parasite,parasitic_on,Enteroctopus dofleini,Light & Smith,1746,Octopus dolfleini,low tidepools,octopus,eggs,N
1738,Dicyemodeca deca,rhombozoan,NA,multiple,N,all,parasite,parasitic_on,Enteroctopus dofleini,Light & Smith,420,Octopus dolfleini,low tidepools,octopus,small,Both
1738,Dicyemodeca deca,rhombozoan,NA,multiple,N,all,parasite,parasitic_on,Enteroctopus dofleini,Light & Smith,1745,Octopus dolfleini,low tidepools,octopus,adult,N
1738,Dicyemodeca deca,rhombozoan,NA,multiple,N,all,parasite,parasitic_on,Enteroctopus dofleini,Light & Smith,1746,Octopus dolfleini,low tidepools,octopus,eggs,N
1739,Dicyemennea abelis,rhombozoan,NA,multiple,N,all,parasite,parasitic_on,Octopus bimaculatus,Light & Smith,1750,NA,low,octopus,adult,S
1739,Dicyemennea abelis,rhombozoan,NA,multiple,N,all,parasite,parasitic_on,Octopus bimaculatus,Light & Smith,1751,NA,low,octopus,eggs,S
1799,Lacuna unifasciata,snail,NA,adult,Both,all,grazer,preys_on,epiphytic diatoms,Light & Smith,602,"""diatom scuz"" per Armand",NA,algae,NA,NA
1892,Okenia plana,nudibranch,NA,adult,Both,all,micropredator,preys_on,Cryptosula pallasiana,Light & Smith,847,NA,all,bryozoan,adult,Both
1899,Palio zosterae,nudibranch,NA,adult,N,all,micropredator,preys_on,Bowerbankia gracilis,Light & Smith,140,NA,low,bryozoan,adult,both
1901,Polycera atra,nudibranch,NA,adult,Both,all,micropredator,preys_on,Membranipora membranacea,Light & Smith,820,NA,all,bryozoan,adult,Both
1905,Chromodoris macfarlandi,nudibranch,NA,adult,Both,all,micropredator,preys_on,Aplysilla glacialis,Light & Smith,63,NA,NA,sponge,adult,Both
1906,Hypselodoris californiensis,nudibranch,NA,adult,Both,all,micropredator,preys_on,Haliclona sp.,Light & Smith,70,Prianos sp.,NA,sponge,adult,Both
1921,Dendronotus albus,nudibranch,NA,adult,N,all,micropredator,preys_on,Abietinaria sp.,Light & Smith,90,NA,low,hydroid,adult,Both
1923,Dendronotus frondosus,nudibranch,NA,adult,Both,all,micropredator,preys_on,Aglaophenia struthionides,Light & Smith,91,NA,low,hydroid,hydroid,Both
1924,Dendronotus subramosus,nudibranch,NA,adult,N,all,micropredator,preys_on,Aglaophenia struthionides,Light & Smith,91,NA,low,hydroid,hydroid,Both
1926,Dirona pellucida,nudibranch,NA,adult,N,all,micropredator,preys_on,Bugula pacifica,Light & Smith,801,NA,all,bryozoan,adult,N
1929,Janolus fuscus,nudibranch,NA,adult,N,all,micropredator,preys_on,Bugula pacifica,Light & Smith,801,NA,all,bryozoan,adult,N
1932,Flabellina pricei,nudibranch,NA,adult,N,all,micropredator,preys_on,Halecium sp.,Light & Smith,946,NA,all,hydroid,hydroid colony,Both
1932,Flabellina pricei,nudibranch,NA,adult,N,all,micropredator,preys_on,Halecium sp.,Light & Smith,947,NA,all,plankton,medusa,Both
1933,Flabellina trilineata,nudibranch,NA,adult,N,all,micropredator,preys_on,Eudendrium californicum,Light & Smith,84,NA,NA,hydroid,hydroid,Both
1933,Flabellina trilineata,nudibranch,NA,adult,N,all,micropredator,preys_on,Garveia annulata,Light & Smith,83,NA,NA,hydroid,hydroid colony,Both
1944,Cuthona fulgens,nudibranch,NA,adult,N,all,micropredator,preys_on,Sarsia sp.,Light & Smith,767,NA,all,hydroid,hydroid,Both
1944,Cuthona fulgens,nudibranch,NA,adult,N,all,micropredator,preys_on,Sarsia sp.,Light & Smith,927,NA,all,plankton,medusa,Both
1954,Aeolidiella chromosoma,nudibranch,NA,adult,Both,all,micropredator,preys_on,Metridium senile,Light & Smith,107,NA,low,anemone,adult,Both
1955,Aeolidiella oliviae,nudibranch,NA,adult,Both,all,micropredator,preys_on,Corynactis californica,Light & Smith,109,NA,low,anemone,adult,Both
1955,Aeolidiella oliviae,nudibranch,NA,adult,Both,all,micropredator,preys_on,Epiactis prolifera,Light & Smith,102,NA,"middle, low",anemone,adult,Both
