,nodeTaxon,node,nodeID,nodeNum,synonymies,category,common_name,life_stage,life_stage_code,province,commonality,reference,zone,habitat_notes,grouping_habits,mobility,node_type,node_resolution,aphia,kingdom,phylum,class,order,family,genus,parasite,consumer_strategy,consumer_type,degree
112,Lernaeodiscus porcellanae,474_Lernaeodiscus porcellanae,474_Lernaeodiscus porcellanae,474,NA,parasitic barnacle,rhizocephalan,adult,1,S,present,436,low,on the porcelain crab,solitary,sessile,Taxonomic,Species,463726,Animalia,Arthropoda,Thecostraca,NA,Peltogastridae,Lernaeodiscus,y,parasitic castrator,parasitic castrator,1
113,Chlamydoconcha orcutti,NA,NA,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,Dictyota coriacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,Analipus japonicus,651_Analipus japonicus,651_Analipus japonicus,651,NA,brown algae,NA,adult,1,N,common,528; 536,high,upper intertidal rocks in areas exposed to moderate surf,aggregating,sessile,Taxonomic,Species,371891,Chromista,Ochrophyta,Phaeophyceae,Ralfsiales,Ralfsiaceae,Analipus,n,primary producer,autotroph,6
116,Silvetia compressa,652_Silvetia compressa,652_Silvetia compressa,652,Pelvetia fastigiata; Pelvetia compressa,brown algae,rockweed,adult,1,Both,present,528,middle,"locally abundant, forming beds on rocks somewhat protected from surf",aggregating,sessile,Taxonomic,Genus,374120,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Silvetia,n,primary producer,autotroph,9
117,Pisaster ochraceus,150_Pisaster ochraceus,150_Pisaster ochraceus,150,NA,sea star,ochre star,adult,1,Both,common,436; 536,"middle, low",NA,solitary,mobile,Taxonomic,Species,240755,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,n,typical predator,predator,38
118,Ecklonia arborea,NA,NA,649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,Tetraclita rubescens,458_Tetraclita rubescens,458_Tetraclita rubescens,458,NA,barnacle,NA,adult,1,Both,common,436,middle to low,on rocks exposed to strong surf,aggregating,sessile,Taxonomic,Species,882213,Animalia,Arthropoda,Thecostraca,Balanomorpha,Tetraclitidae,Tetraclita,n,filter feeder,predator,9
120,Halichondria panicea,69_Halichondria panicea,69_Halichondria panicea,69,NA,sponge,crumb of bread sponge,adult,1,Both,abundant,436; 435; 536,NA,NA,NA,sessile,Taxonomic,Species,132627,Animalia,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,n,filter feeder,predator,10
121,Muricea fruticosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,Hypnea valentiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,Aplysia californica,300_Aplysia californica,300_Aplysia californica,300,NA,sea hare,California brown sea hare,adult,1,Both,common,436,low,sporadically common,solitary,mobile,Taxonomic,Species,240765,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,n,grazer,micropredator,6
124,Pycnogonum stearnsi,569_Pycnogonum stearnsi,569_Pycnogonum stearnsi,569,NA,sea spider,NA,adult,1,Both,common,436; 435; 536,middle to low,"under rocks, with anemones, hydroids, or ascidians, roots of Phyllospadix",solitary,mobile,Taxonomic,Species,240277,Animalia,Arthropoda,Pycnogonida,Pantopoda,Pycnogonidae,Pycnogonum,n,micropredator,micropredator,5
125,Platichthys stellatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,Urobatis halleri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,Embiotoca jacksoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,Euphausia pacifica,NA,NA,1423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,Rhinogobiops nicholsii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,Henricia leviuscula,145_Henricia leviuscula,145_Henricia leviuscula,145,NA,sea star,blood star,adult,1,Both,common,436; 435; 536,low,frequent on encrusted rocks,solitary,mobile,Taxonomic,Species,369117,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,n,filter feeder,predator,37
131,Cryptochiton stelleri,417_Cryptochiton stelleri,417_Cryptochiton stelleri,417,NA,chiton,gumboot chiton,adult,1,Both,present,436; 435,low tidepools,next to deep pools or channels,solitary,mobile,Taxonomic,Species,240776,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,n,grazer,micropredator,23
132,Tubulanus sexlineatus,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,Pentidotea wosnesenskii,490_Pentidotea wosnesenskii,490_Pentidotea wosnesenskii,490,Idotea wosnesenskii,isopod,NA,adult,1,N,common,436; 536,middle to low,"mussel beds, Ulva, Porphyra, brown algae",solitary,mobile,Taxonomic,Species,711956,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,n,scavenger,scavenger,25
134,Katharina tunicata,416_Katharina tunicata,416_Katharina tunicata,416,NA,chiton,NA,adult,1,N,common,436; 435; 536,middle to low,"sides, surfaces of rocks; lives among corallines, mussels on exposed rocks",solitary,mobile,Taxonomic,Species,386338,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Katharina,n,grazer,micropredator,27
135,Chlamys hastata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,Trachipterus altivelis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,Mirounga angustirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Fabia subquadrata,559_Fabia subquadrata,559_Fabia subquadrata,559,NA,true crab,pea crab,adult,1,Both,present,436; 435; 536,low,in mantle cavities of bivalves,solitary,mobile,Taxonomic,Species,445132,Animalia,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Fabia,n,filter feeder,predator,14
139,Lophopanopeus bellus,NA,NA,"1000, 1001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,Pronotogrammus multifasciatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,Collinsiella tuberculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,Balanus nubilus,470_Balanus nubilus,470_Balanus nubilus,470,NA,barnacle,NA,adult,1,Both,common,436; 435; 536,low,rocks,aggregating,sessile,Taxonomic,Species,594745,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,n,filter feeder,predator,13
143,Neopolyporolithon reclinatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,Abietinaria filicula,954_Abietinaria filicula,954_Abietinaria filicula,954,NA,hydroid,NA,hydroid colony,5,N,present,435,all,on intertidal rocks,colonial,sessile,Taxonomic,Species,117871,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,n,filter feeder,predator,4
145,Corynactis californica,109_Corynactis californica,109_Corynactis californica,109,NA,anemone,NA,adult,1,Both,present,436; 435,low,NA,colonial,sessile,Taxonomic,Species,283836,Animalia,Cnidaria,Hexacorallia,Corallimorpharia,Corallimorphidae,Corynactis,n,filter feeder,predator,14
146,Pachythyone rubra,157_Pachythyone rubra,157_Pachythyone rubra,157,NA,cucumber,NA,adult,1,Both,common,436; 435,low,"holdfasts, seagrass beds",solitary,mobile,Taxonomic,Species,529582,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Pachythyone,n,deposit feeder,detritivore,4
147,Aurelia aurita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,Halosydna brevisetosa,425_Halosydna brevisetosa,425_Halosydna brevisetosa,425,NA,scale worm,NA,adult,1,Both,common,436; 435; 536,low,free living in mussel beds/holdfasts or commensal in tubes,solitary,mobile,Taxonomic,Species,333534,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Halosydna,n,omnivore,predator,15
149,Molgula pugetiensis,NA,NA,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,Endocladia muricata,640_Endocladia muricata,640_Endocladia muricata,640,NA,red algae,turfweed,adult,1,Both,common,528; 536,high to middle,topmost conspicuous band of seaweed on central coast; tops or vertical faces of rocks; most common upper intertidal algae on central CA coast,aggregating,sessile,Taxonomic,Species,372566,Plantae,NA,Florideophyceae,Gigartinales,Endocladiaceae,Endocladia,n,primary producer,autotroph,10
151,Odonthalia washingtoniensis,NA,NA,2321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,Glycinde armigera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,Calliarthron tuberculosum,2350_Calliarthron tuberculosum,2350_Calliarthron tuberculosum,2350,NA,coralline algae,NA,adult,1,Both,abundant,528; 536,low,low tidepools,aggregating,sessile,Taxonomic,Species,372537,Plantae,NA,Florideophyceae,Corallinales,Corallinaceae,Calliarthron,n,primary producer,autotroph,2
154,Ophiopteris papillosa,167_Ophiopteris papillosa,167_Ophiopteris papillosa,167,NA,brittle star,NA,adult,1,Both,common,436,low tidepools,associated with strongylocentrous?,solitary,mobile,Taxonomic,Species,244022,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiopteridae,Ophiopteris,n,carnivore (scavenger + predator),predator,3
155,Patiria miniata,144_Patiria miniata,144_Patiria miniata,144,NA,sea star,bat star,adult,1,Both,common,436; 435,low,"common N, uncommon S",solitary,mobile,Taxonomic,Species,382131,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,n,carnivore (scavenger + predator),predator,7
156,Pterygophora californica,NA,NA,648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,Nereocystis luetkeana,2305_Nereocystis luetkeana,2305_Nereocystis luetkeana,2305,NA,brown algae,bull kelp,adult,1,N,present,528,low,isolated plants in low intertidal,solitary,sessile,Taxonomic,Species,240752,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Nereocystis,n,primary producer,autotroph,16
158,Ahnfeltia fastigiata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,Prionitis filiformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,Mesocentrotus franciscanus,NA,NA,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,Aulorhynchus flavidus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Cucumaria miniata,155_Cucumaria miniata,155_Cucumaria miniata,155,NA,cucumber,NA,adult,1,N,common,436; 435; 536,low,"in crevices, under rocks",solitary,mobile,Taxonomic,Species,225807,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,n,deposit feeder,detritivore,25
163,Aglaophenia latirostris,92_Aglaophenia latirostris,92_Aglaophenia latirostris,92,NA,hydroid,ostrich plume hydroid,hydroid colony,5,Both,abundant,436; 435; 536,low,"Common on rocks, large red, brown algae from the low intertidal",colonial,sessile,Taxonomic,Species,284035,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,n,filter feeder,predator,8
164,Trachurus symmetricus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,Semibalanus cariosus,462_Semibalanus cariosus,462_Semibalanus cariosus,462,NA,barnacle,NA,adult,1,N,common,436; 435; 536,low,on rocks,aggregating,sessile,Taxonomic,Species,594746,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,n,filter feeder,predator,31
166,Desmarestia aculeata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,Dermasterias imbricata,143_Dermasterias imbricata,143_Dermasterias imbricata,143,NA,sea star,leather star,adult,1,Both,uncommon,436; 435,low,NA,solitary,mobile,Taxonomic,Species,240771,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,n,typical predator,predator,45
168,Ampharete labrops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,Phyllolithodes papillosus,NA,NA,1006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,Neoclinus blanchardi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,Pagurus granosimanus,527_Pagurus granosimanus,527_Pagurus granosimanus,527,NA,hermit crab,blue spotted hermit crab,adult,1,Both,common,436,low,"more common N, tidepools with gravel bottoms",aggregating,mobile,Taxonomic,Species,366694,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,n,scavenger,scavenger,34
172,Aoroides columbiae,NA,NA,"1274, 1275, 1276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,Pyura mirabilis,NA,NA,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,Eogammarus confervicolus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Thelepus crispus,440_Thelepus crispus,440_Thelepus crispus,440,NA,polychaete,terebellid tubeworm,adult,1,Both,common,436; 435,middle to low,"thin, membranus sand encrusted tube under rocks; scale worms sometimes occur as commensals in the burrows",solitary,sessile,Taxonomic,Species,332560,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Thelepus,n,filter feeder,predator,12
176,Lampocteis cruentiventer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,Trimusculus reticulatus,360_Trimusculus reticulatus,360_Trimusculus reticulatus,360,NA,snail,reticulate button snail,adult,1,Both,common,436; 435,middle,"hidden in caves, horizontal crevices, upsidedown, empty burrows of rock borers",aggregating,mobile,Taxonomic,Species,414592,Animalia,Mollusca,Gastropoda,Ellobiida,Trimusculidae,Trimusculus,n,filter feeder,predator,3
178,Metandrocarpa taylori,216_Metandrocarpa taylori,216_Metandrocarpa taylori,216,NA,tunicate,NA,adult,1,Both,present,436; 435,low,NA,colonial,sessile,Taxonomic,Species,250836,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Metandrocarpa,n,filter feeder,predator,5
179,Nuttallina californica,409_Nuttallina californica,409_Nuttallina californica,409,NA,chiton,Nuttall's chiton,adult,1,Both,abundant,436; 435,middle,"crevices, depressions, under coralline algae, between mussels/barnacles",solitary,mobile,Taxonomic,Species,386437,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Nuttallina,n,grazer,micropredator,7
180,Tegula brunnea,236_Tegula brunnea,236_Tegula brunnea,236,Chlorostoma brunnea,snail,brown turban snail,adult,1,Both,abundant,436; 435,low,mostly subtidal,solitary,mobile,Taxonomic,Species,534187,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,n,grazer,micropredator,8
181,Xiphister atropurpureus,2102_Xiphister atropurpureus,2102_Xiphister atropurpureus,2102,NA,fish,black prickelback,adult,1,N,present,529; 530; 536,NA,NA,solitary,mobile,Taxonomic,Species,283194,Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Xiphister,n,typical predator,predator,22
182,Leptasterias aequalis,672_Leptasterias aequalis,672_Leptasterias aequalis,672,NA,sea star,6 arm star,adult,1,Both,common,435; 218,middle,under rocks,solitary,mobile,Taxonomic,Species,379050,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,n,carnivore (scavenger + predator),predator,56
183,Urechis caupo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,Haliotis cracherodii,229_Haliotis cracherodii,229_Haliotis cracherodii,229,NA,abalone,black abalone,adult,1,Both,fairly common,436; 435,all,"in crevices or under large rocks; M & H says ""common"" but that was in 80s",solitary,mobile,Taxonomic,Species,405012,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,n,grazer,micropredator,15
185,Ophiura luetkenii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,Discophyton rudyi,982_Discophyton rudyi,982_Discophyton rudyi,982,NA,octocoral,NA,adult,1,N,present,435; 469,low,"exposed rocky headlands; attached to the undersides of overhanging boulders, ledges or to the vertical sides of surge channels",colonial,sessile,Taxonomic,Species,289828,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Discophytidae,Discophyton,n,filter feeder,predator,5
187,Tursiops truncatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,Dendronotus venustus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,Octopus bimaculatus,1750_Octopus bimaculatus,1750_Octopus bimaculatus,1750,NA,octopus,NA,adult,1,S,present,435,low,common in the low intertidal in Mexico; typically associated with rocky substrates,solitary,mobile,Taxonomic,Species,341951,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,n,typical predator,predator,8
190,Obelia dichotoma,85_Obelia dichotoma,85_Obelia dichotoma,85,NA,hydroid,NA,hydroid colony,5,Both,abundant,436; 435,low,occurring on many different substrates including swimming animals (ranging from sharks to copepods),colonial,sessile,Taxonomic,Species,117386,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,n,filter feeder,predator,22
191,Conopeum seurati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,Lineus flavescens,1705_Lineus flavescens,1705_Lineus flavescens,1705,NA,nemertean,ribbon worm,adult,1,S,present,435,all,"pilings, rocks, among algae, other surface cover.",solitary,mobile,Taxonomic,Species,147891,Animalia,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Lineus,n,typical predator,predator,15
193,Ostrea conchaphila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,Pterocladiella media,2317_Pterocladiella media,2317_Pterocladiella media,2317,Pterocladia media,red algae,NA,adult,1,Both,uncommon,528,all,in sandy patches on rock,solitary,sessile,Taxonomic,Species,1356508,Plantae,NA,Florideophyceae,Gelidiales,Pterocladiaceae,Pterocladiella,n,primary producer,autotroph,6
195,Amphipholis squamata,161_Amphipholis squamata,161_Amphipholis squamata,161,NA,brittle star,NA,adult,1,Both,common,436; 435,low,NA,solitary,mobile,Taxonomic,Species,125064,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphipholis,n,deposit feeder,detritivore,9
196,Cadlina flavomaculata,311_Cadlina flavomaculata,311_Cadlina flavomaculata,311,NA,nudibranch,yellow spotted cadlina,adult,1,both,uncommon,436; 435,low tidepools,"under stones, tidepools",solitary,mobile,Taxonomic,Species,562477,Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Cadlina,n,micropredator,micropredator,1
197,Paracaudina chilensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,Leptogorgia chilensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,Diaulula sandiegensis,326_Diaulula sandiegensis,326_Diaulula sandiegensis,326,NA,nudibranch,ring spotted dorid,adult,1,Both,present,436; 435,low tidepools,NA,solitary,mobile,Taxonomic,Species,536817,Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Diaulula,n,micropredator,micropredator,8
200,Ericthonius brasiliensis,1307_Ericthonius brasiliensis,1307_Ericthonius brasiliensis,1307,NA,gammarid,NA,adult,1,N,present,435,all,open coast populations (in habitats such as Phyllospadix),solitary,sessile,Taxonomic,Species,102401,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Ericthonius,n,omnivore,predator,14
201,Ammothea hilgendorfi,571_Ammothea hilgendorfi,571_Ammothea hilgendorfi,571,NA,sea spider,NA,adult,1,Both,common,436,low,"on hydroids in crevices, under rocks; in large galls derived from hydranths of Eucopella everta ( ref# 284)",solitary,mobile,Taxonomic,Species,134607,Animalia,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Ammothea,y,endoparasite,macroparasite,3
202,Ammothea hilgendorfi,2376_Ammothea hilgendorfi,2376_Ammothea hilgendorfi_larva,2376,NA,sea spider,NA,larva,3,Both,common,436,low,"on hydroids in crevices, under rocks; in large galls derived from hydranths of Eucopella everta ( ref# 284)",solitary,mobile,Life Stage,Species,134607,Animalia,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Ammothea,y,endoparasite,macroparasite,1
203,Marphysa californica,NA,NA,"1606, 1607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,Plocamium violaceum,664_Plocamium violaceum,664_Plocamium violaceum,664,NA,red algae,NA,adult,1,Both,common,528,middle,mostly on vertical rock faces in areas of heavy surf,aggregating,sessile,Taxonomic,Genus,372633,Plantae,NA,Florideophyceae,Plocamiales,Plocamiaceae,Plocamium,n,primary producer,autotroph,6
205,Caulacanthus okamurae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,Asparagopsis taxiformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,Diplosoma listerianum,181_Diplosoma listerianum,181_Diplosoma listerianum,181,"Diplosoma macdonaldi, Diplosoma pizoni",tunicate,NA,adult,1,Both,common,436,NA,"under rocks, small colonies",colonial,sessile,Taxonomic,Species,103579,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Diplosoma,n,filter feeder,predator,5
208,Oscarella carmela,2354_Oscarella carmela,2354_Oscarella carmela,2354,NA,sponge,slime sponge,adult,1,N,uncommon,462,high,as thin sheets on the sides of granite outcrops and on the edges and undersurface of boulders in high-zone tide pools,colonial,sessile,Taxonomic,Species,169715,Animalia,Porifera,Homoscleromorpha,Homosclerophorida,Oscarellidae,Oscarella,n,filter feeder,predator,4
209,Lissothuria nutriens,158_Lissothuria nutriens,158_Lissothuria nutriens,158,NA,cucumber,NA,adult,1,Both,common,436; 435,low,"holdfasts, seagrass beds, vertical rocks, w/in colonial organisms",solitary,mobile,Taxonomic,Species,529527,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Psolidae,Lissothuria,n,deposit feeder,detritivore,3
210,Californiconus californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,Placida dendritica,305_Placida dendritica,305_Placida dendritica,305,NA,nudibranch,NA,adult,1,N,present,435,all,Usually found on Bryopsis corticulans or Codium fragile.,solitary,mobile,Taxonomic,Species,141565,Animalia,Mollusca,Gastropoda,NA,Limapontiidae,Placida,n,grazer,micropredator,1
212,Paranemertes peregrina,124_Paranemertes peregrina,124_Paranemertes peregrina,124,NA,nemertean,NA,adult,1,Both,common,436; 536,"middle, low",NA,solitary,mobile,Taxonomic,Species,162261,Animalia,Nemertea,Hoplonemertea,Monostilifera,Neesiidae,Paranemertes,n,typical predator,predator,6
213,Megathura crenulata,193_Megathura crenulata,193_Megathura crenulata,193,NA,limpet,giant keyhole limpet,adult,1,Both,uncommon,436,low,NA,solitary,mobile,Taxonomic,Species,527885,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Megathura,n,omnivore,predator,2
214,Desmarestia ligulata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,Farlowia mollis,2296_Farlowia mollis,2296_Farlowia mollis,2296,NA,red algae,Farlow's seaweed,adult,1,Both,present,537,middle to low,"grows on rock, often partially buried in sand, in low intertidal and in pools in mid intertidal, outer coastlines",solitary,sessile,Taxonomic,Species,372571,Plantae,NA,Florideophyceae,Gigartinales,Dumontiaceae,Farlowia,n,primary producer,autotroph,3
