node,nodeID,nodeNum,nodeTaxon,synonymies,category,common_name,life_stage,life_stage_code,province,commonality,reference,zone,habitat_notes,grouping_habits,mobility,node_type,node_resolution,aphia,kingdom,phylum,class,order,family,genus,parasite,consumer_strategy,consumer_type
999_Carcinus maenas,999_Carcinus maenas_eggs,999,Carcinus maenas,NA,true crab,European Green Crab,eggs,2,N,introduced,435,low,NA,solitary,mobile,Life Stage,Species,107381,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,n,non-feeding,non-feeding
1000_Lophopanopeus bellus bellus,1000_Lophopanopeus bellus bellus,1000,Lophopanopeus bellus bellus,NA,true crab,NA,adult,1,N,present,435; 280,all,"under rocks; stones of protected, unprotected coast",solitary,mobile,Taxonomic,Subspecies,443976,Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Lophopanopeus,n,omnivore,predator
1001_Lophopanopeus bellus digensis,1001_Lophopanopeus bellus digensis,1001,Lophopanopeus bellus digensis,NA,true crab,NA,adult,1,Both,present,435; 280,all,"under rocks; stones of protected, unprotected coast",solitary,mobile,Taxonomic,Subspecies,443976,Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Lophopanopeus,n,omnivore,predator
1002_Lophopanopeus leucomanus,1002_Lophopanopeus leucomanus,1002,Lophopanopeus leucomanus,NA,true crab,NA,adult,1,N,present,435; 293,all,"in coarse sand under rocks, in surfgrass roots",solitary,mobile,Taxonomic,Species,443980,Animalia,Arthropoda,Malacostraca,Decapoda,Panopeidae,Lophopanopeus,n,omnivore,predator
1009_Paguristes ulreyi,1009_Paguristes ulreyi,1009,Paguristes ulreyi,NA,hermit crab,furry hermit,adult,1,N,present,435; 296,low,"in shells of Lithopoma gibberosum, Lithopoma undosum, Polinices lewisii, and Kelletia kelletii",solitary,mobile,Taxonomic,Species,368304,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes,n,omnivore,predator
1010_Discorsopagurus schmitti,1010_Discorsopagurus schmitti,1010,Discorsopagurus schmitti,NA,hermit crab,NA,adult,1,N,present,435; 280,low,in broken or attached worm tubes,solitary,mobile,Taxonomic,Species,366310,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Discorsopagurus,n,filter feeder,predator
1012_Pagurus beringanus,1012_Pagurus beringanus,1012,Pagurus beringanus,NA,hermit crab,NA,adult,1,N,present,435,low,on rock jetties,solitary,mobile,Taxonomic,Species,366657,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,n,omnivore,predator
1020_Cypridopsis vidua,1020_Cypridopsis vidua,1020,Cypridopsis vidua,NA,ostracod,NA,adult,1,Both,abundant,435,high,tide pools with freshwater influx,aggregating,mobile,Taxonomic,Species,160026,Animalia,Arthropoda,Ostracoda,Podocopida,Cyprididae,Cypridopsis,n,filter feeder,predator
1021_Cypria reptans,1021_Cypria reptans,1021,Cypria reptans,Herpetocypris reptans,ostracod,NA,adult,1,Both,present,435,high,tide pools with freshwater influx,aggregating,mobile,Taxonomic,Species,1672852,Animalia,Arthropoda,Ostracoda,Podocopida,Cyclocyprididae,Cypria,n,filter feeder,predator
1024_Cythere alveolivalva,1024_Cythere alveolivalva,1024,Cythere alveolivalva,NA,ostracod,NA,adult,1,Both,common,435,all,NA,aggregating,mobile,Taxonomic,Genus,460642,Animalia,Arthropoda,Ostracoda,Podocopida,Cytheridae,Cythere,n,filter feeder,predator
1026_Ambostracon glaucum,1026_Ambostracon glaucum,1026,Ambostracon glaucum,NA,ostracod,NA,adult,1,Both,present,435,low,"On holdfasts of algae in Carmel Bay; also on calcareous algae in tide pool just outside Hopkins Marine Station,",aggregating,mobile,Taxonomic,Species,461328,Animalia,Arthropoda,Ostracoda,Podocopida,Hemicytheridae,Ambostracon,n,filter feeder,predator
1027_Aurila lincolnensis,1027_Aurila lincolnensis,1027,Aurila lincolnensis,NA,ostracod,NA,adult,1,Both,common,435,all,"among shore rocks, habitat generalist",aggregating,mobile,Taxonomic,Species,461369,Animalia,Arthropoda,Ostracoda,Podocopida,Hemicytheridae,Aurila,n,filter feeder,predator
1028_Aurila montereyensis,1028_Aurila montereyensis,1028,Aurila montereyensis,NA,ostracod,NA,adult,1,N,present,435,low,"On calcareous algae, among roots of eelgrass,, on holdfasts of Macrocystis in 2 m, in tide pools at Carmel Bay; Bodega Harbor, in fairly dense seagrass, silt with fine sand, RFM",aggregating,mobile,Taxonomic,Species,461374,Animalia,Arthropoda,Ostracoda,Podocopida,Hemicytheridae,Aurila,n,filter feeder,predator
1030_Acetabulastoma californica,1030_Acetabulastoma californica,1030,Acetabulastoma californica,NA,ostracod,NA,adult,1,N,present,435,low,in the zone of the red alga Corallina gracilis; most are parasitic but this one's host is unknown,aggregating,mobile,Taxonomic,Species,462114,Animalia,Arthropoda,Ostracoda,Podocopida,Paradoxostomatidae,Acetabulastoma,n,filter feeder,predator
1031_Xestoleberis hopkinsi,1031_Xestoleberis hopkinsi,1031,Xestoleberis hopkinsi,NA,ostracod,NA,adult,1,N,present,435,all,"On holdfasts of algae in rocky tide pool full of brown algae, just outside the Hopkins Marine Station, Monterey Bay",aggregating,mobile,Taxonomic,Species,462870,Animalia,Arthropoda,Ostracoda,Podocopida,Xestoleberididae,Xestoleberis,n,filter feeder,predator
1032_Ameira longipes,1032_Ameira longipes,1032,Ameira longipes,NA,copepod,NA,adult,1,Both,common,435,all,"high intertidal pools to shallow subtidal eelgrass beds where microalgal epiphytes, detritus occur",aggregating,mobile,Taxonomic,Species,115517,Animalia,Arthropoda,Copepoda,Harpacticoida,Ameiridae,Ameira,n,filter feeder,predator
1033_Ameira parvuloides,1033_Ameira parvuloides,1033,Ameira parvuloides,NA,copepod,NA,adult,1,no data,present,435,no data,no data,aggregating,mobile,Taxonomic,Species,115522,Animalia,Arthropoda,Copepoda,Harpacticoida,Ameiridae,Ameira,n,filter feeder,predator
1034_Nitokra spinipes,1034_Nitokra spinipes,1034,Nitokra spinipes,NA,copepod,NA,adult,1,Both,present,435,high,tide pools with freshwater input.,aggregating,mobile,Taxonomic,Species,115576,Animalia,Arthropoda,Copepoda,Harpacticoida,Ameiridae,Nitokra,n,filter feeder,predator
1035_Nitocra californica,1035_Nitocra californica,1035,Nitocra californica,NA,copepod,NA,adult,1,N,present,435,all,"tide pool with shell sand, stones,, algae near HMS",aggregating,mobile,Taxonomic,Subspecies,1735342,Animalia,Arthropoda,Copepoda,Harpacticoida,Ameiridae,Nitocra,n,filter feeder,predator
1036_Praeleptomesochra similis,1036_Praeleptomesochra similis,1036,Praeleptomesochra similis,NA,copepod,NA,adult,1,N,present,435,all,"Tidal pools, shell sand, stones, algae.",aggregating,mobile,Taxonomic,Species,360268,Animalia,Arthropoda,Copepoda,Harpacticoida,Ameiridae,Praeleptomesochra,n,filter feeder,predator
1037_Psyllocamptus triarticulatus,1037_Psyllocamptus triarticulatus,1037,Psyllocamptus triarticulatus,NA,copepod,NA,adult,1,N,present,435,all,"tidal pools containing shell sand, stones,, algae off HMS",aggregating,mobile,Taxonomic,Species,360377,Animalia,Arthropoda,Copepoda,Harpacticoida,Ameiridae,Psyllocamptus,n,filter feeder,predator
1038_Pseudoleptomesochra typica,1038_Pseudoleptomesochra typica,1038,Pseudoleptomesochra typica,NA,copepod,NA,adult,1,N,present,435,all,"tidal pools containing shell sand, stones,, algae off HMS",aggregating,mobile,Taxonomic,Species,355209,Animalia,Arthropoda,Copepoda,Harpacticoida,Ameiridae,Pseudoleptomesochra,n,filter feeder,predator
1039_Laophontodes hedgpethi,1039_Laophontodes hedgpethi,1039,Laophontodes hedgpethi,NA,copepod,NA,adult,1,NA,present,435,low,"Associated with Laminaria, other algal holdfasts",aggregating,mobile,Taxonomic,Species,352692,Animalia,Arthropoda,Copepoda,Harpacticoida,Ancorabolidae,Laophontodes,n,filter feeder,predator
1041_Nannomesochra arupinensis,1041_Nannomesochra arupinensis,1041,Nannomesochra arupinensis,NA,copepod,NA,adult,1,S,present,435,high,warm brackish pools with Enteromorpha,aggregating,mobile,Taxonomic,Species,115714,Animalia,Arthropoda,Copepoda,Harpacticoida,Canthocamptidae,Nannomesochra,n,filter feeder,predator
1042_Paracrenhydrosoma karlingi,1042_Paracrenhydrosoma karlingi,1042,Paracrenhydrosoma karlingi,Acrenydrosoma karlingi,copepod,NA,adult,1,NA,present,435,low,Tidal pools with coarse sand,aggregating,mobile,Taxonomic,Species,361521,Animalia,Arthropoda,Copepoda,Harpacticoida,Cletodidae,Paracrenhydrosoma,n,filter feeder,predator
1043_Cletodes hartmannae,1043_Cletodes hartmannae,1043,Cletodes hartmannae,NA,copepod,NA,adult,1,N,present,435,all,"tidal pools with shell sand, stones,, algae near HMS",aggregating,mobile,Taxonomic,Species,350224,Animalia,Arthropoda,Copepoda,Harpacticoida,Cletodidae,Cletodes,n,filter feeder,predator
1044_Enhydrosoma hopkinsi,1044_Enhydrosoma hopkinsi,1044,Enhydrosoma hopkinsi,NA,copepod,NA,adult,1,N,present,435,all,"tidal pools with shell sand, stones,, algae near HMS",aggregating,mobile,Taxonomic,Species,115781,Animalia,Arthropoda,Copepoda,Harpacticoida,Cletodidae,Enhydrosoma,n,filter feeder,predator
1045_Dactylopusia crassipes,1045_Dactylopusia crassipes,1045,Dactylopusia crassipes,NA,copepod,NA,adult,1,NA,common,435,all,"variety of coastal vegetated, unvegetated habitats",aggregating,mobile,Taxonomic,Species,364018,Animalia,Arthropoda,Copepoda,Harpacticoida,Dactylopusiidae,Dactylopusia,n,filter feeder,predator
1046_Dactylopusia glacialis,1046_Dactylopusia glacialis,1046,Dactylopusia glacialis,NA,copepod,NA,adult,1,NA,common,435,all,"microalgae, other vegetation",aggregating,mobile,Taxonomic,Species,116556,Animalia,Arthropoda,Copepoda,Harpacticoida,Dactylopusiidae,Dactylopusia,n,filter feeder,predator
1047_Dactylopusia paratisboides,1047_Dactylopusia paratisboides,1047,Dactylopusia paratisboides,NA,copepod,NA,adult,1,NA,present,435,all,"Microalgae, epiphytes on eelgrass, other substrates",aggregating,mobile,Taxonomic,Species,361076,Animalia,Arthropoda,Copepoda,Harpacticoida,Dactylopusiidae,Dactylopusia,n,filter feeder,predator
1049_Diarthrodes cystoecus,1049_Diarthrodes cystoecus,1049,Diarthrodes cystoecus,NA,copepod,NA,adult,1,N,present,435,middle,parasitic inside of red algae bladders,aggregating,mobile,Taxonomic,Species,293126,Animalia,Arthropoda,Copepoda,Harpacticoida,Dactylopusiidae,Diarthrodes,n,filter feeder,predator
1050_Diarthrodes dissimilis,1050_Diarthrodes dissimilis,1050,Diarthrodes dissimilis,NA,copepod,NA,adult,1,NA,present,435,all,"algae at DB, were also found by Watkins (1983) in intertidal vegetated habitats",aggregating,mobile,Taxonomic,Species,351035,Animalia,Arthropoda,Copepoda,Harpacticoida,Dactylopusiidae,Diarthrodes,n,filter feeder,predator
1051_Diarthrodes unisetosus,1051_Diarthrodes unisetosus,1051,Diarthrodes unisetosus,NA,copepod,NA,adult,1,NA,present,435,all,"algae at DB, were also found by Watkins (1983) in intertidal vegetated habitats",aggregating,mobile,Taxonomic,Species,351041,Animalia,Arthropoda,Copepoda,Harpacticoida,Dactylopusiidae,Diarthrodes,n,filter feeder,predator
1054_Leptocaris armatus,1054_Leptocaris armatus,1054,Leptocaris armatus,NA,copepod,NA,adult,1,NA,present,435,all,Associated with algae and/or algal detritus,aggregating,mobile,Taxonomic,Species,352814,Animalia,Arthropoda,Copepoda,Harpacticoida,Darcythompsoniidae,Leptocaris,n,filter feeder,predator
1055_Bradyellopsis foliatus,1055_Bradyellopsis foliatus,1055,Bradyellopsis foliatus,NA,copepod,NA,adult,1,NA,uncommon,435,low,sites dominated by macroalgae,aggregating,mobile,Taxonomic,Species,349412,Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Bradyellopsis,n,filter feeder,predator
1056_Ectinosoma melaniceps,1056_Ectinosoma melaniceps,1056,Ectinosoma melaniceps,NA,copepod,NA,adult,1,NA,common,435,low,"ntertidal marine habitats rich in detritus, in eelgrass",aggregating,mobile,Taxonomic,Species,116041,Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Ectinosoma,n,filter feeder,predator
1057_Ectinosoma breviarticulatum,1057_Ectinosoma breviarticulatum,1057,Ectinosoma breviarticulatum,NA,copepod,NA,adult,1,NA,present,435,all,"off HMS in a tidal pool with sand, algae",aggregating,mobile,Taxonomic,Species,116035,Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Ectinosoma,n,filter feeder,predator
1058_Ectinosoma paranormani,1058_Ectinosoma paranormani,1058,Ectinosoma paranormani,NA,copepod,NA,adult,1,NA,present,435,all,"off HMS in a tidal pool with sand, algae",aggregating,mobile,Taxonomic,Species,351272,Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Ectinosoma,n,filter feeder,predator
1059_Ectinosoma californicum,1059_Ectinosoma californicum,1059,Ectinosoma californicum,NA,copepod,NA,adult,1,NA,present,435,all,rinsing of algae collected off HMS,aggregating,mobile,Taxonomic,Species,116036,Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Ectinosoma,n,filter feeder,predator
1060_Halectinosoma kunzi,1060_Halectinosoma kunzi,1060,Halectinosoma kunzi,NA,copepod,NA,adult,1,NA,present,435,all,"off HMS in a tidal pool with shell, gravel",aggregating,mobile,Taxonomic,Species,351987,Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Halectinosoma,n,filter feeder,predator
1061_Halectinosoma longisetosum,1061_Halectinosoma longisetosum,1061,Halectinosoma longisetosum,NA,copepod,NA,adult,1,NA,present,435,all,"off HMS in a tidal pool with shell, gravel",aggregating,mobile,Taxonomic,Species,351989,Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Halectinosoma,n,filter feeder,predator
1062_Halectinosoma ornatum,1062_Halectinosoma ornatum,1062,Halectinosoma ornatum,NA,copepod,NA,adult,1,NA,present,435,all,"algae from tide pool at Point Pinos, Monterey Bay",aggregating,mobile,Taxonomic,Species,351990,Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Halectinosoma,n,filter feeder,predator
1063_Pseudobradya pulchera,1063_Pseudobradya pulchera,1063,Pseudobradya pulchera,NA,copepod,NA,adult,1,NA,present,435,all,algae collected at DB,aggregating,mobile,Taxonomic,Species,360329,Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Pseudobradya,n,filter feeder,predator
1064_Harpacticus compressus,1064_Harpacticus compressus,1064,Harpacticus compressus,NA,copepod,NA,adult,1,Both,present,435,low,"in epiphytes on eelgrass, macroalgae",aggregating,mobile,Taxonomic,Species,352108,Animalia,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,Harpacticus,n,filter feeder,predator
1065_Harpacticus pacificus,1065_Harpacticus pacificus,1065,Harpacticus pacificus,NA,copepod,NA,adult,1,Both,common,435,low,"in epiphytes on macroalgae, eelgrass,, rocks",aggregating,mobile,Taxonomic,Species,358707,Animalia,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,Harpacticus,n,filter feeder,predator
1066_Harpacticus septentrionalis,1066_Harpacticus septentrionalis,1066,Harpacticus septentrionalis,NA,copepod,NA,adult,1,NA,present,435,low,"Lower intertidal/shallow subtidal algae, eelgrass",aggregating,mobile,Taxonomic,Species,116177,Animalia,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,Harpacticus,n,filter feeder,predator
1067_Harpacticus spinulosus,1067_Harpacticus spinulosus,1067,Harpacticus spinulosus,NA,copepod,NA,adult,1,NA,present,435,low,"of algae collected at DB, sand around eelgrass",aggregating,mobile,Taxonomic,Species,358712,Animalia,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,Harpacticus,n,filter feeder,predator
1068_Harpacticus uniremis,1068_Harpacticus uniremis,1068,Harpacticus uniremis,NA,copepod,NA,adult,1,Both,present,435,middle,habitat generalist,aggregating,mobile,Taxonomic,Species,116179,Animalia,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,Harpacticus,n,filter feeder,predator
1069_Zaus aurelii,1069_Zaus aurelii,1069,Zaus aurelii,NA,copepod,NA,adult,1,NA,common,435,all,"on eelgrass, macroalgae",aggregating,mobile,Taxonomic,Species,116186,Animalia,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,Zaus,n,filter feeder,predator
1071_Echinolaophonte briani,1071_Echinolaophonte briani,1071,Echinolaophonte briani,NA,copepod,NA,adult,1,Both,present,435,all,"epiphytes, holdfasts of macroalgae, eelgrass",aggregating,mobile,Taxonomic,Species,1648873,Animalia,Arthropoda,Copepoda,Harpacticoida,Laophontidae,Echinolaophonte,n,filter feeder,predator
1072_Heterolaophonte discophora,1072_Heterolaophonte discophora,1072,Heterolaophonte discophora,NA,copepod,NA,adult,1,N,present,435,all,"Macro-, microalgal, detritus-rich habitats",aggregating,mobile,Taxonomic,Species,157695,Animalia,Arthropoda,Copepoda,Harpacticoida,Laophontidae,Heterolaophonte,n,filter feeder,predator
1073_Heterolaophonte variabilis,1073_Heterolaophonte variabilis,1073,Heterolaophonte variabilis,NA,copepod,NA,adult,1,Both,common,435,low,Lower intertidal algae; very common on eelgrass epiphytes all along the coast.,aggregating,mobile,Taxonomic,Species,352345,Animalia,Arthropoda,Copepoda,Harpacticoida,Laophontidae,Heterolaophonte,n,filter feeder,predator
1074_Laophonte acutirostris,1074_Laophonte acutirostris,1074,Laophonte acutirostris,NA,copepod,NA,adult,1,N,present,435,all,"tide pool containing coarse shell sand, near HMS",aggregating,mobile,Taxonomic,Species,352580,Animalia,Arthropoda,Copepoda,Harpacticoida,Laophontidae,Laophonte,n,filter feeder,predator
1075_Laophonte cornuta,1075_Laophonte cornuta,1075,Laophonte cornuta,NA,copepod,NA,adult,1,Both,common,435,all,"associated with algae, common all along the coast",aggregating,mobile,Taxonomic,Species,116259,Animalia,Arthropoda,Copepoda,Harpacticoida,Laophontidae,Laophonte,n,filter feeder,predator
1077_Paralaophonte pacifica,1077_Paralaophonte pacifica,1077,Paralaophonte pacifica,NA,copepod,NA,adult,1,Both,common,435,all,"in epiphytes, microalgae.",aggregating,mobile,Taxonomic,Species,354246,Animalia,Arthropoda,Copepoda,Harpacticoida,Laophontidae,Paralaophonte,n,filter feeder,predator
1078_Paronychocamptus proprius,1078_Paronychocamptus proprius,1078,Paronychocamptus proprius,NA,copepod,NA,adult,1,N,present,435,all,"tide pool with shell sand, stones,, algae near HMS",aggregating,mobile,Taxonomic,Species,354629,Animalia,Arthropoda,Copepoda,Harpacticoida,Laophontidae,Paronychocamptus,n,filter feeder,predator
1079_Pseudonychocamptus paraproximus,1079_Pseudonychocamptus paraproximus,1079,Pseudonychocamptus paraproximus,NA,copepod,NA,adult,1,N,present,435,all,"more commonly subtidal; from a Point Pinos, Monterey Bay tide pool, in fine sand",aggregating,mobile,Taxonomic,Species,355224,Animalia,Arthropoda,Copepoda,Harpacticoida,Laophontidae,Pseudonychocamptus,n,filter feeder,predator
1080_Pseudonychocamptus spinifer,1080_Pseudonychocamptus spinifer,1080,Pseudonychocamptus spinifer,NA,copepod,NA,adult,1,N,present,435,all,"Described from a tide pool with shell sand, stones,, algae near HMS. Common in Puget Sound around eelgrass, in lower intertidal, shallow subtidal sandy mud.",aggregating,mobile,Taxonomic,Species,355225,Animalia,Arthropoda,Copepoda,Harpacticoida,Laophontidae,Pseudonychocamptus,n,filter feeder,predator
1081_Quinquelaophonte longifurcata,1081_Quinquelaophonte longifurcata,1081,Quinquelaophonte longifurcata,NA,copepod,NA,adult,1,N,present,435,all,tide pool with shell sand near HMS.,aggregating,mobile,Taxonomic,Species,356547,Animalia,Arthropoda,Copepoda,Harpacticoida,Laophontidae,Quinquelaophonte,n,filter feeder,predator
1082_Amonardia normani,1082_Amonardia normani,1082,Amonardia normani,NA,copepod,NA,adult,1,NA,present,435,all,"Eelgrass, macro-, microalgae.",aggregating,mobile,Taxonomic,Species,115889,Animalia,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Amonardia,n,filter feeder,predator
1083_Amonardia perturbata,1083_Amonardia perturbata,1083,Amonardia perturbata,NA,copepod,NA,adult,1,NA,abundant,435,all,"Often very abundant on eelgrass leaves, macroalgae",aggregating,mobile,Taxonomic,Species,348696,Animalia,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Amonardia,n,filter feeder,predator
1084_Amphiascoides lancisetiger,1084_Amphiascoides lancisetiger,1084,Amphiascoides lancisetiger,NA,copepod,NA,adult,1,N,present,435,all,"tidal pool with shell sand, stones,, algae near HMS",aggregating,mobile,Taxonomic,Species,348701,Animalia,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Amphiascoides,n,filter feeder,predator
1086_Amphiascopsis cinctus,1086_Amphiascopsis cinctus,1086,Amphiascopsis cinctus,NA,copepod,NA,adult,1,NA,present,435,all,intertidal algae,aggregating,mobile,Taxonomic,Species,115906,Animalia,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Amphiascopsis,n,filter feeder,predator
1087_Amphiascus minutus,1087_Amphiascus minutus,1087,Amphiascus minutus,NA,copepod,NA,adult,1,NA,present,435,middle,variety of mid- to low rocky intertidal habitats,aggregating,mobile,Taxonomic,Species,115917,Animalia,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Amphiascus,n,filter feeder,predator
1088_Amphiascus undosus,1088_Amphiascus undosus,1088,Amphiascus undosus,NA,copepod,NA,adult,1,NA,present,435,low,NA,aggregating,mobile,Taxonomic,Species,348778,Animalia,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Amphiascus,n,filter feeder,predator
1089_Diosaccus spinatus,1089_Diosaccus spinatus,1089,Diosaccus spinatus,NA,copepod,NA,adult,1,NA,present,435,all,"on macroalgae, eelgrass",aggregating,mobile,Taxonomic,Species,351068,Animalia,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Diosaccus,n,filter feeder,predator
1090_Paramphiascopsis ekmani,1090_Paramphiascopsis ekmani,1090,Paramphiascopsis ekmani,NA,copepod,NA,adult,1,NA,present,435,middle,Tide pools in mid- to lower intertidal,aggregating,mobile,Taxonomic,Species,354337,Animalia,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Paramphiascopsis,n,filter feeder,predator
1091_Typhlamphiascus pectinifer,1091_Typhlamphiascus pectinifer,1091,Typhlamphiascus pectinifer,NA,copepod,NA,adult,1,N,present,435,all,"Monterey Bay tidal pools containing shell sand, stones,, algae. Occurs in a variety of lower intertidal/shallow subtidal habitats in Puget Sound.",aggregating,mobile,Taxonomic,Species,293170,Animalia,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Typhlamphiascus,n,filter feeder,predator
1092_Typhlamphiascus unisetosus,1092_Typhlamphiascus unisetosus,1092,Typhlamphiascus unisetosus,NA,copepod,NA,adult,1,N,present,435,all,"Monterey Bay tidal pools containing shell sand, stones,, algae.",aggregating,mobile,Taxonomic,Species,356326,Animalia,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Typhlamphiascus,n,filter feeder,predator
1093_Normanella bolini,1093_Normanella bolini,1093,Normanella bolini,NA,copepod,NA,adult,1,N,present,435,all,"tide pool with shell sand, stones,, algae near HMS.",aggregating,mobile,Taxonomic,Species,359657,Animalia,Arthropoda,Copepoda,Harpacticoida,Normanellidae,Normanella,n,filter feeder,predator
1094_Normanella confluens,1094_Normanella confluens,1094,Normanella confluens,NA,copepod,NA,adult,1,N,present,435,all,"tide pool with shell sand, stones,, algae near HMS.",aggregating,mobile,Taxonomic,Species,353897,Animalia,Arthropoda,Copepoda,Harpacticoida,Normanellidae,Normanella,n,filter feeder,predator
1095_Apodopsyllus vermiculiformis,1095_Apodopsyllus vermiculiformis,1095,Apodopsyllus vermiculiformis,NA,copepod,NA,adult,1,N,present,435,all,"fine sand in a tide pool at Point Pinos, Monterey Bay",aggregating,mobile,Taxonomic,Species,357105,Animalia,Arthropoda,Copepoda,Harpacticoida,Paramesochridae,Apodopsyllus,n,filter feeder,predator
1096_Scottopsyllus pararobertsoni,1096_Scottopsyllus pararobertsoni,1096,Scottopsyllus pararobertsoni,NA,copepod,NA,adult,1,N,present,435,all,"tide pool with shell sand, stones,, algae near HMS",aggregating,mobile,Taxonomic,Species,355610,Animalia,Arthropoda,Copepoda,Harpacticoida,Paramesochridae,Scottopsyllus,n,filter feeder,predator
1097_Parastenhelia spinosa,1097_Parastenhelia spinosa,1097,Parastenhelia spinosa,NA,copepod,NA,adult,1,Both,present,435,all,"vegetated habitats from southern British Columbia to La Jolla, CA",aggregating,mobile,Taxonomic,Species,116446,Animalia,Arthropoda,Copepoda,Harpacticoida,Parastenheliidae,Parastenhelia,n,filter feeder,predator
1098_Alteutha langi,1098_Alteutha langi,1098,Alteutha langi,NA,copepod,NA,adult,1,S,present,435,all,"on macroalgae, eelgrass blades",aggregating,mobile,Taxonomic,Species,348641,Animalia,Arthropoda,Copepoda,Harpacticoida,Peltidiidae,Alteutha,n,filter feeder,predator
1100_Eupelte simile,1100_Eupelte simile,1100,Eupelte simile,NA,copepod,NA,adult,1,S,present,435,all,"on macroalgae, eelgrass blades",aggregating,mobile,Taxonomic,Species,361061,Animalia,Arthropoda,Copepoda,Harpacticoida,Peltidiidae,Eupelte,n,filter feeder,predator
1101_Eupelte setacauda,1101_Eupelte setacauda,1101,Eupelte setacauda,NA,copepod,NA,adult,1,S,present,435,all,"on macroalgae, eelgrass blades",aggregating,mobile,Taxonomic,Species,351827,Animalia,Arthropoda,Copepoda,Harpacticoida,Peltidiidae,Eupelte,n,filter feeder,predator
1103_Porcellidium fimbriatum,1103_Porcellidium fimbriatum,1103,Porcellidium fimbriatum,NA,copepod,NA,adult,1,Both,present,435,all,on algae,aggregating,mobile,Taxonomic,Species,116467,Animalia,Arthropoda,Copepoda,Harpacticoida,Porcellidiidae,Porcellidium,n,filter feeder,predator
1104_Porcellidium viride,1104_Porcellidium viride,1104,Porcellidium viride,NA,copepod,NA,adult,1,Both,present,435,all,"on eelgrass, macroalgae",aggregating,mobile,Taxonomic,Species,116472,Animalia,Arthropoda,Copepoda,Harpacticoida,Porcellidiidae,Porcellidium,n,filter feeder,predator
1106_Idomene purpurocincta,1106_Idomene purpurocincta,1106,Idomene purpurocincta,NA,copepod,NA,adult,1,NA,present,435,all,"on algae, eelgrass",aggregating,mobile,Taxonomic,Species,116591,Animalia,Arthropoda,Copepoda,Harpacticoida,Pseudotachidiidae,Idomene,n,filter feeder,predator
1107_Phyllopodopsyllus parabradyi,1107_Phyllopodopsyllus parabradyi,1107,Phyllopodopsyllus parabradyi,NA,copepod,NA,adult,1,N,present,435,all,"near HML in a tide pool with shell sand, stones,, algae",aggregating,mobile,Taxonomic,Species,354814,Animalia,Arthropoda,Copepoda,Harpacticoida,Tetragonicipitidae,Phyllopodopsyllus,n,filter feeder,predator
1108_Phyllopodopsyllus borutskyi,1108_Phyllopodopsyllus borutskyi,1108,Phyllopodopsyllus borutskyi,NA,copepod,NA,adult,1,N,present,435,all,tidepool algae DB,aggregating,mobile,Taxonomic,Species,354798,Animalia,Arthropoda,Copepoda,Harpacticoida,Tetragonicipitidae,Phyllopodopsyllus,n,filter feeder,predator
1109_Eudactylopus latipes,1109_Eudactylopus latipes,1109,Eudactylopus latipes,NA,copepod,NA,adult,1,NA,present,435,all,"eelgrass, macroalgae",aggregating,mobile,Taxonomic,Species,116582,Animalia,Arthropoda,Copepoda,Harpacticoida,Thalestridae,Eudactylopus,n,filter feeder,predator
