reference_number,focal_consumer_taxon,focal_consumer_life_stage,resource_genus,resource_category,resource_phylum,resource_class,resource_order,resource_family,resource_taxonomic_resolution,general_location_of_study,id.x,resource_species,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,eaten_by,parasitized_by,node_type,node_resolution,kingdom,subclass,infraclass,subterclass,superorder,superfamily,subphylum,subfamily,superclass,suborder,infraorder,parvorder,subkingdom,infrakingdom,tribe,subgenus,infraphylum,parvphylum,gigaclass,megaclass,phylum_division,subphylum_subdivision,subtribe,section,subsection,subspecies,epifamily
258,Clinocottus gobiceps,adult,Eisenia,algae,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,class,rocky headlands Straight of Juan de Fuca,649,Eisenia arborea,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Fucus,algae,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,class,rocky headlands Straight of Juan de Fuca,643,Fucus distichus,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Laminaria,algae,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,class,rocky headlands Straight of Juan de Fuca,784,Laminaria sinclairii,British Columbia to Southern California,adult,NA,Both,common,Marine Algae of California,low,"rocky substrates, partial sand",aggregating,sessile,Haliotis fulgens,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Laminaria,algae,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,class,rocky headlands Straight of Juan de Fuca,624,Laminaria sp.,NA,adult,NA,both,common,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Macrocystis,algae,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,class,rocky headlands Straight of Juan de Fuca,587,Macrocystis pyrifera,NA,adult,NA,Both,common,NA,low to very low,NA,solitary,sessile,NA,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Pelvetiopsis,algae,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,class,rocky headlands Straight of Juan de Fuca,650,Pelvetiopsis limitata,NA,adult,NA,N,NA,NA,NA,NA,aggregating,sessile,Hermit crabs,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Postelsia,algae,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,class,rocky headlands Straight of Juan de Fuca,644,Postelsia palmaeformis,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Pterygophora,algae,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,class,rocky headlands Straight of Juan de Fuca,648,Pterygophora californica,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Species,Chromista,Fucophycidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harosa,Heterokonta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Ralfsia,algae,Ochrophyta,Phaeophyceae,Ralfsiales,Ralfsiaceae,class,rocky headlands Straight of Juan de Fuca,647,Ralfsia sp.,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,NA,NA,Taxonomic,Genus,Chromista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Silvetia,algae,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,class,rocky headlands Straight of Juan de Fuca,652,Silvetia sp.,NA,adult,NA,NA,NA,NA,NA,NA,aggregating,sessile,Cyanoplax hartwegii,NA,Taxonomic,Genus,Chromista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Amphicorina,polychaete,Annelida,Polychaeta,Sabellida,Sabellidae,class,rocky headlands Straight of Juan de Fuca,1671,Amphicorina gracilis,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,"Rocky intertidal, forming tube clusters with sponges and tunicates in sandy tide pools.",aggregating,sessile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,Myxicolinae,NA,NA,NA,NA,NA,NA,Myxicolini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Anaitides,polychaete,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,class,rocky headlands Straight of Juan de Fuca,427,Anaitides medipapillata,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie",low,on and under rocks,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,Phyllodocinae,NA,Phyllodociformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Aphelochaeta,polychaete,Annelida,Polychaeta,Terebellida,Cirratulidae,class,rocky headlands Straight of Juan de Fuca,1646,Aphelochaeta spp.,NA,adult,NA,Both,unclear,Light & Smith,all,NA,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Arabella,polychaete,Annelida,Polychaeta,Eunicida,Oenonidae,class,rocky headlands Straight of Juan de Fuca,433,Arabella endonata,NA,adult,NA,Both,fairly common,"Morris, Abbott, & Haderlie",low,in coelom,solitary,mobile,NA,Lecudina arabellae (gregarine),Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Arabella,polychaete,Annelida,Polychaeta,Eunicida,Oenonidae,class,rocky headlands Straight of Juan de Fuca,432,Arabella iricolor,cosmopolitan,adult,NA,Both,fairly common,"Morris, Abbott, & Haderlie; Light & Smith",low,"nestled in rock crevices, among other worm tubes, parasitic in coelomic cavity of Diopatra ornata",solitary,mobile,NA,Lecudina arabellae (gregarine),Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Arabella,polychaete,Annelida,Polychaeta,Eunicida,Oenonidae,class,rocky headlands Straight of Juan de Fuca,1615,Arabella pectinata,Central California to western Mexico,adult,NA,Both,unclear,Light & Smith,all,mixed sediments,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Arabella,polychaete,Annelida,Polychaeta,Eunicida,Oenonidae,class,rocky headlands Straight of Juan de Fuca,1613,Arabella protomutans,"Tómales Point, Dillon Beach, and Avila, Patagonia",adult,NA,N,present,Light & Smith,all,rocky habitats,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Arabella,polychaete,Annelida,Polychaeta,Eunicida,Oenonidae,class,rocky headlands Straight of Juan de Fuca,1614,Arabella semimaculata,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,in rocks and mixed sediments;,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Arctonoe,scale worm,Annelida,Polychaeta,Phyllodocida,Polynoidae,class,rocky headlands Straight of Juan de Fuca,422,Arctonoe fragilis,NA,adult,NA,N,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,ambulacral grooves of sea stars,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,Arctonoinae,NA,Aphroditiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Arctonoe,scale worm,Annelida,Polychaeta,Phyllodocida,Polynoidae,class,rocky headlands Straight of Juan de Fuca,423,Arctonoe pulchra,NA,adult,NA,Both,fairly common,"Morris, Abbott, & Haderlie; Light & Smith",low,commensal with several invertebrates or free living on rocks,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,Arctonoinae,NA,Aphroditiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Arctonoe,scale worm,Annelida,Polychaeta,Phyllodocida,Polynoidae,class,rocky headlands Straight of Juan de Fuca,424,Arctonoe vittata,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie; Light & Smith",low,free living or commensal,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,Arctonoinae,NA,Aphroditiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Autolytus,polychaete,Annelida,Polychaeta,Phyllodocida,Syllidae,class,rocky headlands Straight of Juan de Fuca,1564,Autolytus varius,British Columbia to San Francisco Bay,adult,NA,N,present,Light & Smith,all,rocky habitats,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,Autolytinae,NA,Nereidiformia,NA,NA,NA,NA,Autolytini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Bispira,polychaete,Annelida,Polychaeta,Sabellida,Sabellidae,class,rocky headlands Straight of Juan de Fuca,442,Bispira sp.,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie; Light & Smith",low,"membranous, sand encrusted tube extending from crevices; Rocky and mixed bottoms; tube membranous covered with muddy sand and debris",solitary,sessile,"""fishes""",NA,Taxonomic,Species,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Boccardia,polychaete,Annelida,Polychaeta,Spionida,Spionidae,class,rocky headlands Straight of Juan de Fuca,1621,Boccardia berkeleyorum,Central California,adult,NA,N,present,Light & Smith,all,"bores in coralline algae, hermit crab shells, and the jingle shell Pododesmus.",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Spioniformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Boccardia,polychaete,Annelida,Polychaeta,Spionida,Spionidae,class,rocky headlands Straight of Juan de Fuca,1622,Boccardia columbiana,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,Bores in mollusk shells and coralline algae,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Spioniformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Boccardia,polychaete,Annelida,Polychaeta,Spionida,Spionidae,class,rocky headlands Straight of Juan de Fuca,1623,Boccardia proboscidea,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,high,"High intertidal rock pools, in crevices; sandy mudflats; occasionally in debris in rocky intertidal;",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Spioniformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Boccardia,polychaete,Annelida,Polychaeta,Spionida,Spionidae,class,rocky headlands Straight of Juan de Fuca,1624,Boccardia tricuspa,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,Bores in mollusk shells and coralline algae,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Spioniformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Boccardiella,polychaete,Annelida,Polychaeta,Spionida,Spionidae,class,rocky headlands Straight of Juan de Fuca,1625,Boccardiella hamata,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,Intertidal as a borer into hermit crab shells and bivalves; may also build tubes in mud flats,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Spioniformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Boccardiella,polychaete,Annelida,Polychaeta,Spionida,Spionidae,class,rocky headlands Straight of Juan de Fuca,1626,Boccardiella truncata,"Moss Beach, San Mateo County",adult,NA,N,locally present,Light & Smith,all,intertidal in sandstone reefs,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Spioniformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Brada,polychaete,Annelida,Polychaeta,Terebellida,Flabelligeridae,class,rocky headlands Straight of Juan de Fuca,1656,Brada villosa,Northern Hemisphere,adult,NA,Both,unclear,Light & Smith,all,NA,solitary,sessile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Cirratuliformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Brania,polychaete,Annelida,Polychaeta,Phyllodocida,Syllidae,class,rocky headlands Straight of Juan de Fuca,1569,Brania brevipharyngea,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,NA,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,Exogoninae,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Bushiella,spirorbid polychaete,Annelida,Polychaeta,Sabellida,Serpulidae,class,rocky headlands Straight of Juan de Fuca,1685,Bushiella abnormis,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,On shaded areas of intertidal rocks and stones; coiling always sinistral; often found associated with Paradexiospira vitrea.,solitary,sessile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,Spirorbinae,NA,NA,NA,NA,NA,NA,Pileolariini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Caulleriella,polychaete,Annelida,Polychaeta,Terebellida,Cirratulidae,class,rocky headlands Straight of Juan de Fuca,1647,Caulleriella apicula,Santa Cruz and Southern California,adult,NA,Both,unclear,Light & Smith,all,NA,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Cirratuliformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Caulleriella,polychaete,Annelida,Polychaeta,Terebellida,Cirratulidae,class,rocky headlands Straight of Juan de Fuca,1648,Caulleriella cristata,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,A rocky intertidal species occurring on the outer coast in algal holdfasts and under coralline algae.,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Cirratuliformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Caulleriella,polychaete,Annelida,Polychaeta,Terebellida,Cirratulidae,class,rocky headlands Straight of Juan de Fuca,1649,Caulleriella pacifica,Puget Sound to Monterey Bay,adult,NA,N,unclear,Light & Smith,all,NA,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Cirratuliformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Ceratonereis,polychaete,Annelida,Polychaeta,Phyllodocida,Nereididae,class,rocky headlands Straight of Juan de Fuca,1589,Ceratonereis tunicatae,Northern California,adult,NA,N,present,Light & Smith,all,known only from the intertidal zone of northern California in ascidians,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,Nereidinae,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Cheilonereis,polychaete,Annelida,Polychaeta,Phyllodocida,Nereididae,class,rocky headlands Straight of Juan de Fuca,1590,Cheilonereis cyclurus,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,low,commensal with hermit crabs,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,Nereidinae,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Chloeia,polychaete,Annelida,Polychaeta,Amphinomida,Amphinomidae,class,rocky headlands Straight of Juan de Fuca,1553,Chloeia pinnata,Columbia River to Point Conception,adult,NA,N,abundant,Light & Smith,all,various sediment types,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,Archinominae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Chone,polychaete,Annelida,Polychaeta,Sabellida,Sabellidae,class,rocky headlands Straight of Juan de Fuca,1672,Chone minuta,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,"Rocky intertidal and shallow subtidal, in algal holdfasts and among compound ascidians; builds close-fitting tubes covered with edge-mounted shell fragments that accumulate sand and form mounds in the intertidal",solitary,sessile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,Myxicolinae,NA,NA,NA,NA,NA,NA,Myxicolini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Chrysopetalum,polychaete,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,class,rocky headlands Straight of Juan de Fuca,1551,Chrysopetalum occidentale,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,Rocky habitats; more southern in distribution.,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,Chrysopetalinae,NA,Nereidiformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Circeis,spirorbid polychaete,Annelida,Polychaeta,Sabellida,Serpulidae,class,rocky headlands Straight of Juan de Fuca,1686,Circeis armoricana,arctic and boreal waters,adult,NA,N,present,Light & Smith,all,"Attaches to shells and serpulid tubes, often associated with Pileolaria marginata",solitary,sessile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,Spirorbinae,NA,NA,NA,NA,NA,NA,Circeini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Cirratulus,polychaete,Annelida,Polychaeta,Terebellida,Cirratulidae,class,rocky headlands Straight of Juan de Fuca,1650,Cirratulus dillonensis,Dillon Beach,adult,NA,N,locally present,Light & Smith,all,in cryptic habitats in the rocky intertidal,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Cirratuliformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Cirratulus,polychaete,Annelida,Polychaeta,Terebellida,Cirratulidae,class,rocky headlands Straight of Juan de Fuca,1651,Cirratulus spectabilis,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,Intertidal in rocks; a cryptic species with few records; one specimen taken from rocky tide pools in Cayucos suggests it may be more common than records indicate,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Cirratuliformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Cirriformia,polychaete,Annelida,Polychaeta,Terebellida,Cirratulidae,class,rocky headlands Straight of Juan de Fuca,434,Cirriformia luxuriosa,NA,juvenile,NA,Both,common,"Morris, Abbott, & Haderlie",middle to low,"holes and crevices in pools, mussel beds, Phyllospadix roots",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Cirratuliformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Clymenella,polychaete,Annelida,Polychaeta,NA,Maldanidae,class,rocky headlands Straight of Juan de Fuca,1661,Clymenella complanata,San Mateo County,adult,NA,N,locally present,Light & Smith,all,In crevices of shale rocks in San Mateo County,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Scolecida,NA,NA,NA,NA,Euclymeninae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Crucigera,spirorbid polychaete,Annelida,Polychaeta,Sabellida,Serpulidae,class,rocky headlands Straight of Juan de Fuca,1681,Crucigera zygophora,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,Rocky intertidal habitats. thick tube usually fully attached to hard surface,solitary,sessile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,Serpulinae,NA,NA,NA,NA,NA,NA,Serpulini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Ctenodrilus,polychaete,Annelida,Polychaeta,Terebellida,Cirratulidae,class,rocky headlands Straight of Juan de Fuca,1655,Ctenodrilus serratus,cosmopolitan,adult,NA,Both,unclear,Light & Smith,all,"inconspicuous, and occurs in the intertidal in clumps of debris",solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,Ctenodrilinae,NA,Cirratuliformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Demonax,polychaete,Annelida,Polychaeta,Sabellida,Sabellidae,class,rocky headlands Straight of Juan de Fuca,1673,Demonax medius,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,"Rocky habitats, in crevices in flexible, leathery, sand-coated tubes",solitary,sessile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,Sabellinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Diopatra,polychaete,Annelida,Polychaeta,Eunicida,Onuphidae,class,rocky headlands Straight of Juan de Fuca,676,Diopatra ornata,Canada to Central California,adult,NA,Both,common,Light & Smith,low,"forming erect, parchmentlike tubes to which are attached pieces of shell and algae.",solitary,sessile,NA,NA,Taxonomic,Species,Animalia,Errantia,NA,NA,NA,NA,NA,Onuphinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Dipolydora,polychaete,Annelida,Polychaeta,Spionida,Spionidae,class,rocky headlands Straight of Juan de Fuca,1627,Dipolydora armata,Southern California,adult,NA,S,rare,Light & Smith,all,coralline algal crusts,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Spioniformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Dipolydora,polychaete,Annelida,Polychaeta,Spionida,Spionidae,class,rocky headlands Straight of Juan de Fuca,1628,Dipolydora bidentata,"California, western Pacific",adult,NA,Both,present,Light & Smith,all,bores into hermit crab shells and shells of living bivalves and gastropods.,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Spioniformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Dipolydora,polychaete,Annelida,Polychaeta,Spionida,Spionidae,class,rocky headlands Straight of Juan de Fuca,1629,Dipolydora bifurcata,northern California,adult,NA,N,present,Light & Smith,all,A borer in coralline algae; known only from northern California in outer coast tide pools,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Spioniformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Clinocottus gobiceps,adult,Dipolydora,polychaete,Annelida,Polychaeta,Spionida,Spionidae,class,rocky headlands Straight of Juan de Fuca,1630,Dipolydora commensalis,coastal North America,adult,NA,Both,present,Light & Smith,all,commensal with hermit crabs,solitary,mobile,NA,NA,Taxonomic,Species,Animalia,Sedentaria,Canalipalpata,NA,NA,NA,NA,NA,NA,Spioniformia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
