fixed_y_n,id,species,alternate_nomenclature,category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,kingdom,phylum,class,subclass,order,family,genus
as is,96,Clavularia sp.,NA,octocoral,NA,NA,NA,adult,NA,Both,NA,"Morris, Abbott, & Haderlie",low,NA,colonial,sessile,NA,filter feeder,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Coelopa (Fucomyia) frigida,1473,Coelopa (Neocoelopa) vanduzeei,NA,insect,kelp fly,NA,NA,adult,NA,NA,fairly common,Light & Smith; PO,all,sometimes common on drying seaweed,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Coelopa (Fucomyia) frigida,1474,Coelopa (Neocoelopa) vanduzeei,NA,insect,kelp fly,NA,NA,larvae,NA,NA,fairly common,Light & Smith; PO,all,their larvae feed on decaying kelp,solitary,mobile,decaying kelp,detritivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1462,Collembola,NA,insect,springtail,NA,NA,adult,NA,Both,present,Light & Smith,high,"interstitial, still tide pools",solitary,mobile,NA,detritivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Order,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
Conopeum osburni,812,Conopeum osbumi,NA,bryozoan,NA,NA,Oregon to Gulf of California,adult,2 - 200,Both,present,Light & Smith,all,Encrusting,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,925,Coryne sp.,NA,hydroid,NA,NA,not reported,hydroid colony,NA,Both,NA,Light & Smith,all,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,"represent many unidentified species ""in our area""",Taxonomic,Genus,NA,NA,NA,NA,NA,12:44.9,all,NA,NA,NA,NA,NA,NA,NA
as is,926,Coryne sp.,NA,plankton,NA,NA,not reported,medusa,NA,Both,NA,Light & Smith,all,NA,solitary,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,"represent many unidentified species ""in our area""",Taxonomic,Genus,NA,NA,NA,NA,NA,12:44.9,all,NA,NA,NA,NA,NA,NA,NA
Celleporina robertsoniae,135,Costazia robertsoniae,NA,bryozoan,NA,NA,NA,adult,NA,both,common,"Morris, Abbott, & Haderlie",low,common on macrocystis,colonial,sessile,NA,filter feeder,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,4,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Bostrycapulus aculeatus,260,Crepidula aculeata,NA,slipper snail,spiny slipper snail,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie",low,NA,solitary,mobile,"zooplankton, phytoplankton",filter feeder,generalist,Pteropurpura trialata,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),1813,Crepidula convexa,NA,slipper limpet,NA,NA,Introduced to San Francisco Bay,adult,10,N,unclear,Light & Smith,all,often on shells including hermit crab-occupied Ilyanassa obsoleta,solitary,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),1815,Crepidula plana,NA,slipper limpet,NA,NA,Introduced to San Francisco Bay,adult,NA,N,present,Light & Smith,all,on rocks and often (as concave specimens) in hermit crab shells.,solitary,mobile,NA,filter feeder,generalist,NA,in hermit crab shells,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),787,Crisia occidentalis,NA,bryozoan,NA,NA,NA,adult,2 - 200,Both,present,Light & Smith,all,intertidal,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1934,Cumanotus sp.,NA,nudibranch,NA,NA,Oregon to southern California,adult,NA,Both,present,Light & Smith,all,"found on the hydroid Pinauay crocea on which it feeds and whose polyps it resembles,",solitary,mobile,NA,micropredator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1935,Cumanotus sp.,NA,nudibranch,NA,NA,Oregon to southern California,eggs,NA,Both,present,Light & Smith,all,found on the hydroid Pinauay crocea,solitary,mobile,NA,non-feeding life stage,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Mitromorpha aspera,1855,Cymakra aspera,Mitromorpha aspera,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,all,NA,solitary,mobile,polychaetes,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Mitromorpha gracilior,1856,Cymakra gracilior,Mitromorpha gracilior,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,present,Light & Smith,low,Rocky areas of low intertidal,solitary,mobile,polychaetes,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,1025,Cythere sp.,NA,ostracod,NA,zooplankton,"Point Piedras Blancas, CA to Baja California",adult,NA,Both,present,Light & Smith,all,tide pool,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Dactylopleustes echionoides,1368,Dactylopleustes echinoides,NA,gammarid,NA,NA,NA,adult,3.3,NA,present,Light & Smith,all,Commensal or egg predator of sea urchins,solitary,mobile,NA,unknown,generalist,NA,sea urchins,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1105,Dactylopodella sp.,NA,copepod,NA,zooplankton,Puget Sound to California,adult,NA,Both,present,Light & Smith,all,NA,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,1048,Dactylopusia vulgaris inornata,NA,copepod,NA,zooplankton,NA,adult,NA,NA,abundant,Light & Smith,low,Abundant in epiphytes on eelgrass and macroalgae.,aggregating,mobile,NA,filter feeder,generalist,juvenile salmon and flatfish,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Subspecies,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Deontostoma californicum,1994,Deontostoma califomicum,NA,nematode,NA,NA,"Point Pinos, Pacific Grove, and Shell Beach, La Jolla, Santa Barbara, Dillon Beach,",adult,NA,N,unclear,Light & Smith,all,"sediment from holdfasts of Egregia, sediment in holdfasts of Laminaria digitata and Egregia spp, on intertidal rocks",solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,single record?,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Deutella californica,1416,Deutella califomica,NA,caprellid,NA,NA,NA,adult,NA,N,present,Light & Smith,all,"Open rocky shore and on pilings of marine wharfs such as at Monterey, on many substrates (subtidal SoCal)",solitary,mobile,NA,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Diaphana californica,1872,Diaphana califomica,NA,snail,NA,NA,Columbia River to Point Conception,adult,4,N,uncommon,Light & Smith,all,intertidally on algae,solitary,mobile,foraminiferan,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1744,Dicyemennea sp.,NA,rhombozoan,NA,NA,host range,adult,NA,S,unclear,Light & Smith,all,Octopus microprysus kidney,colonial,mobile,NA,parasite,specialist,NA,NA,NA,NA,NA,Octopus microprysus,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Koinostylochus burchami,2046,Discosolenia burchami,Pseudostylochus burchami),turbellarian,NA,NA,Oregon to California,adult,NA,N,present,Light & Smith,low,intertidal pools,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,791,Disporella sp.,Lichenopora sp.,bryozoan,NA,NA,NA,adult,2 - 200,Both,present,Light & Smith,all,"on algal blades, hydroids, shell, stone; intertidal to 200 m",colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Doropygus seclusus,1164,Doropygus seclusis,NA,copepod,NA,invertebrate endoparasite,NA,adult,NA,NA,present,Light & Smith,all,In the simple ascidian Chelyosoma productum,solitary,sessile,NA,parasite,specialist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Dynamene benedicti,1236,Dynamenella benedicti,NA,isopod,NA,NA,Monterey Bay,adult,NA,N,present,Light & Smith,all,intertidal,solitary,mobile,NA,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Echinolaophonte briani,1071,Echinolaophonte armiger briani,NA,copepod,NA,zooplankton,cosmopolitan,adult,NA,Both,present,Light & Smith,all,epiphytes and holdfasts of macroalgae and eelgrass,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Einhornia venturaensis,816,Electra venturaensis,NA,bryozoan,NA,NA,"Alaska; central, southern California",adult,2 - 200,Both,present,Light & Smith,all,"encrusting rocks, shells, algae",colonial,sessile,NA,filter feeder,generalist,NA,algae,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1531,Emphyastes fucicola,NA,insect,NA,NA,NA,larvae,NA,NA,present,Light & Smith,all,eat decaying kelp below the surface of the water,solitary,mobile,decaying kelp,detritivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Enteroctopus dofleini,420,Enteroctopus dolfleini,Octopus dolfleini,octopus,giant Pacific octopus,small,NA,small,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low tidepools,more common subtidally,solitary,mobile,"""shrimps and crabs, scallops, clams, abalones, moon snails, small octopuses, rockfishes, flatfishes, sculpins""",typical predator,generalist,"""seals"", Enhydris luteia, ""dogfish, sharks, lingcod, humans""",NA,NA,"Dicyemennea abreida, Conocyema deca",NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Enteroctopus dofleini,1745,Enteroctopus dolfleini,Octopus dolfleini,octopus,giant Pacific octopus,NA,Columbia River to Point Conception,adult,350,N,present,Light & Smith,low tidepools,"intertidal in northern part of range, inhabit substrates littered with rocks and boulders.",solitary,mobile,"""shrimps and crabs, scallops, clams, abalones, moon snails, small octopuses, rockfishes, flatfishes, sculpins""",typical predator,generalist,"""seals"", Enhydris luteia, ""dogfish, sharks, lingcod, humans""",NA,NA,"Dicyemennea abreida, Conocyema deca",NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Enteroctopus dofleini,1746,Enteroctopus dolfleini,Octopus dolfleini,octopus,giant Pacific octopus,NA,Columbia River to Point Conception,eggs,6-6.5,N,present,Light & Smith,low tidepools,laid in festoons,aggregating,sessile,NA,non-feeding life stage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Entodesma navicula,392,Entodesma navícula,Entodesma saxicola,clam,rock entodesma,NA,NA,adult,NA,Both,fairly common,"Morris, Abbott, & Haderlie; Light & Smith",low,"attached in crevices; Byssally attached under rocks in low intertidal, in fouling on wharf pilings",solitary,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one (but doubled in WORMS),1308,Ericthonius rubricornis,NA,gammarid,NA,NA,Amphiboreal?,adult,9,NA,present,Light & Smith,all,forming mats of muddy tubes on diverse substrata,solitary,sessile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,tube building,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Eudactylopus latipes,1109,Eudactylopus latipes typica,NA,copepod,NA,zooplankton,NA,adult,NA,NA,present,Light & Smith,all,eelgrass and macroalgae,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Subspecies,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Eulalia californiensis,1557,Eulalia califomiensis,NA,polychaete,NA,NA,Central California,adult,NA,N,rare,Light & Smith,all,"variety of bottom types, including sand, shelly gravel, among crevices in rocks, and in algal holdfasts",solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,2064,Eurylepta sp.,NA,turbellarian,NA,NA,"Pacific Grove, CA",adult,NA,N,locally present,Light & Smith,low,from surfaces of seaweed; low intertidal,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,single record?,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Euryleptodes phyllulus,2067,Euryleptodes phyllus,NA,turbellarian,NA,NA,"Monterey Bay, CA",adult,NA,N,unclear,Light & Smith,all,NA,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,single record?,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Eurystoma ornatum,2005,Eurystomina ornatum,NA,nematode,NA,NA,Dillon Beach,adult,NA,N,unclear,Light & Smith,all,Sediment behind rocks,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,single record?,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Odostomia tenuisculpta,1865,Evalea tenuisculpta,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,"ectoparasitic on invertebrate hosts, in general",solitary,mobile,NA,parasite,specialist,NA,NA,NA,NA,NA,red abalone,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Evasterias troschelii,720,Evasterias troschelli,NA,asteroid,NA,NA,North to Monterey,adult,NA,N,present,Light & Smith,all,in sheltered inlets,solitary,mobile,"bivalves, limpets, snails, brachiopods (Terebratalia), barnacles (Balanus glandula), and tunicates",typical predator,generalist,NA,Arctonoe fragilis,NA,NA,NA,NA,NA,uncommon in CA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Excorallana tricornis occidentalis,1225,Excorallana tricomis occidentalis,NA,isopod,NA,NA,Southern California to Panama,adult,NA,S,present,Light & Smith,all,rocks,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Filicrisia geniculata,793,Filicrisia cf. geniculata,NA,bryozoan,NA,NA,NA,adult,2 - 200,Both,common,Light & Smith,all,"undersides of rocks; British Colombia to San Pedro, CA; common in Monterey Bay; intertidal, shallow water",colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Filicrisia franciscana,138,Filicrisia fransciscana,NA,bryozoan,NA,NA,NA,adult,NA,both,NA,"Morris, Abbott, & Haderlie",middle and low,attaches to base of red and green algae,colonial,sessile,NA,filter feeder,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
as is,642,fish eggs,NA,gametes,varies,NA,NA,egg,NA,Both,present,NA,all,all,aggregating,sessile,NA,non-feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,Common Name,Assemblage,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Fissurella volcano,190,Fissurela volcano,NA,limpet,keyhole limpet,NA,NA,adult,NA,Both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",middle,NA,solitary,mobile,NA,grazer,NA,Pisaster ochraceus,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
Fissurella volcano crucifera,191,Fissurela volcano crucifera,NA,limpet,keyhole limpet,NA,NA,adult,NA,Both,abundant,"Morris, Abbott, & Haderlie",middle,NA,solitary,mobile,NA,grazer,NA,Pisaster ochraceus,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
Flustrellidra corniculata,139,Frustrellida corniculata,NA,bryozoan,NA,NA,NA,adult,NA,N,NA,"Morris, Abbott, & Haderlie",low,cold water,colonial,sessile,plankton,filter feeder,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Gammaropsis barnardi,1281,Gammaropsis bamardi,NA,gammarid,NA,NA,NA,adult,5,NA,present,Light & Smith,all,In mixed rock sediments and sand; tube building?,solitary,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Golfingia margaritacea,451,Golfingia maragaritacea,NA,sipunculid,NA,NA,NA,adult,NA,N,rare,"Morris, Abbott, & Haderlie; Light & Smith",low,crevices of rocks,solitary,mobile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Halcampa decemtentaculata,97,Halacampa decemtentacula,NA,NA,NA,NA,NA,adult,NA,N,common,"Morris, Abbott, & Haderlie",low,not much known,NA,sessile,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,946,Halecium sp.,NA,hydroid,NA,NA,NA,hydroid colony,NA,Both,present,Light & Smith,all,NA,colonial,sessile,NA,filter feeder,generalist,Doto sp.,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,947,Halecium sp.,NA,plankton,NA,NA,NA,medusa,NA,Both,present,Light & Smith,all,NA,solitary,mobile,surface zooplankton,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
"not in WORMS, nomen nudum",969,Haliclystus sanjuanensis,NA,cnidarian,NA,NA,"Unalaska Island in the Aleutians (53.4° N, 166.8° W) in the northwest, to Santa Barbara County, California, just north of Point Conception (34.5° N, 120.5° W)",adult,NA,N,present,Mills et al (2023),low,"On living eelgrass and surfgrass, Zostera marina and Phyllospadix scouleri, or on various species of red, green, and brown algae",solitary,sessile,NA,filter feeder,generalist,NA,"Zostera marina and Phyllospadix scouleri, or on various species of red, green, and brown algae",NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,968,Haliclystus sp.,NA,cnidarian,NA,NA,British Columbia to California,adult,NA,Both,rare,Light & Smith,low,NA,solitary,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,58,Halisarca sp.,NA,sponge,NA,NA,NA,adult,NA,Central,uncommon,Light & Smith,middle to low,NA,NA,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Unidentified Species,NA,NA,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
Halocynthia hilgendorfi,223,Halocynthia hilgendorfi igaboja,NA,tunicate,NA,NA,NA,adult,NA,Both,NA,"Morris, Abbott, & Haderlie; L&S",very low,NA,solitary,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,WA: Doropygus fernaldi,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,very low,NA,NA,NA,NA,NA,NA,NA
no idea what's wrong with this one,425,Halosydna brevisetosa,NA,scale worm,NA,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,free living in mussel beds/holdfasts or commensal in tubes,solitary,mobile,NA,NA,facultative generalist,NA,"Pista pacifica, Pista elongata, Thelepus crispus, Neoamphitrite robusta, Loimia montagui, Platynereis bicanaliculata",NA,NA,NA,NA,NA,NA,Taxonomic,Species,4,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Hamacantha (Zygherpe) hyaloderma,43,Hamacantha hyaloderma,NA,sponge,NA,NA,NA,adult,NA,Central,rare,Light & Smith,low,NA,NA,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,confirm whether to include,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Haminoea japonica,1874,Haminoea japónica,NA,snail,NA,NA,"Northeastern Pacific, invasive from Japan",adult,NA,N,unclear,Light & Smith,all,NA,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Heptacarpus paludicola,515,Heptacarpus paliducola,NA,shrimp,NA,NA,NA,adult,NA,NA,common,Light & Smith,middle,"In Zostera beds and on algae, such as Ulva, in shallow pools on mudflats; on wharf pilings, floats; also in mid-intertidal pools of rocky coast;",solitary,mobile,NA,scavenger,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
not in WORMS,512,Heptacarpus pictus,NA,shrimp,red banded transparent shrimp,NA,NA,adult,NA,Both,abundant,"Morris, Abbott, & Haderlie",tidepools,among rocks and algae in pools,solitary,mobile,NA,scavenger,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
not in WORMS,1543,Heptacyclus viridus,(=Malmiana),leech,NA,NA,Oregon,adult,NA,not in CA,unclear,Light & Smith,low,"parasite of buffalo sculpin; estuaries, especially Yaquina Bay",solitary,mobile,NA,parasite,specialist,NA,NA,NA,NA,NA,Enophrys bison,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Cypria reptans,1021,Herpetocypris reptans,NA,ostracod,NA,zooplankton,"North American West Coast, Europe",adult,0.2 - 3,Both,present,Light & Smith,high,tide pools with freshwater influx,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,high,NA,NA,NA,NA,NA,NA,NA
Nassarius mendicus,291,Hima mendica,Nassarius mendicus,snail,lean nassa,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,NA,solitary,mobile,carrion,scavenger,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Primavelans insculpta,133,Hippodoplosia insculpta,NA,bryozoan,NA,NA,NA,adult,NA,both,abundant,"Morris, Abbott, & Haderlie",middle and low,encrusting on shells,colonial,sessile,NA,filter feeder,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
deleted,860,Hippoporina insculpta,Hippodiplosia insculpta,bryozoan,common,NA,"Alaska to central California,",adult,2 - 200,Both,present,Light & Smith,low,"on rock, shell, algae, bryozoans, hydroids",colonial,sessile,NA,filter feeder,generalist,NA,"algae, bryozoans, hydroids",NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Primavelans mexicana,861,Hippoporina mexicana,NA,bryozoan,NA,NA,Channel Islands to Cocos Island off Costa Rica,adult,2 - 200,S,present,Light & Smith,low,"on shell, stone",colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Hoploplana californica,2048,Hoploplana califomica,NA,turbellarian,NA,NA,Oregon to California,adult,NA,N,common,Light & Smith,all,"Common on encrusting bryozoans, especially Celleporaria brunnea,",solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,1457,Hyadesiid mites,NA,mite,NA,NA,NA,adult,0.18-2,NA,abundant,Light & Smith,all,among green alga in tide pools,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Family,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
