man_edits,id.x,species,alternate_nomenclature,category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,aphia,kingdom,phylum,class,order,family,genus,subclass,infraclass,subterclass,superorder,superfamily,subphylum,subfamily,superclass,suborder,infraorder,parvorder,subkingdom,infrakingdom,tribe,subgenus,infraphylum,parvphylum,gigaclass,megaclass,phylum_division,subphylum_subdivision,subtribe,section,subsection,subspecies,epifamily,date_added,species.x,species2,species.y
NA,400,Lepidozona pectinulata,Lepidozona californiensis,chiton,NA,NA,Southern California,adult,NA,S,common,"Morris, Abbott, & Haderlie",low,under rocks,solitary,mobile,microalgal film,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,2,fix,NA,NA,NA,NA,NA,386050,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Lepidozona,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1758,Lepidozona radians,schnochiton radians,chiton,NA,NA,Southern Alaska to Northern Baja California,adult,NA,Both,uncommon,Light & Smith,low,"under rocks, hidden beneath sediment deposits on rocky surfaces, more common subtidally",solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,386051,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Lepidozona,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,396,Lepidozona regularis,"Ischnochiton regularis, Tripoplax regularis",chiton,NA,NA,NA,adult,NA,N,present,"Morris, Abbott, & Haderlie; Light & Smith",low,"under rocks; sometimes occurring under smooth cobbles in high energy shores (LS says rare, MAH says fairly common)",solitary,mobile,microalgal film,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,2,fix,NA,NA,NA,NA,NA,768922,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Lepidozona,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1760,Lepidozona retiporosa,NA,chiton,NA,NA,Pacific Northwest to Northern Baja California,adult,NA,Both,rare,Light & Smith,middle to low,NA,solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,386053,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Lepidozona,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1759,Lepidozona scabricostata,NA,chiton,NA,NA,Southern California,adult,NA,S,rare,Light & Smith,middle to low,NA,solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,386055,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Lepidozona,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,399,Lepidozona scrobiculata,Lepidozona sinudentata,chiton,NA,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,"under rocks, more common subtidally",solitary,mobile,microalgal film,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,2,fix,NA,NA,NA,NA,NA,386056,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Lepidozona,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1761,Lepidozona willetti,NA,chiton,NA,NA,Pacific Northwest to Northern Baja California,adult,NA,Both,unclear,Light & Smith,middle to low,NA,solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,386065,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Lepidozona,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,403,Stenoplax conspicua,NA,chiton,NA,NA,Pacific Northwest to Northern Baja California,adult,NA,S,common,"Morris, Abbott, & Haderlie; Light & Smith",low,under rocks or in tide pools in urchin depressions; rare North of Point Conception; common under rocks in a similar habitat to S. heathiana.,solitary,mobile,microalgal film,grazer,generalist,octopus,"Vitrinella oldroydi, Teinostoma invallata, Pristes oblongus may occur under the girdle",NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,3,fix,NA,NA,NA,NA,NA,848098,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Stenoplax,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1754,Stenoplax fallax,NA,chiton,NA,NA,Pacific Northwest to Northern Baja California,juvenile,<1500,Both,rare,"Morris, Abbott, & Haderlie",low,often under thin layers of sediment on top of rocks,solitary,mobile,microalgal film,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Life Stage,Species,NA,NA,NA,NA,NA,NA,NA,848094,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Stenoplax,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,402,Stenoplax fallax,NA,chiton,NA,NA,NA,adult,NA,Both,rare,"Morris, Abbott, & Haderlie; light & Smith",low,under rocks buried in sand/gravel,solitary,mobile,microalgal film,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,2,fix,NA,NA,NA,NA,NA,848094,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Stenoplax,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,401,Stenoplax heathiana,NA,chiton,NA,NA,NA,adult,NA,Both,fairly common,"Morris, Abbott, & Haderlie",middle to low,"under rocks buried in sand/gravel, nocturnal",solitary,mobile,drift algae,grazer,generalist,NA,Vitrinella oldroydi,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,1,NA,NA,NA,NA,NA,middle,848155,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Stenoplax,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1755,Stenoplax heathiana,NA,chiton,NA,NA,Pacific Northwest to Northern Baja California,eggs,NA,Both,present,Light & Smith,middle to low,"This species is unusual in spawning a sticky egg mass from which crawl-away larvae emerge (Haderlie, Abbott, 1980)",aggregating,sessile,not reported,non-feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,Life Stage,Species,NA,NA,NA,NA,NA,NA,middle,848155,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Stenoplax,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-Apr-24,1756,Stenoplax heathiana,NA,chiton,NA,NA,Pacific Northwest to Northern Baja California,larva,NA,Both,present,Light & Smith,middle to low,"This species is unusual in spawning a sticky egg mass from which crawl-away larvae emerge (Haderlie, Abbott, 1980)",solitary,mobile,various algae and surfgrass,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Life Stage,Species,NA,NA,NA,NA,NA,NA,middle,848155,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,Stenoplax,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,394,Leptochiton rugatus,NA,chiton,NA,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,"under rocks; can be found under rocks well submerged into sand or mud, especially those in shallow warm mid-zone pools near the shore",solitary,mobile,microalgal film,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,2,fix,NA,NA,NA,NA,NA,367856,Animalia,Mollusca,Polyplacophora,Lepidopleurida,Leptochitonidae,Leptochiton,Neoloricata,NA,NA,NA,NA,NA,NA,NA,Lepidopleurina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,406,Dendrochiton flectens,"Mopalia heathii, Basiliochiton heathii",chiton,NA,NA,Pacific Northwest to Northern Baja California,adult,NA,Both,rare,"Morris, Abbott, & Haderlie; Light & Smith",very low,more common subtidally on all sides of rocks,solitary,mobile,microalgal film,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,NA,817214,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Dendrochiton,Neoloricata,NA,NA,NA,Mopalioidea,NA,Mopaliinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1775,Dendrochiton thamnoporus,NA,chiton,NA,NA,Monterey Peninsula,adult,NA,N,rare,Light & Smith,very low,more common subtidally on all sides of rocks,solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,817760,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Dendrochiton,Neoloricata,NA,NA,NA,Mopalioidea,NA,Mopaliinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,416,Katharina tunicata,NA,chiton,NA,NA,Alaska to Big Sur,adult,NA,N,common,"Morris, Abbott, & Haderlie; Light & Smith",middle to low,"sides, surfaces of rocks; lives among corallines, mussels on exposed rocks",solitary,mobile,"""brown, red algae"", microalgal film",grazer,generalist,NA,NA,NA,NA,NA,NA,NA,"many things encrust - coralline algae, hydroids, bryozoans, barnacles",Taxonomic,Species,2,NA,NA,NA,NA,NA,middle,386338,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Katharina,Neoloricata,NA,NA,NA,Mopalioidea,NA,Mopaliinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1776,Mopalia acuta,NA,chiton,NA,NA,Pacific Northwest to Northern Baja California,adult,NA,Both,rare,Light & Smith,very low,"under rocks, shells on sand, beneath the sand line on larger rocks",solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,386341,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Neoloricata,NA,NA,NA,Mopalioidea,NA,Mopaliinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1777,Mopalia kennerleyi,NA,chiton,NA,NA,North to San Francisco Bay,adult,NA,N,present,Light & Smith,middle to low,NA,solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,386348,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Neoloricata,NA,NA,NA,Mopalioidea,NA,Mopaliinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1778,Mopalia lionota,NA,chiton,NA,NA,Pacific Northwest to Northern Baja California,adult,NA,Both,present,Light & Smith,low,"in the granite, sand channel habitat",solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,386350,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Neoloricata,NA,NA,NA,Mopalioidea,NA,Mopaliinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1779,Mopalia plumosa,NA,chiton,NA,NA,Monterey Bay,adult,NA,N,present,Light & Smith,low,NA,solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,769107,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Neoloricata,NA,NA,NA,Mopalioidea,NA,Mopaliinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,412,Mopalia ciliata,NA,chiton,NA,NA,Monterey Bay to South,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",middle to low,"crevices, under rocks, sloping rocks, among mussels",solitary,mobile,"""hydroids, sponges, bryozoans, diatoms, red, brown algae"" ""bryozoans, hydroids,, barnot reportedcles""",omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,middle,386342,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Neoloricata,NA,NA,NA,Mopalioidea,NA,Mopaliinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,413,Mopalia hindsii,NA,chiton,NA,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",middle to low,"crevices, under rocks, sloping rocks; on exposed coasts, often found deep in crevices or on the walls of sea caves",solitary,mobile,"""bryozoans, young barnot reportedcles (cyprid larvae), other animal material"" ""bryozoans, hydroids,, barnot reportedcles""",omnivore,generalist,NA,"Spionid polychaetes, Nexilis epichitonius",NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,middle,386346,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Neoloricata,NA,NA,NA,Mopalioidea,NA,Mopaliinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,414,Mopalia lignosa,NA,chiton,NA,NA,NA,adult,NA,N,common,"Morris, Abbott, & Haderlie; Light & Smith",middle to low,on boulders supported by rocks surrounded by coarse sand,solitary,mobile,"diatoms, Ulva, ""small crustaceans, bryozoans, foraminifera""",omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,middle,386349,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Neoloricata,NA,NA,NA,Mopalioidea,NA,Mopaliinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,411,Mopalia muscosa,NA,chiton,mossy chiton,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",middle to low,"on rocks, in tidepools, nocturnal",solitary,mobile,"Gigartinot reported papilata, Endocladia muricata, Cladophora columbianot reported, ""bryozoans, hydroids,, barnot reportedcles""",omnivore,specialist,NA,covered with algae,NA,NA,NA,NA,NA,generalists in some areas,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,386353,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Neoloricata,NA,NA,NA,Mopalioidea,NA,Mopaliinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,415,Placiphorella velata,NA,chiton,veiled chiton,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",very low,"depressions, crevices, under rocks",solitary,mobile,"""small crustaceans, worms"", microalgal film",omnivore,generalist,NA,NA,NA,NA,NA,NA,NA,can be a grazer or active predator,Taxonomic,Species,2,NA,NA,NA,NA,NA,NA,386377,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Placiphorella,Neoloricata,NA,NA,NA,Mopalioidea,NA,Mopaliinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1763,Cyanoplax berryana,Lepidochitona,chiton,NA,NA,San Mateo County to South,adult,NA,Both,present,Light & Smith,middle to low,"on the top, sides of rocks",solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,386412,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Cyanoplax,Neoloricata,NA,NA,NA,Mopalioidea,NA,Tonicellinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1764,Cyanoplax caverna,Lepidochitona,chiton,NA,NA,"Santa Cruz, San Luis Obispo Counties",adult,NA,N,locally common,Light & Smith,middle to low,"Sometimes found nestled in the pallial groove of the larger Nuttallina californica,",solitary,mobile,not reported,grazer,generalist,NA,"in the pallial groove of the larger Nuttallina californica,",NA,NA,NA,NA,NA,broods emrbyos,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,386413,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Cyanoplax,Neoloricata,NA,NA,NA,Mopalioidea,NA,Tonicellinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1768,Cyanoplax cryptica,NA,chiton,NA,NA,Catalina Island to South,adult,NA,S,present,Light & Smith,middle to low,"Found exclusively on the southern sea palm kelp, Eisenia arborea.",solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,386423,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Cyanoplax,Neoloricata,NA,NA,NA,Mopalioidea,NA,Tonicellinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1765,Cyanoplax dentiens,Lepidochitona,chiton,NA,NA,Alaska to Central California,adult,NA,N,common,Light & Smith,middle to low,"on the top, sides of rocky outcrops, boulders",solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,386414,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Cyanoplax,Neoloricata,NA,NA,NA,Mopalioidea,NA,Tonicellinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,405,Cyanoplax hartwegii,NA,chiton,NA,NA,Santa Cruz to Northern Baja California,adult,30.8,Both,common,"Morris, Abbott, & Haderlie; Light & Smith","high tide pools, nocturnal","under Pelvetia fastigiata, under the rockweed Silvetia compressa as well as in mid-intertidal tide pools",solitary,mobile,"Pelvetia fastigiata, Hildenbrandia sp., Petrocelis sp., Endocladia sp., Cladophora sp.",grazer,generalist,"""sea stars, birds""",NA,NA,NA,NA,NA,NA,more specialist if surrounded by a certain sp of algae,Taxonomic,Species,NA,NA,NA,NA,NA,NA,high,386416,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Cyanoplax,Neoloricata,NA,NA,NA,Mopalioidea,NA,Tonicellinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1766,Cyanoplax keepiana,Lepidochitona keepiana,chiton,NA,NA,Cayucos to South,adult,NA,Both,present,Light & Smith,middle to low,"Found in warm protected pools under small stones,",solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,386417,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Cyanoplax,Neoloricata,NA,NA,NA,Mopalioidea,NA,Tonicellinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1767,Cyanoplax lowei,NA,chiton,NA,NA,Pacific Northwest to Northern Baja California,adult,NA,Both,uncommon,Light & Smith,middle to low,"Found exclusively amongst the holdfasts of the giant kelp, Macrocystis pyrifera, but rarely collected",solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,386418,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Cyanoplax,Neoloricata,NA,NA,NA,Mopalioidea,NA,Tonicellinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1769,Cyanoplax thomasi,Lepidochitona thomasi; =Nuttallina thomasi,chiton,NA,NA,Monterey Peninsula to the southern Big Sur coastline.,adult,NA,N,locally abundant,Light & Smith,middle,mid-intertidal rocky cracks or under barnacle hummocks;,solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,broods emrbyos,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,386429,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Cyanoplax,Neoloricata,NA,NA,NA,Mopalioidea,NA,Tonicellinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,409,Nuttallina californica,NA,chiton,Nuttall's chiton,NA,NA,adult,NA,Both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",middle,"crevices, depressions, under coralline algae, between mussels/barnacles",solitary,mobile,"erect coralline algae, Endocladia muricata, Gelidium sp., Cladophora columbianot reported",grazer,generalist,Western gulls,Cyanoplax dentiens,NA,NA,NA,NA,NA,"algae grows on it.. Does this count as commensal? (Endocladia, Corallina, Polysiphonia, Cladophora",Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,386437,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Nuttallina,Neoloricata,NA,NA,NA,Mopalioidea,NA,Tonicellinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1770,Nuttallina fluxa,NA,chiton,NA,NA,Southern California to Baja California,adult,NA,S,common,Light & Smith,middle to low,"intertidal habitats, including home depressions when the substrate is sandstone",solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,769080,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Nuttallina,Neoloricata,NA,NA,NA,Mopalioidea,NA,Tonicellinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,404,Tonicella lineata,NA,chiton,NA,NA,NA,adult,NA,N,present,"Morris, Abbott, & Haderlie; light & Smith",low,"erect or crustose coralline algae, in OR: under Strongylocentrotus",solitary,mobile,coralline algae; upper layer of persistent coralline crustose algae,grazer,specialist,"Pisaster ochraceus, Leptasterias hexactis",NA,NA,NA,NA,NA,NA,behavior changes from CA to OR,Taxonomic,Species,3,fix,NA,NA,NA,NA,NA,386441,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Tonicella,Neoloricata,NA,NA,NA,Mopalioidea,NA,Tonicellinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1771,Tonicella lokii,NA,chiton,NA,NA,Columbia River to Point Conception,adult,NA,N,common,Light & Smith,middle to low,NA,solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,386442,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Tonicella,Neoloricata,NA,NA,NA,Mopalioidea,NA,Tonicellinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1773,Tonicella undocaerulea,NA,chiton,NA,NA,Columbia River to Point Conception,adult,NA,N,rare,Light & Smith,very low,more common subtidally,solitary,mobile,not reported,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,386445,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Tonicella,Neoloricata,NA,NA,NA,Mopalioidea,NA,Tonicellinae,NA,Acanthochitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
