reference_number,nsboth,ca,ep_riz,general_location_of_study
176,both,y,y,
176,both,y,y,
177,n,y,y,"Duxbury Reef, CA"
178,n,y,y,"Mission Point, Monterey, CA"
178,n,y,y,"Mission Point, Monterey, CA"
178,n,y,y,"Mission Point, Monterey, CA"
178,n,y,y,"Mission Point, Monterey, CA"
178,n,y,y,"Mission Point, Monterey, CA"
178,n,y,y,"Mission Point, Monterey, CA"
178,n,y,y,"Mission Point, Monterey, CA"
178,n,y,y,"Mission Point, Monterey, CA"
178,n,y,y,"Mission Point, Monterey, CA"
179,s,n,y,Gulf of California
180,NA,NA,y,Lab
180,NA,NA,y,Lab
180,NA,NA,y,Lab
181,n,n,y,"Mitchell Bay, San Juan Island, WA"
181,n,y,y,"Mitchell Bay, San Juan Island, WA"
182,n,y,y,"Elkhorn Slough, Monterey County, CA"
182,n,y,y,"Elkhorn Slough, Monterey County, CA"
182,n,y,y,"Elkhorn Slough, Monterey County, CA"
182,n,y,y,"Elkhorn Slough, Monterey County, CA"
182,n,y,y,"Elkhorn Slough, Monterey County, CA"
182,n,y,y,"Elkhorn Slough, Monterey County, CA"
182,n,y,y,"Elkhorn Slough, Monterey County, CA"
183,s,y,y,"Santa Barbara County, CA"
184,s,y,y,"San Diego CA; Washington, USA"
184,s,y,y,"San Diego CA; Washington, USA"
185,s,y,y,San Diego CA
185,s,y,y,San Diego CA
185,s,y,y,San Diego CA
185,s,y,y,San Diego CA
185,s,y,y,San Diego CA
185,s,y,y,San Diego CA
185,s,y,y,San Diego CA
185,s,y,y,San Diego CA
185,s,y,y,San Diego CA
185,s,y,y,San Diego CA
185,s,y,y,San Diego CA
186,n,y,y,"Bodega Marine Reserve, CA"
186,n,y,y,"Bodega Marine Reserve, CA"
186,n,y,y,"Bodega Marine Reserve, CA"
186,n,y,y,"Bodega Marine Reserve, CA"
186,n,y,y,"Bodega Marine Reserve, CA"
186,n,y,y,"Bodega Marine Reserve, CA"
186,n,y,y,"Bodega Marine Reserve, CA"
186,n,y,y,"Bodega Marine Reserve, CA"
186,n,y,y,"Bodega Marine Reserve, CA"
187,n,n,y,"Barkley Sound, British Columbia"
187,n,n,y,"Barkley Sound, British Columbia"
188,n,n,y,"Boiler Bay, Oregon"
188,n,n,y,"Boiler Bay, Oregon"
188,n,n,y,"Boiler Bay, Oregon"
188,n,n,y,"Boiler Bay, Oregon"
188,n,n,y,"Boiler Bay, Oregon"
188,n,n,y,"Boiler Bay, Oregon"
188,n,n,y,"Boiler Bay, Oregon"
188,n,n,y,"Boiler Bay, Oregon"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
189,n,y,y,"Bolinas Lagoon, CA"
190,n,n,y,"Vancouver Island; San Juan Island, WA"
191,n,n,y,"Vancouver Island, BC"
191,s,n,y,
191,s,n,y,
191,s,n,y,
191,s,n,y,
191,s,n,y,
191,s,n,y,
191,s,n,y,
191,s,n,y,
191,s,n,y,
192,s,y,y,"Santa Cruz Island, CA"
192,s,y,y,"Santa Cruz Island, CA"
192,s,y,y,"Santa Cruz Island, CA"
192,s,y,y,"Santa Cruz Island, CA"
192,s,y,y,"Santa Cruz Island, CA"
193,s,y,y,"Lunada Bay, Palos Verdes, CA"
193,s,y,y,"Lunada Bay, Palos Verdes, CA"
194,s,y,y,"Pacific Grove, California"
194,s,y,y,"Pacific Grove, California"
194,s,y,y,"Pacific Grove, California"
194,s,y,y,"Pacific Grove, California"
194,s,y,y,"Pacific Grove, California"
194,s,y,y,"Pacific Grove, California"
194,s,y,y,"Pacific Grove, California"
195,n,n,y,"Barkley Sound, Canada"
195,n,n,y,"Barkley Sound, Canada"
195,n,n,y,"Barkley Sound, Canada"
195,n,n,y,"Barkley Sound, Canada"
195,n,n,y,"Barkley Sound, Canada"
195,n,n,y,"Barkley Sound, Canada"
196,s,n,y,"Bay of Los Angeles, Baja California"
196,both,y,y,
196,both,y,y,
196,both,y,y,
197,n,n,y,"Turn Island, WA"
197,n,n,y,"Turn Island, WA"
197,n,n,y,"Turn Island, WA"
197,n,n,y,"Turn Island, WA"
197,n,n,y,"Turn Island, WA"
197,n,n,y,"Turn Island, WA"
197,n,n,y,"Turn Island, WA"
197,n,n,y,"Turn Island, WA"
197,n,n,y,"Turn Island, WA"
197,n,n,y,"Turn Island, WA"
197,n,n,y,"Turn Island, WA"
197,n,n,y,"Turn Island, WA"
197,n,n,y,"Turn Island, WA"
198,s,y,y,"Santa Catalina Island, CA"
199,NA,NA,NA,
200,n,y,y,"Monterey Bay, CA; Santa Cruz, CA"
200,n,y,y,"Monterey Bay, CA; Santa Cruz, CA"
201,n,n,y,Hecate Strait
201,n,n,y,Hecate Strait
201,n,n,y,Hecate Strait
201,n,n,y,Hecate Strait
201,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
202,n,n,y,Hecate Strait
203,both,y,y,California
204,n,n,y,"Colin's Cove, Friday Harbor Laboratories, WA"
205,n,n,y,British Columbia
205,na,n,n,Japan
205,n,n,y,Oregon
205,n,n,y,Alaska
205,n,n,y,Alaska
205,n,n,y,Alaska
205,n,NA,y,Alaska
205,s,y,y,Baja California
205,s,n,y,Baja California
205,s,n,y,Baja California
205,s,n,y,Baja California
205,s,n,y,Baja California
205,s,n,y,Baja California
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,both,y,y,California
205,n,n,y,Canada
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,n,y,y,Central California
205,s,n,y,Cerros Island. Mexico
205,s,n,y,Cerros Island. Mexico
205,s,y,y,"Gulf of California, Southern California"
205,na,n,n,Japan
205,na,n,n,Japan
205,na,n,n,Japan
205,na,n,n,New York Aquarium
205,n,y,y,Northern Californa
205,n,y,y,Northern Californa
205,n,y,y,Northern Californa
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California
205,n,y,y,Northern California.
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,"Oregon, California"
205,s,n,y,Pacific coast of Baja California
205,na,n,n,Sea of Japan
205,na,n,n,Sea of Japan
205,na,n,n,Sea of Japan
205,na,n,n,Sea of Japan
205,na,n,y,Sea of Japan
205,na,n,n,Sea of Japan
205,na,n,n,Sea of Japan
205,na,n,n,Sea of Japan
205,na,n,n,Sea of Japan
205,na,n,n,Sea of Japan
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California.
205,na,n,n,USSR
205,na,n,n,USSR Pacific
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,Washington
205,n,n,y,"Washington, British Columbia"
205,n,n,y,"Washington, British Columbia"
205,n,n,y,"Washington, Oregon"
205,n,n,y,"Washington, Oregon"
205,both,y,y,NA
205,both,y,y,NA
205,both,n,y,NA
205,both,n,y,NA
205,both,y,y,NA
205,both,y,y,NA
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,y,y,Central California
205,n,y,y,Northern California
205,n,n,y,Oregon
205,n,n,y,Oregon
205,na,n,n,Sea of Japan
205,n,n,y,Washington
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,both,n,y,NA
205,n,n,y,Alaska
205,n,n,y,Alaska
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,n,n,y,British Columbia
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,s,y,y,Southern California
205,n,n,y,British Columbia
205,n,y,y,Northeast Pacific
205,n,n,y,Oregon
205,n,n,y,Oregon
205,n,n,y,Oregon
205,s,y,y,Southern California
205,s,y,y,Southern California
235,n,y,y,"Hopkins Marine Station, Monterey Bay, CA"
235,n,y,y,"Hopkins Marine Station, Monterey Bay, CA"
235,n,y,y,"Hopkins Marine Station, Monterey Bay, CA"
235,n,y,y,"Hopkins Marine Station, Monterey Bay, CA"
235,n,y,y,"Hopkins Marine Station, Monterey Bay, CA"
235,n,y,y,"Hopkins Marine Station, Monterey Bay, CA"
235,n,y,y,"Hopkins Marine Station, Monterey Bay, CA"
235,n,y,y,"Hopkins Marine Station, Monterey Bay, CA"
235,n,y,y,"Hopkins Marine Station, Monterey Bay, CA"
235,n,y,y,"Hopkins Marine Station, Monterey Bay, CA"
235,n,y,y,"Hopkins Marine Station, Monterey Bay, CA"
236,n,y,y,"Spud Point Marina in Bodega Bay, CA"
236,n,y,y,"Spud Point Marina in Bodega Bay, CA"
236,n,y,y,"Spud Point Marina in Bodega Bay, CA"
236,n,y,y,"Spud Point Marina in Bodega Bay, CA"
236,n,y,y,"Spud Point Marina in Bodega Bay, CA"
237,s,y,y,"Point Cabrillo, CA"
237,s,y,y,"Point Cabrillo, CA"
237,s,y,y,"Point Cabrillo, CA"
237,s,y,y,"Point Cabrillo, CA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
238,n,n,y,"Friday Harbor Laboratories, San Juan Island, WA"
239,na,n,n,"Lough Hyne, County Cork, Ireland"
239,na,n,n,"Lough Hyne, County Cork, Ireland"
240,n,y,y,"Monterey Bay, CA"
240,n,y,y,"Monterey Bay, CA"
241,n,n,y,"Vancouver Island and San Juan Island,"
241,n,n,y,"Vancouver Island and San Juan Island,"
241,n,n,y,"Vancouver Island and San Juan Island,"
241,n,n,y,"Vancouver Island and San Juan Island,"
241,n,n,y,"Vancouver Island and San Juan Island,"
241,n,n,y,"Vancouver Island and San Juan Island,"
241,n,n,y,"Vancouver Island and San Juan Island,"
241,n,n,y,"Vancouver Island and San Juan Island,"
242,NA,NA,NA,
243,NA,NA,NA,
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
244,n,n,y,"Friday Harbor Laboratory, San Juan Island, WA"
245,n,n,y,"Kuleet Bay, British Columbia"
245,na,n,y,"Kuleet Bay, British Columbia"
246,n,n,y,"Victoria, British Columbia"
246,n,n,y,"Victoria, British Columbia"
246,n,n,y,"Victoria, British Columbia"
247,n,n,y,"Victoria, British Columbia"
247,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
248,n,n,y,"Victoria, British Columbia"
