reference_number,reference
152,"Whitcombe, Cassandra D.. 2014. Dietary and stable isotope analyses reveal the role of kelp pipefish (syngnathus californiensis), a presumed cryptic prey, in the diet of the elegant tern (thalasseus elegans) in southern california waters. California State University, Fullerton"
153,"Cook, Amy. 1996. Ontogeny of feeding morphology and kinematics in juvenile fishes: a case study of the cottid fish clinocottus analis. Journal of Experimental Biology. 199. 9. 1961-1971. 10.1242/jeb.199.9.1961"
154,"Ruiz-Campos, Gorgonio; Hammann, M. Gregory. 1991. Feeding of the woolly sculpin, clinocottus analis (pisces: cottidae), in todos santos bay, baja california, mexico. The Southwestern Naturalist. 36. 3. 348-353. 10.2307/3671688"
155,"Johnson, Clifford Ray. 1970. Notes on the intertidal life history of the northern clingfish, gobiesox maeandricus (girard). The American Midland Naturalist. 83. 2. 625-627. 10.2307/2423966"
156,"Solorzano, Yesika; Viana, María Teresa; López, Lus M.; Correa, Juan Gabriel; True, Conal C.; Rosas, Carlos. 2009. Response of newly hatched octopus bimaculoides fed enriched artemia salina: growth performance, ontogeny of the digestive enzyme and tissue amino acid content. Aquaculture. 289. 1. 84-90. 10.1016/j.aquaculture.2008.12.036"
157,"Ambrose, Richard F.. 1984. Food preferences, prey availability, and the diet of octopus bimaculatus verrill. Journal of Experimental Marine Biology and Ecology. 77. 1. 29-44. 10.1016/0022-0981(84)90049-2"
159,"Ambrose, Richard F.. 1982. Shelter utilization by the molluscan cephalopod octopus bimaculatus. Marine Ecology Progress Series. 7. 1. 67-73"
160,"Goddard, Jeffrey H. R.. 2000. Sponge prey of chromodoris macfarlandi. Opisthobranch Newsletter. 26. 2. 10-Sep"
162,"McDonald, Gary R.; Nybakken, James W.. 1978. Additional notes on the food of some california nudibranchs with a summary of known food habits of california species. The Veliger. 21. 1. 110-119"
163,"McBeth, James W.. 1971. Studies on the food of nudibranchs. The Veliger. 14. 2. 158-161"
164,"Villegas, Elisa Jeanneht Armendáriz; Ceballos-Vázquez, Bertha Patricia; Markaida, Unai; Abitia-Cárdenas, Andrés; Medina-López, Marco Antonio; Arellano-Martínez, Marcial. 2014. Diet of octopus bimaculatus verril, 1883 (cephalopoda: octopodidae) in bahía de los ángeles, gulf of california. Journal of Shellfish Research. 33. 1. 305-314. 10.2983/035.033.0129"
165,"Goddard, Jeffrey H. R.. 1981. Range extension and notes on the food, morphology, and color pattern of the dorid nudibranch hallaxa chani. The Veliger. 24. 2. 155-158"
166,"Ambrose, Richard F.. 1983. Midden formation by octopuses: the role of biotic and abiotic factors. Marine Behaviour and Physiology. 10. 2. 137‚Äì144. 10.1080/10236248309378613"
169,"Colunga-Ramírez, Graciela Esmeralda; Martínez-Aquino, Andrés; Flores-López, Carlos Alberto; Gestal, Camino; Azevedo, Carlos; Castellanos-Martínez, Sheila. 2021. Aggregata polibraxiona n. sp. (Apicomplexa: aggregatidae) from octopus bimaculatus verrill, 1883 (mollusca: cephalopoda) from the gulf of california, mexico. European Journal of Protistology. 81. 125825. 10.1016/j.ejop.2021.125825"
170,"López-Peraza, Diana J.; Hernández-Rodríguez, Mónica; Barón-Sevilla, Benjamín. 2018. Protocol for removal of the marine leech stibarobdella moorei (oka, 1910) from the two-spotted octopus, octopus bimaculatus (verril, 1883). American Malacological Bulletin. 36. 1. 119-124. 10.4003/006.036.0105"
171,"Forsythe, J. W.; Hanlon, R. T.; Bullis, R. A.; Noga, E. J.. 1991. Octopus bimaculoides (pickford & mcconnaughey, 1949): a marine invertebrate host for ectoparasitic protozoans. Journal of Fish Diseases. 14. 4. 431-442. 10.1111/j.1365-2761.1991.tb00595.x"
172,"Taylor, Peter B.; Chen, Lo-Chai. 1969. The predator-prey relationship between the octopus (octopus bimaculatus) and the california scorpionfish (scorpaena guttata)"
173,"Ambrose, Rf. 1986. Effects of octopus predation on motile invertebrates in a rocky subtidal community. Marine Ecology Progress Series. 30. 261-273. 10.3354/meps030261"
174,"Wasson, Kerstin. 1997. Systematic revision of colonial kamptozoans (entoprocts) of the pacific coast of north america. Zoological Journal of the Linnean Society. 121. 1. Jan-63. 10.1111/j.1096-3642.1997.tb00146.x"
175,"Goddard, Jeffrey H R; Goddard, William M; Goddard, Zygmund E. 2020. Benthic heterobranch sea slugs (gastropoda: heterobranchia) from santa barbara county, california. Proceedings of the California Academy of Sciences. 66. 10. 25"
177,"Benson, P. H.. 1960. A pycnogonid infestation of mytilus californicus. The Veliger. 3. 16-18"
179,"Curran, Stephen S.; Overstreet, Robin M.. 2000. Syncoelium vermilionensis sp. n., (hemiuroidea: syncoeliidae) and new records for members of azygiidae, ptychogonimidae, and syncoeliidae parasitizing elasmobranchs in the gulf of california. Metazoan Parasites in the Neotropics: A Systematic and Ecological Perspective. 117-133"
180,"Appy, Ralph G.; Goffredi, Shana K.; Pernet, Bruno; Latino, Carin. 2019. Experimental elucidation of the life cycle of rhinebothrium urobatidium (cestoda: rhinebothriidea) from the round stingray (urobatis halleri: myliobatiformes) to first and second intermediate hosts. Bulletin, Southern California Academy of Sciences. 118. 3. 139. 10.3160/0038-3872-118.3.139"
181,"Reiswig, Henry M.. 1975. Bacteria as food for temperate-water marine sponges. Canadian Journal of Zoology. 53. 5. 582-589. 10.1139/z75-072"
182,"Cooper, John W. 1979. Ecological aspects of tubularia crocea (agassiz, 1862) and its nudibranch predators in elkhorn slough, california.. California State University, Hayward"
183,"Sphon, Gale G.; Lance, James R.. 1968. An annotated list of nudibranchs and their allies from santa barbara county, ca. Proceedings of the California Academy of Sciences. 36. 3. 73-84"
184,"Fawcett, Michael H.. 1984. Local and latitudinal variation in predation on an herbivorous marine snail. Ecology. 65. 4. 1214-1230. 10.2307/1938329"
185,"Paine, Robert T.. 1965. Natural history, limiting factors and energetics of the opisthobranch navanax inermis. Ecology. 46. 5. 603-619. 10.2307/1935000"
186,"Shinen, J. S.; Morgan, S. G.; Chan, A. L.. 2009. Invasion resistance on rocky shores: direct and indirect effects of three native predators on an exotic and a native prey species. Marine Ecology Progress Series. 378. 47-54. 10.3354/meps07870"
187,"Donovan, Deborah A; Danko, Jean Paul; Carefoot, Thomas H. 1999. Functional significance of shell sculpture in gastropod molluscs: test of a predator-deterrent hypothesis in ceratostoma foliatum (gmelin). Journal of Experimental Marine Biology and Ecology. 236. 2. 235-251. 10.1016/S0022-0981(98)00200-7"
189,"Stenzel, Lynne E.; Huber, Harriet R.; Page, Gary W.. 1976. Feeding behavior and diet of the long-billed curlew and willet. The Wilson Bulletin. 88. 2. 314-332"
190,"Larson, Ronald J.; Fautin, Daphne G.. 1989. Stauromedusae of the genus manania (= thaumatoscyphus) (cnidaria, scyphozoa) in the northeast pacific, including descriptions of new species manania gwilliami and manania handi. Canadian Journal of Zoology. 67. 6. 1543-1549. 10.1139/z89-219"
191,"Hartwick, E.B.; Thorarinsson, G.. 1978. Den associates of the giant pacific octopus, octopus dofleini (wulker). Ophelia. 17. 1. 163‚Äì166. 10.1080/00785326.1978.10425480"
191,"Zagal, Carolina J.. 2004. Diet of the stauromedusa haliclystus auricula from southern chile. Journal of the Marine Biological Association of the United Kingdom. 84. 2. 337-340. 10.1017/S0025315404009245h"
192,"Menge, Jane Lubchenco. 1974. Prey selection and foraging period of the predaceous rocky intertidal snail, acanthina punctulata. Oecologia. 17. 4. 293-316. 10.1007/BF00345748"
193,"Perry, D. M.. 1985. Function of the shell spine in the predaceous rocky intertidal snail acanthina spirata (prosobranchia: muricacea). Marine Biology. 88. 1. 51-58. 10.1007/BF00393043"
194,"West, Lani. 1986. Interindividual variation in prey selection by the snail nucella (= thais) emarginata. Ecology. 67. 3. 798-809. 10.2307/1937702"
195,"Gosselin, Louis A.; Chia, Fu-Shiang. 1994. Feeding habits of newly hatched juveniles of an intertidal predatory gastropod, nucella emarginata (deshayes). Journal of Experimental Marine Biology and Ecology. 176. 1. 13-Jan. 10.1016/0022-0981(94)90193-7"
196,"López-Peraza, D. J., Hernández-Rodríguez, M., Barón-Sevilla, B., Bückle-Ramírez, L. F., & Grano-Maldonado, M. I. (2017). First record of Stibarobdella moorei (Annelida, Hirudinea, Piscicolidae) a marine leech parasitizing Octopus bimaculatus (Mollusca: Octopodidae) from the Mexican Pacific coast. Helminthologia, 54(4), 322–329. https://doi.org/10.1515/helm-2017-0044"
196,"Hopper, Julie V.; Kuris, Armand M.; Lorda, Julio; Simmonds, Sara E.; White, Crow; Hechinger, Ryan F.. 2014. Reduced parasite diversity and abundance in a marine whelk in its expanded geographical range. Journal of Biogeography. 41. 9. 1674-1684. 10.1111/jbi.12329"
197,"Palmer, A. Richard. 1988. Feeding biology of ocenebra lurida (prosobranchia: muricacea): diet, predator-prey size relations, and attack behavior. The Veliger. 31. 4-Mar. 192-203"
198,"Levine, N. D. (1974). Selenidium fauchaldi sp. N. And S. telepsavi (Stuart) comb. Nov. (Protozoa, Apicomplexa), Gregarines from Polychaetes. The Journal of Protozoology, 21(1), 8–9. https://doi.org/10.1111/j.1550-7408.1974.tb03606.x"
199,"Heath, Harold; McGregor, Ernest A.. 1912. New polyclads from monterey bay, california. Proceedings of the Academy of Natural Sciences of Philadelphia. 64. 455-488"
200,"Shanebeck, K. M.; Presswell, B.; Lagrue, C.. 2020. Missing link: california rock crabs serve as intermediate hosts for the parasite helicometrina nimia. Journal of Helminthology. 94. e143. 10.1017/S0022149X20000218"
201,"Lawton, Peter; Elner, Robert W.. 1985. Feeding in relation to morphometrics within the genus cancer: evolutionary and ecological considerations. Proceedings of the Symposium on Dungeness Crab Biology and Management. Alaska Sea Grant Report. 85. 3. 357-379"
202,"Bernard, F R. 1979. The food of hecate strait crabs august 1977. Department of Fisheries and the Environment"
204,"Lloyd, Margaret Champlin. 1971. The biology of searlesia dira (mollusca: gastropoda) with emphasis on feeding. University of Michigan"
205,"Love, M. S., & Moser, M. (1984). A Checklist of Parasites of California, Oregon, and Washington Marine and Estuarine Fishes. The Journal of Parasitology, 70(6), 962. https://doi.org/10.2307/3281646"
206,"Temereva, E. N.; Malakhov, V. V.. 2010. Filter feeding mechanism in the phoronid phoronopsis harmeri (phoronida, lophophorata). Russian Journal of Marine Biology. 36. 2. 109-116. 10.1134/S1063074010020057"
207,"Avilés, Fabián; Rozbaczylo, Nicolás; Godoy, Marcos; Muñoz, Gerardo. 2007. The first report of phoronis sp. (Phoronida) in red abalone (haliotis rufescens) in chile. Journal of Shellfish Research. 26. 3. 859-861. 10.2983/0730-8000(2007)26[859:TFROPS]2.0.CO;2"
208,"Arenas, José N.. 1972. Phoronis ovalis wright in chile. Studies on Neotropical Fauna. 7. 1. 113-115. 10.1080/01650527209360437"
210,"Harvell, Catherine. 1984. Predator-induced defense in a marine bryozoan. Science (New York, N.Y.). 224. 1357-9. 10.1126/science.224.4655.1357"
211,"Harvell, Drew. 1984. Why nudibranchs are partial predators: intracolonial variation in bryozoan palatability. Ecology. 65. 3. 716-724. 10.2307/1938043"
212,"Yoshioka, Paul M.. 1982. Predator-induced polymorphism in the bryozoan membranipora membranacea (l.). Journal of Experimental Marine Biology and Ecology. 61. 3. 233-242. 10.1016/0022-0981(82)90071-5"
213,"Yoshioka, Paul M.. 1982. Role of planktonic and benthic factors in the population dynamics of the bryozoan membranipora membranacea. Ecology. 63. 2. 457-468. 10.2307/1938963"
214,"Harbo, R. M. (2022). Whelks to Whales: Coastal Marine Life of the Pacific Northwest (3rd ed.). Harbour Publishing. https://www.scribd.com/book/585829007/Whelks-to-Whales-Coastal-Marine-Life-of-the-Pacific-Northwest-Newly-Revised-and-expanded-Third-edition"
215,"Leighton, David; Boolootian, Richard A.. 1963. Diet and growth in the black abalone, haliotis cracherodii . Ecology. 44. 2. 228-238. 10.2307/1932170"
216,"Nelson, Matthew M.; Leighton, David L.; Phleger, Charles F.; Nichols, Peter D.. 2002. Comparison of growth and lipid composition in the green abalone, haliotis fulgens, provided specific macroalgal diets. Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology. 131. 4. 695-712. 10.1016/S1096-4959(02)00042-8"
217,"Winter, Frank C.; Estes, James A.. 1992. Experimental evidence for the effects of polyphenolic compounds from dictyoneurum californicum ruprecht (phaeophyta: laminariales) on feeding rate and growth in the red abalone haliotus rufescens swainson. Journal of Experimental Marine Biology and Ecology. 155. 2. 263-277. 10.1016/0022-0981(92)90067-K"
218,"Eastman, James Kirbye. 1975. Food preferences of triopha maculata  and  triopha carpenteri  on the monterey peninsula, california. California State University, Fresno"
219,"Lozano-Cobo, Horacio; Gómez-Gutiérrez, Jaime; Franco-Gordo, Carmen; Prado-Rosas, María del Carmen Gómez del; Plascencia-Palomera, Viridiana; Ambriz-Arreola, Israel. 2018. Changes in parasite-chaetognath species assemblages in the mexican central pacific before and during el niño 1997-1998. Diseases of Aquatic Organisms. 129. 3. 215-238. 10.3354/dao03245"
220,"Lozano Cobo, H., Gómez del Prado-Rosas, M. del C., Cota Meza, S., Pacheco Chávez, M. del R., & Sánchez Velasco, L. (2012). Helmintos parásitos en Quetognatos en el Alto Golfo de California, México. The Biologist, 10(Extra 2 (julio-diciembre)), 24."
221,"Lozano-Cobo, Horacio; Gómez-Gutiérrez, Jaime; Franco-Gordo, Carmen; Prado-Rosas, María Del Carmen Gómez Del. 2017. The discovery of acanthocephalans parasitizing chaetognaths. Acta Parasitologica. 62. 2. 10.1515/ap-2017-0048"
222,"Sanvicente, L., Lemus-Santana, E., Soto, L., & Ruiz Boijseauneau, I. (2020). Feeding of Flaccisagitta enflata (Chaetognatha) upon copepods in the southern Gulf of Mexico. Cahiers de Biologie Marine, 61, 1–8. https://doi.org/10.21411/CBM.A.D2D370A8"
223,"Terbiyik Kurt, Tuba. 2018. Preliminary results on the feeding and gut content of flaccisagitta enflata in coastal areas of iÃáskenderun bay (northeastern mediterranean sea). Kahramanmara≈ü Süt√ßü ƒ∞mam √úniversitesi Tarƒ±m ve Doƒüa Dergisi. 21. 5. 765-771. 10.18016/ksudobil.406362"
224,"Miyamoto, Hiroomi; Vijai, Dharmamony; Okazaki, Yuji; Saito, Hiroaki. 2019. Feeding ecology of chaetognath flaccisagitta enflata in the kuroshio region, western north pacific. Kuroshio Current. American Geophysical Union (AGU). 257-272"
225,"Lie, Alle A. Y.; Tse, Pan; Wong, Chong Kim. 2012. Diel vertical migration and feeding of three species of chaetognaths (flaccisagitta enflata, aidanosagitta delicata and aidanosagitta neglecta) in two shallow, subtropical bays in hong kong. Journal of Plankton Research. 34. 8. 670-684. 10.1093/plankt/fbs041"
226,"Batisti_, Mirna; Miku_, Josip; Njire, Jakica. 2003. Chaetognaths in the south adriatic: vertical distribution and feeding. Journal of the Marine Biological Association of the United Kingdom. 83. 6. 1301-1306. 10.1017/S0025315403008713"
227,"Giesecke, Ricardo; González, Humberto E.. 2008. Reproduction and feeding of sagitta enflata in the humboldt current system off chile. ICES Journal of Marine Science. 65. 3. 361-370. 10.1093/icesjms/fsn030"
228,"Giesecke, Ricardo; González, Humberto E.. 2004. Feeding of sagitta enflata and vertical distribution of chaetognaths in relation to low oxygen concentrations. Journal of Plankton Research. 26. 4. 475-486. 10.1093/plankt/fbh039"
229,"Santa Barbara Coastal LTER, J.E. Byrnes, D.C. Reed, B.J. Cardinale, K.C. Cavanaugh, S.J. Holbrook, and R.J. Schmitt. 2022. SBC LTER: Reef: Feeding relationships for kelp forest species ver 4. Environmental Data Initiative. https://doi.org/10.6073/pasta/e82a082f4440d469c84e11a265266004 (Accessed 2024-06-12)."
230,"Gerard, v. A. 1976. Some aspects of material dynamics and energy flow in a kelp forest in monterey bay, california. Ph. D. Thesis. University of california santa cruz, santa cruz, ca."
231,"Love, M. 1996. Probably more than you want to know about the fishes of the Pacific Coast. Really Big Press, Santa Barbara, CA."
232,"Mauzey, k. P., c. Birkeland, and p. K. Dayton. 1968. Feeding behavior of asteroids and escape responses of their prey in the puget sound region. Ecology 49:603-619."
233,"Nakashima, r. 1974. Asteroid predation in monterey bay. B. S. Thesis. University of california santa barbara."
234,"Byrnes, J. E. and j. J. Stachowicz. 2009. The consequences of consumer diversity loss: different answers from different experimental designs. Ecology 90:2879-2888."
235,"Levine, Norman D.. 1981. New species of lankesteria (apicomplexa, eugregarinida) from ascidians on the central california coast1. The Journal of Protozoology. 28. 3. 363-370. 10.1111/j.1550-7408.1981.tb02868.x"
236,"Byrnes, Jarrett E.; Stachowicz, John J.. 2009. The consequences of consumer diversity loss: different answers from different experimental designs. Ecology. 90. 10. 2879-2888. 10.1890/08-1073.1"
237,"Gerard, Valrie A.. 1976. Some aspects of material dynamics and energy flow in a kelp forest in monterey bay, california"
239,"Ballard, L.; Myers, A.. 1997. Vertical distribution, morphology and diet of proboscidactyla stellata (cnidaria: limnomedusae) in lough hyne marine nature reserve, co. Cork, ireland. Journal of the Marine Biological Association of the United Kingdom. 77. 4. 999-1009. 10.1017/S0025315400038583"
240,"Hand, Cadet. 1954. Three pacific species of ""lar"" (including a new species), their hosts, medusae, and relationships.. Pacific Science. 8. 51-67"
241,"Spencer, Andrew N.. 1974. Behavior and electrical activity in the hydrozoan proboscidactyla flavicirrata (brandt). I. The hydroid colony. The Biological Bulletin. 146. 1. 100-115. 10.2307/1540401"
242,"Puce, S., Calcinai, B., Bavestrello, G., Cerrano, C., Gravili, C., & Boero, F. (2005). Hydrozoa (Cnidaria) symbiotic with Porifera: A review. Marine Ecology, 26(2), 73–81. https://doi.org/10.1111/j.1439-0485.2005.00050.x"
243,"Boero, F., Bouillon, J., & Gravili, C. (2000). A survey of Zanclea, Halocoryne and Zanclella (Cnidaria, Hydrozoa, Anthomedusae, Zancleidae) with description of new species. Italian Journal of Zoology, 67(1), 93–124. https://doi.org/10.1080/11250000009356301"
244,"Costello, J. H.; Colin, S. P.. 2002. Prey resource use by coexistent hydromedusae from friday harbor, washington. Limnology and Oceanography. 47. 4. 934-942. 10.4319/lo.2002.47.4.0934"
245,"Purcell, Jennifer E.; Grover, Jill J.. 1990. Predation and food limitation as causes of mortality in larval herring at a spawning ground in british columbia. Marine Ecology Progress Series. 59. 2-Jan. 55-61"
246,"Phylum cnidaria, class hydrozoa, p. 44-71. In: reproduction and development of marine invertebrates of the northern pacific coast: data and methods for the study of eggs, embryos, and larvae."
247,"Boonstra, Jennifer L.; Koneval, Maureen E.; Clark, James D.; Schick, Mark; Smith, Malissa; Stark, Amy L.. 2015. Milbemycin oxime (interceptor) treatment of amphipod parasites (hyperiidae) from several host jellyfish species. Journal of Zoo and Wildlife Medicine. 46. 1. 158-160. 10.1638/2014-0087R.1"
248,"Towanda, T; Thuesen, Ev. 2006. Ectosymbiotic behavior of cancer gracilis and its trophic relationships with its host phacellophora camtschatica and the parasitoid hyperia medusarum. Marine Ecology Progress Series. 315. 221-236. 10.3354/meps315221"
249,"Frost, J. R., Denda, A., Fox, C. J., Jacoby, C. A., Koppelmann, R., Nielsen, M. H., & Youngbluth, M. J. (2012). Distribution and trophic links of gelatinous zooplankton on Dogger Bank, North Sea. Marine Biology, 159(2), 239–253. https://doi.org/10.1007/s00227-011-1803-7"
250,"Corrales-Ugalde, Marco; Sponaugle, Su; Cowen, Robert K; Sutherland, Kelly R. 2021. Seasonal hydromedusan feeding patterns in an eastern boundary current show consistent predation on primary consumers. Journal of Plankton Research. 43. 5. 712-724. 10.1093/plankt/fbab059"
251,"Kuris, Armand M.; Carlton, James T.. 1977. Description of a new species, crangon handi , and new genus, lissocrangon , of crangonid shrimps (crustacea: caridea) from the california coast, with notes on adaptation in body shape and coloration. The Biological Bulletin. 153. 3. 540-559. 10.2307/1540605"
252,"Fahrenbach, Wolf-Henrich. 1954. A new species of the genus diarthrodes (crustacea, copepoda) parasitic in a red alga. Journal of the Washington Academy of Sciences. 44. 10. 326-329"
253,"Pawlik, Joseph R.. 1987. Bocquetia rosea, new genus, new species, an unusual rhizocephalan parasite of a sponge-inhabiting barnacle, membranobalanus orcutti (pilsbry), from california. Journal of Crustacean Biology. 7. 2. 265-273. 10.1163/193724087X00225"
254,"Hutchinson, Marcy. 2002. Chemical defense in the gammarid amphipods chromopleustes oculatus, ch. lineatus, and cryptodius kelleri (arthropoda: crustacea). East Carolina University"
255,"Keith, Donald E.. 1969. Aspects of feeding in caprella californica stimpson and caprella equilibra say (amphipoda). Crustaceana. 16. 2. 119-124"
256,"Williams, Jason D.; McDermott, John J.. 1997. Feeding behavior of dipolydora commensalis (polychaeta: spionidae): particle capture, transport, and selection. Invertebrate Biology. 116. 2. 115-123. 10.2307/3226975"
257,"Miller, Richard L.. 1968. Some observations on the ecology and behavior of lucapinella callomarginata. The Veliger. 11. 2. 130 - 132"
258,"Cross, Jeffrey N.. 1981. Structure of a rocky intertidal fish assemblage. University of Washington"
259,"Pfister, C. A., & Betcher, S. P. (2018). Climate drivers and animal host use determine kelp performance over decadal scales in the kelp Pleurophycus gardneri (Laminariales, Phaeophyceae). Journal of Phycology, 54(1), 1–11. https://doi.org/10.1111/jpy.12601"
261,"Goddard, J. H. R. (1984). The opisthobranchs of Cape Arago, Oregon, with notes on their biology and a summary of benthic opisthobranchs known from Oregon. The Opisthobranchs of Cape Arago, Oregon, with Notes on Their Biology and a Summary of Benthic Opisthobranchs Known from Oregon, 27(2), 143–163."
262,"Conlan, K. E.; Chess, J. R.. 1992. Phylogeny and ecology of a kelp-boring amphipod, peramphithoe stypotrupetes, new species (corophioidea: ampithoidae). Journal of Crustacean Biology. 12. 3. 410-422. 10.2307/1549035"
263,"Cai, Yu-Jie; Tang, Liang. 2022. Descriptions of the developmental stages of cafius nauticus (fairmaire) (coleoptera: staphylinidae: staphylininae), with comments on its biology. Zootaxa. 5182. 5. 429-447. 10.11646/zootaxa.5182.5.2"
264,"Maguire, Athena; Rogers-Bennett, Laura. 2013. An ectoparasitic snail (evalea tenuisculpta) infects red abalone (haliotis rufescens) in northern california. California Fish and Game. 99. 80-89"
265,"Markham, J. C. (1977). Description of a new western Atlantic species of Argeia Dana with a proposed new subfamily for this and related genera (Crustacea Isopoda, Bopyridae). Zoologische Mededelingen, 52(9), 107–123."
266,"Pugh, P. J. A.; King, P. E.. 1985. Feeding in intertidal acari. Journal of Experimental Marine Biology and Ecology. 94. 1. 269-280. 10.1016/0022-0981(85)90064-4"
267,"Tuskes, Paul; Tuskes, Ann. 2009. Influence of habitat on growth and prey selection of pteropurpura festiva, the festive murex. The Festivus. 48. 4. 211-220"
268,"Burreson, Eugene M.; Kim, Bernard; Passarelli, Julianne Kalman. 2012. A new species of mysidobdella (hirudinida: piscicolidae) from mysids along the california coast. Journal of Parasitology. 98. 2. 341-343. 10.1645/GE-2921.1"
269,"Neethling, L. A. M., & Avenant-Oldewage, A. (2016). Branchiura—A Compendium of the Geographical Distribution and a Summary of Their Biology. Crustaceana, 89(11/12), 1243–1446."
270,"Boeger, Walter A.; Kritsky, Delane C.. 1993. Phylogeny and a revised classification of the monogenoidea bychowsky, 1937 (platyhelminthes). Systematic Parasitology. 26. 1. Jan-32. 10.1007/BF00009644"
271,"Kritsky, Delane C.; Noble, Elmer R.; Moser, Mike. 1978. Allencotyla pricei sp. n. (Microcotyloidea: heteraxinidae) from the gills of the pile surfperch, damalichthys vacca (girard), in southern california. The Journal of Parasitology. 64. 1. 45-48. 10.2307/3279607"
272,"Montero, Francisco E.; Javier Aznar, F.; Fernández, Mercedes; Raga, Juan A.. 2003. Pseudoallencotyla gen. n., a new genus for allencotyla pricei (kritsky, noble et moser, 1978) (monogenea: heteraxinidae), with a key to genera of heteraxininae. Folia Parasitologica. 50. 1. 43-47. 10.14411/fp.2003.007"
273,"Armitage, K. B. (1961). Studies of the Biology of Polychoerus carmelensis (Turbellaria: Acoela). Pacific Science, 15(2), 203–210."
274,"Tuskes, Paul M.. 2019. Calliostomatidae of the northeast pacific. Zoosymposia. 13. 83-96. 10.11646/zoosymposia.13.1.9"
275,"Tuskes, Paul; McGowan-Tuskes, Ann. 2019. Calliostoma and akoya of the californian marine province (gastropoda: calliostomatidae). The Festivus. 51. 1. 28-Nov. 10.54173/F511011"
276,"Tuskes, Paul; Tuskes, Ann. 2023. Biology of the wavy top turban megastraea undosa (wood, 1828) from southern california, and the baja california peninsula (turbinidae). The Festivus. 55. 1. 40-56. 10.54173/F55140"
277,"Goto, Ryutaro; Takano, Tsuyoshi; Eernisse, Douglas J.; Kato, Makoto; Kano, Yasunori. 2021. Snails riding mantis shrimps: ectoparasites evolved from ancestors living as commensals on the host‚Äôs burrow wall. Molecular Phylogenetics and Evolution. 163. 107122. 10.1016/j.ympev.2021.107122"
278,"Braithwaite, L. F., Rodríguez-Vargas, A., Borgen, M., & Bingham, B. L. (2017). Feeding Behavior of the Wrinkled Dove Snail Amphissa columbiana. Northwest Science, 91(4), 356–366. https://doi.org/10.3955/046.091.0405"
279,"Fretter, Vera A. 1976. The anatomy and feeding of the volutacean prosobranch volvarina taeniolata mörch. Journal of Molluscan Studies. 42. 3. 327-336. 10.1093/oxfordjournals.mollus.a065341"
280,"Cowles, D. Invertebrates of the Salish Sea. 2002. Walla Walla University. https://inverts.wallawalla.edu/. Accessed 6/11/2024"
281,"Harada, Eiji. 1969. On the interspecific association of a snapping shrimp and gobioid fishes. Publications of the Seto Marine Biological Laboratory. 16. 5. 315-334. 10.5134/175555"
282,"Bain, B. (1991). Some observations on biology and feeding behavior in two southern California pycnogonids. Bijdragen Tot de Dierkunde, 61(1), 63–64. https://doi.org/10.1163/26660644-06101006"
283,"Valdés, Ángel. 2019. Northeast pacific benthic shelled sea slugs. Zoosymposia. 13. 1. 242-304. 10.11646/zoosymposia.13.1.21"
284,"Russel, David J.; Hedgepeth, Joel W.. 1990. Host utilization during ontogeny by two pycnogonid species (tanystylum duospinum and ammothea hilgendorfi) parasitic on the hydroid eucopella everta (coelenterata: campanulariidae). Bijdragen lot de Dierkunde. 60. 3. 215-224"
285,"Vader, Wim. 1972. Associations between amphipods and molluscs. A review of published records. Sarsia. 48. 1. 13-18. 10.1080/00364827.1972.10411193"
285,"Vader, W. (1972). Associations between amphipods and molluscs. A review of published records. Sarsia, 48(1), 13–18. https://doi.org/10.1080/00364827.1972.10411193"
287,"Alves, Rodrigo V. A.; Lucena Frédou, Flávia; Craveiro, Nykon; Nolé Eduardo, Leandro; Rosa Filho, José S.. 2023. Life history and population dynamics of the enigmatic tanaid chondrochelia dubia (tanaidacea: leptocheliidae) in a tropical seaweed bed. Scientia Marina. 87. 1. e059. 10.3989/scimar.05322.059"
288,"Stebbins, Timothy D.. 1988. Observations and experiments on the natural history and behavior of the commensal isopod colidotea rostrata (benedict, 1898) (isopoda: idoteidae). Journal of Crustacean Biology. 8. 4. 539-547"
289,"Kim, Stacy L.. 1992. The role of drift kelp in the population ecology of a diopatra ornata moore (polychaeta: onuphidae) ecotone. Journal of Experimental Marine Biology and Ecology. 156. 2. 253-272. 10.1016/0022-0981(92)90250-E"
290,"Shoemaker, Clarence R. 1931. A new species of amphipod crustacean (acanthonotozomatidae) from california, and notes on eurystheus tenuicornis. Proceedings of the United States National Museum. 78. 18. 8-Jan"
291,"Caullery, M.; Mesnil, F.. 1903. Sur la structure nucleaire d'un infusoire parasite des actinies. Comptes rendus hebdomadaires des séances et mémoires de la Société de biologie. 55. 11. 806-809"
292,"Brook, H. J. (1994). Population dynamics and comparative ecophysiology of two intertidal Isopods, Gnorimosphaeroma luteum and G. oregonense [University of Calgary]. http://hdl.handle.net/1880/30443"
293,"Knudsen, Jens W.. 1960. Aspects of the ecology of the california pebble crabs (crustacea: xanthidae). Ecological Monographs. 30. 2. 165-185. 10.2307/1948550"
294,"Campos, Ernesto. 2016. The pinnotheridae of the northeastern pacific (alaska to mexico): zoogeographical remarks and new bivalve hosts (crustacea, brachyura, pinnotheridae). Zootaxa. 4170. 2. 311-329. 10.11646/zootaxa.4170.2.5"
