Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Title,Publisher,Place,
1977,"Brusca, Richard C.; Wallerstein, Barry R.","The marine isopod crustacea of the Gulf of California. 1, Family Idoteidae. American Museum novitates ; no. 2634",,,,,http://hdl.handle.net/2246/2949,"""The valviferan isopods of the Gulf of California are reviewed, including eight species in four genera. One rediscovered species (Eusymmerus antennatus) and two new species (Colidotea findleyi and Erichsonella cortezi) are fully described. Two of the Gulf idoteids appear to be of subtropical or tropical origin (Eusymmerus antennatus and Colidotea findleyi), whereas the others appear to be cold or warm temperate derived species (Erichsonella cortezi, Idotea aculeata, I. urotoma, I. stenops, I. resecata, and I. wosnesenskii). These findings suggest, as other distributional data have, that the family Idoteidae is composed largely of cool to warm temperate-centered taxa, with few modern genera and species having evolved in the lower latitudes (e.g., Eusymmerus, Colidotea, and some species of Erichsonella). Members of this family, in the tropical and subtropical east Pacific, are generally found in association with littoral and shallow-water algae, especially species of Sargassum. Four species of Idotea are extremely wide-ranging forms, suggesting that members of this genus may be considerably more eurythermal than previously suspected. Idotea wosnesenskii and I. resecata range from the Gulf of California to Alaska; I. stenops ranges from Baja California (or possibly the Gulf of California) to Oregon; and I. urotoma ranges from the Gulf of California to Puget Sound""--P. [1].",1977,,,,,,,,,,,,,"Brusca, R. C., & Wallerstein, B. R. (1977). The marine isopod crustacea of the Gulf of California. 1, Family Idoteidae. American Museum novitates ; no. 2634. http://hdl.handle.net/2246/2949"
1998,"Bücking, Jens","Investigations on the feeding habits of the rocky-shore mite <i>Hyadesia fusca </i>(Acari: Astigmata : Hyadesiidae): diet range, food preference, food quality, and the implications for distribution patterns Jens Bricking",Helgoländer Meeresuntersuchungen,,,,,"Within the food web of estuarine and marine rocky shore ecosystems phytophagous mites of terrestrial and marine origin constitute an important part as grazers on algae and as a food source for certain arthropods, especially zoophagous mites. This investigation deals with the feeding biology of Hyadesia fusca taking as an example a population located on an artificial rocky shore of the middle Weser estuary in Northern Germany. The species is characterized by a broad diet range; in feeding experiments diatoms, lichens, detritus as well as blue, red and green algae were accepted. Even analyses of faecal pellets produced by field specimen suggest a non-specific feeding habit. However, the influence of certain diets on mortality, offspring number and rearing success showed that the food quality differs significantly. The most suitable food, the Ulvaceae Blidingia, was clearly preferred in a series of pairwise choice tests. These findings correlate with the vertical zonation of the field population i.e.: higher population densities in the vegetation zone dominated by Blidingia. It can be concluded that in addition to abiotic factors food supply could play an important role for distribution patterns of phytophagous mites.",1998,159-177,,,52,,,,,,,,,"Bücking, J. (1998). Investigations on the feeding habits of the rocky-shore mite Hyadesia fusca (Acari: Astigmata: Hyadesiidae): Diet range, food preference, food quality, and the implications for distribution patterns Jens Bricking. Helgoländer Meeresuntersuchungen, 52, 159–177."
2015,"Bueno, M.; Dena-Silva, S.A.; Flores, A.A.V.; Leite, F.P.P.",Effects of wave exposure on the abundance and composition of amphipod and tanaidacean assemblages inhabiting intertidal coralline algae,Journal of the Marine Biological Association of the United Kingdom,,"0025-3154, 1469-7769",10.1017/S002531541500123X,http://www.journals.cambridge.org/abstract_S002531541500123X,"Peracarid crustaceans are an important component of the vagile fauna associated with coralline algal beds, which often characterize the infralittoral fringe of tropical rocky shores. Among other variables affecting faunal assemblages, sedimentation, food supply and oxygen concentration within mats or turfs of coralline algae may greatly depend on the exposure to waves. In this study, peracarid assemblages were compared at replicated rocky shores within different levels of wave exposure, along a coastline in south-eastern Brazil. Overall amphipod diversity (11 species) was much higher than tanaidacean diversity (two species). Correlation analyses did not support any biological interactions between amphipods and tanaidaceans. Habitat complexity, while apparently limiting amphipod populations, did not affect tanaidaceans at a local scale. Amphipod abundance, not assemblage structure, was positively affected by wave exposure, probably improving oxygen concentration levels and renewal of food resources. Rather than abundance, which remains fairly stable, exposure to waves determined species identity in tanaidaceans, with Zeuxo coralensis found at exposed shores and Leptochelia aff. dubia found at sheltered shores, except for two L. aff. dubia individuals found at one of the exposed sites. Differences in the supply of sediment and the ability of these species in manipulating grains for tube building may explain such a striking pattern.",8/11/15,7-Jan,,,,,J. Mar. Biol. Ass.,,,,,,,"Bueno, M., Dena-Silva, S. A., Flores, A. A. V., & Leite, F. P. P. (2015). Effects of wave exposure on the abundance and composition of amphipod and tanaidacean assemblages inhabiting intertidal coralline algae. Journal of the Marine Biological Association of the United Kingdom, 1–7. https://doi.org/10.1017/S002531541500123X"
1980,"Burger, J. F.; Anderson, J. R.; Knudsen, M. F.","The habits and life history of <i>Oedoparena glauca </i>(Diptera: Dryomyzidae), a predator of barnacles",Proceedings of the Entomological Society of Washington,,,,https://ia802706.us.archive.org/10/items/cbarchive_52777_thehabitsandlifehistoryofoedop1884/thehabitsandlifehistoryofoedop1884.pdf,,1980,360-377,,,82,,,,,,,,,"Burger, J. F., Anderson, J. R., & Knudsen, M. F. (1980). The habits and life history of Oedoparena glauca (Diptera: Dryomyzidae), a predator of barnacles. Proceedings of the Entomological Society of Washington, 82, 360–377."
1973,"Burreson, Eugene M.","Symbiotic Ciliates from Solitary Ascidians in the Pacific Northwest, with a Description of <i>Parahypocoma rhamphisokarya</i> n. sp.",Transactions of the American Microscopical Society,,0003-0023,10.2307/3225258,https://www.jstor.org.proxy.library.ucsb.edu:2048/stable/3225258,"Six species of solitary ascidians (Ascidia paratropa, A. callosa, Styela gibbsi, Pyura haustor, Chelyosoma productum, and Boltenia villosa) from the San Juan Archipelago, and two species (P. haustor and Styela montereyensis) from the central Oregon coast were examined for symbiotic protozoa associated with the pharyngeal basket. In the San Juan Archipelago the suctorian Trichophrya salparum Entz was commonly found in B. villosa, P. haustor, and A. callosa; the hypotrich ciliate Euplotaspis cionaecola Chatton & Séguéla occurred in P. haustor, A. callotisa, and A. paratropa; and the thigmotrich Parahypocoma rhamphisokarya n. sp. was encountered in P. haustor, A. callosa, and B. villosa. These three ciliates also occurred in P. haustor from Oregon. Parahypocoma rhamphisokarya differs from P. collini Chatton & Lwoff in having only 18-22 kineties, which are all of about equal length, and in having a J-shaped macronucleus. No symbiotic ciliates were observed in the pharyngeal basket of S. gibbsi, S. montereyensis, or C. productum.",1973,517-522,,3,92,,,,,,,,,"Burreson, E. M. (1973). Symbiotic Ciliates from Solitary Ascidians in the Pacific Northwest, with a Description of Parahypocoma rhamphisokarya n. Sp. Transactions of the American Microscopical Society, 92(3), 517–522. https://doi.org/10.2307/3225258"
2012,"Burreson, Eugene M.; Kim, Bernard; Passarelli, Julianne Kalman",A New Species of Mysidobdella (Hirudinida: Piscicolidae) from Mysids along the California Coast,Journal of Parasitology,,"0022-3395, 1937-2345",10.1645/GE-2921.1,https://bioone.org/journals/journal-of-parasitology/volume-98/issue-2/GE-2921.1/A-New-Species-of-Mysidobdella-Hirudinida--Piscicolidae-from-Mysids/10.1645/GE-2921.1.full,"Mysidobdella californiensis n. sp. is described from the mysid Holmesimysis sculpta from Bodega Bay on the central California coast and from Holmesimysis costata var. from San Pedro on the southern California coast. The internal anatomy of M. californiensis is similar to that of the only other species in the genus, Mysidobdella borealis from the north Atlantic Ocean, except that M. californiensis lacks the medial, unpaired seminal receptacle present in M. borealis. Externally, M. californiensis is slightly larger and more robust than M. borealis, with a much larger caudal sucker. The most striking difference between the species is the unusually large, trumpet-shaped, fluted oral sucker in M. californiensis. At Bodega Bay, the prevalence of M. californiensis on its host was 17% with an average intensity of 1.46 (range 1–3) leeches per host.",2012-04,341-343,,2,98,,para,A New Species of Mysidobdella (Hirudinida,,,,,,"Burreson, E. M., Kim, B., & Passarelli, J. K. (2012). A New Species of Mysidobdella (Hirudinida: Piscicolidae) from Mysids along the California Coast. Journal of Parasitology, 98(2), 341–343. https://doi.org/10.1645/GE-2921.1"
2012,"Burreson, Eugene M.; Passarelli, Julianne Kalman; Kim, Bernard","A New Species of Marine Leech (Hirudinida: Piscicolidae) from Giant Kelpfish, <i>Heterostichus rostratus</i> Girard, In Southern California",Journal of Parasitology,,0022-3395,10.1645/GE-3036.1,https://doi.org/10.1645/GE-3036.1,"Collections of giant kelpfish at inner Cabrillo Beach, San Pedro, California revealed the presence of an undescribed species of Heptacyclus, described here as Heptacyclus cabrilloi n. sp. The leech is small, only up to 14 mm total length including suckers; it has 2 pair of slightly crescentiform eyes on the oral sucker, 1 pair of punctiform ocelli on the second annulus of the trachelosome, 13 pairs of punctiform ocelli dorsally and ventrally on the urosome, and 14 marginal punctiform ocelli on the caudal sucker. Pigmentation is yellowish-tan with an unpigmented mid-dorsal stripe on both trachelosome and urosome, and with unpigmented halos around eyespots and urosome ocelli. Male reproductive system with 5 pairs of large, spherical testisacs. Mycetomes present, accessory gland cells on atrial cornu absent. Prevalence was 24.1% in June, 2011 with a range of 1–2 leeches per fish and 25.8% in October, 2011 with a range of 1–6 leeches per fish.",8/1/12,788-790,,4,98,,Journal of Parasitology,A New Species of Marine Leech (Hirudinida,,,,,,"Burreson, E. M., Passarelli, J. K., & Kim, B. (2012). A New Species of Marine Leech (Hirudinida: Piscicolidae) from Giant Kelpfish, Heterostichus rostratus Girard, In Southern California. Journal of Parasitology, 98(4), 788–790. https://doi.org/10.1645/GE-3036.1"
1991,"Butler, Robert William","Habitat selection and time of breeding in the Great Blue Heron, (<i>Ardea herodias</i>)",,,,,https://open.library.ubc.ca/soa/cIRcle/collections/ubctheses/831/items/1.0100392,This thesis examines the causes and consequences of habitat selection and timing of breeding of the Great Blue Heron (Ardea herodias). My general hypothesis was that the duration of low tides and seasonal abundance of prey strongly influenced the location of colony-sites; timing,1991,,,,,,,,,,,University of British Columbia,,"Butler, R. W. (1991). Habitat selection and time of breeding in the Great Blue Heron, (Ardea herodias) [University of British Columbia]. https://doi.org/10.14288/1.0100392"
1985,"Byrne, Maria",Evisceration behaviour and the seasonal incidence of evisceration in the holothurian <i>Eupentacta quinquesemita</i> (Selenka),Ophelia,,0078-5326,10.1080/00785236.1985.10426621,https://doi.org/10.1080/00785236.1985.10426621,"Evisceration of the dendrochirote holothurian Eupentacta quinquesemita (Selenka) results from softening of three autotomy structures, the P-L tendon, the intestine-cloacal junction and the introvert. The internal organs are expelled anteriorly through rupture of the introvert. Visceral autotomy occurs under natural conditions and is seasonal. Evisceration started in September and continued through November. By November 1982, 76% of the holothurians at one site and 49% at a second site had eviscerated. Specimens collected in the following winter months had regenerating or newly functional digestive tracts. Regeneration under natural conditions takes approximately 2–4 weeks. The extent of annual evisceration appears to be variable from year to year. Seasonal evisceration may serve as an economic autotomy excretory mechanism, whereby waste-laden digestive tracts are discarded after an active summer of feeding. The induction of autumnal evisceration is probably a complex interaction of internal and environmental factors. During the spring and summer the incidence of evisceration decreased or was absent and its occurrence during these months may be in response to asteroid predation.",10/1/85,75–90,,2,24,,,,,,,,,"Byrne, M. (1985). Evisceration behaviour and the seasonal incidence of evisceration in the holothurian Eupentacta quinquesemita (Selenka). Ophelia, 24(2), 75–90. https://doi.org/10.1080/00785236.1985.10426621"
2011,"Byrnes, Jarrett E.; Reed, Daniel C.; Cardinale, Bradley J.; Cavanaugh, Kyle C.; Holbrook, Sally J.; Schmitt, Russell J.",Climate-driven increases in storm frequency simplify kelp forest food webs,Global Change Biology,,1365-2486,10.1111/j.1365-2486.2011.02409.x,http://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2011.02409.x,"Climate models predict a dramatic increase in the annual frequency and severity of extreme weather events during the next century. Here we show that increases in the annual frequency of severe storms lead to a decrease in the diversity and complexity of food webs of giant kelp forests, one of the most productive habitats on Earth. We demonstrate this by linking natural variation in storms with measured changes in kelp forest food web structure in the Santa Barbara Channel using structural equation modeling (SEM). We then match predictions from statistical models to results from a multiyear kelp removal experiment designed to simulate frequent large storms. Both SEM models and experiments agree: if large storms remain at their current annual frequency (roughly one major kelp-removing storm every 3.5 years), periodic storms help maintain the complexity of kelp forest food webs. However, if large storms increase in annual frequency and begin to occur year after year, kelp forest food webs become less diverse and complex as species go locally extinct. The loss of complexity occurs primarily due to decreases in the diversity and complexity of higher trophic levels. Our findings demonstrate that shifts in climate-driven disturbances that affect foundation species are likely to have impacts that cascade through entire ecosystems.",2011,2513-2524,,8,17,,,,,,,,,"Byrnes, J. E., Reed, D. C., Cardinale, B. J., Cavanaugh, K. C., Holbrook, S. J., & Schmitt, R. J. (2011). Climate-driven increases in storm frequency simplify kelp forest food webs. Global Change Biology, 17(8), 2513–2524. https://doi.org/10.1111/j.1365-2486.2011.02409.x"
2009,"Byrnes, Jarrett E.; Stachowicz, John J.",The consequences of consumer diversity loss: different answers from different experimental designs,Ecology,,1939-9170,10.1890/08-1073.1,https://onlinelibrary.wiley.com/doi/abs/10.1890/08-1073.1,"Predators are often the most vulnerable group to extinction, yet the consequences of changing predator diversity are poorly understood. One source of confusion has been different experimental designs. The multiple-predator effects literature typically employs an additive design, while the biodiversity ecosystem function literature typically uses a replacement design. Separately, these designs each detect only a subset of the changes in food web interactions caused by predator loss. Here, we measure the impact of consumer diversity on sessile marine invertebrates using a combination additive–replacement design. We couple this with a meta-analysis of previous combination experiments. We use these two approaches to explore how each design can detect different types of interactions among predators. We find that, while high diversity does lead to more negative interspecific interactions, the strength of these interactions is often weaker than negative intraspecific interactions caused by increasing the density of a single species alone. We conclude that a hybrid design is the optimal method to explore the mechanisms behind the effects of changing predator diversity. If researchers merely want to know the consequences of changing predator diversity, at a bare minimum, the experimental design must mimic the actual changes in both predator density and diversity in their system of interest. However, only a hybrid design can distinguish the consequences of shifting the balance of interspecific and intraspecific interactions within a community, an issue of great importance when considering both natural diversity loss and pest biocontrol.",2009,2879-2888,,10,90,,,The consequences of consumer diversity loss,,,,,,"Byrnes, J. E., & Stachowicz, J. J. (2009). The consequences of consumer diversity loss: Different answers from different experimental designs. Ecology, 90(10), 2879–2888. https://doi.org/10.1890/08-1073.1"
2022,"Cai, Yu-Jie; Tang, Liang","Descriptions of the developmental stages of <i>Cafius nauticus</i> (Fairmaire) (Coleoptera: Staphylinidae: Staphylininae), with comments on its biology",Zootaxa,,1175-5334,10.11646/zootaxa.5182.5.2,https://www.biotaxa.org/Zootaxa/article/view/zootaxa.5182.5.2,"The egg, two larval instars (L1, 2) and pupa of Cafius nauticus (Fairmaire) are described for the first time. Detailed external structures of the mature larvae are re-described. The structural features of each instar are illustrated as well as the adults. Biological information including intra- and interspecific interactions and ecological preferences are recorded for the first time.  &nbsp;",9/8/22,429-447,,5,5182,,,<p><strong>Descriptions of the developmental stages of <em>Cafius</em> <em>nauticus</em> (Fairmaire) (Coleoptera,,,,,,"Cai, Y.-J., & Tang, L. (2022). Descriptions of the developmental stages of Cafius nauticus (Fairmaire) (Coleoptera: Staphylinidae: Staphylininae), with comments on its biology. Zootaxa, 5182(5), Article 5. https://doi.org/10.11646/zootaxa.5182.5.2"
1992,"Cailliet, G. M.",Demography of the central california population of the Leopard Shark (<i>Triakis semifasciata</i>),Marine and Freshwater Research,,1448-6059,10.1071/mf9920183,https://www.publish.csiro.au/mf/mf9920183,"Demographic analyses can be quite useful for effectively managing elasmobranch fisheries. However, they require valid estimates of age-specific mortality and natality rates, in addition to information on the distribution, abundance, habits and reproduction of the population, to produce reliable estimates of population growth. Because such detailed ecological information is usually unavailable, complete demographic analyses have been completed for only four shark species: the spiny dogfish, Squalus acanthias; the soupfin shark, Galeorhinus australis; the lemon shark, Negaprion brevirostris; and most recently the sandbar shark, Carcharhinus plumbeus. In California, reliable estimates of age, growth, mortality, age at maturity, and fecundity are available only for the leopard shark, Triakis semifasciata. A demographic analysis of this species yielded a net reproductive rate (Ro) of 4.467, a generation time (G) of 22.35 years, and an estimate of the instantaneous population growth coefficient (r) of 0.067. If the mean fishing pressure over 10 years (F= 0.084) is included in the survivorship function, Ro and r are reduced considerably, especially if leopard sharks first enter the fishery at early ages. A size limit of 120 cm TL (estimated age 13 years), especially for female sharks, is tentatively proposed for the leopard shark fishery.",1992,183-193,,1,43,,Mar. Freshwater Res.,,,,,,,"Cailliet, G. M. (1992). Demography of the central california population of the Leopard Shark (Triakis semifasciata). Marine and Freshwater Research, 43(1), 183–193. https://doi.org/10.1071/mf9920183"
1980,"Caine, E. A.","Ecology of two littoral species of caprellid amphipods (Crustacea) from Washington, USA",Marine Biology,,"0025-3162, 1432-1793",10.1007/BF00386871,http://link.springer.com/10.1007/BF00386871,"Ecology of 2 littoral species of caprellid amphipods is compared. Populations of Caprella laeviuscula, a periphyton scraper/filter-feeder, are most dense on eelgrass Zostera marina L. In the absence of C laeviuscula, periphyton biomass increases 411% in protected Z. marina beds. The light absorption spectra of periphyton and Z. marina are similar, and C laeviuscula, by its periphyton removal, may allow Z. marina to grow in areas where it would otherwise be excluded. C laeviuscula is aggressively dominant over sympatric caprellids, and seasonal predators of C laeviuscula are absent during winter, the period when periphyton would be most limiting to Z. marina. Populations of Deutella californica, a predator, are most dense on the hydroid Obelia dichotoma (L.). In the O. dichotoma epibiotic Community, D. californica is the primary predator, but removal did not change the composition of the community structure. In the absence of other macropredators, the structure of the O. dichotorna epibiotic community depends more on the seasonality of O. dichotoma occurrence than on organismal interactions.",1980,327-335,,4,56,,Mar. Biol.,,,,,,,"Caine, E. A. (1980). Ecology of two littoral species of caprellid amphipods (Crustacea) from Washington, USA. Marine Biology, 56(4), 327–335. https://doi.org/10.1007/BF00386871"
1978,"Caine, Edsel A.",Habitat adaptations of North American caprellid amphipoda (Crustacea),The Biological Bulletin,,"0006-3185, 1939-8697",10.2307/1540953,https://www.journals.uchicago.edu/doi/10.2307/1540953,,1978-10,288-296,,2,155,,The Biological Bulletin,,,,,,,"Caine, E. A. (1978). Habitat adaptations of North American caprellid amphipoda (Crustacea). The Biological Bulletin, 155(2), 288–296. https://doi.org/10.2307/1540953"
2016,"Campos, Ernesto","The Pinnotheridae of the northeastern Pacific (Alaska to Mexico): zoogeographical remarks and new bivalve hosts (Crustacea, Brachyura, Pinnotheridae)",Zootaxa,,1175-5334,10.11646/zootaxa.4170.2.5,https://www.biotaxa.org/Zootaxa/article/view/zootaxa.4170.2.5,"New bivalve host records for four pinnotherid crabs of the Mexican Pacific are reported: Fabia subquadrata Dana, 1851, in Modiolus capax (Conrad, 1837); Opisthopus transversus Rathbun, 1893, in Tivela stultorum (Mawe, 1823); Pinnaxodes gigas (Green, 1992), in Pinna rugosa (Sowerby, 1835), and Panopea generosa Gould, 1850; and Tumidotheres margarita (Smith, 1870), in Nodipecten subnodosus (Sowerby, 1835). The southernmost distribution of F. subquadrata is extended to about 600 km along the west coast of the Baja California Peninsula; the distribution of P. gigas is extended outside the Gulf of California more than 1000 km north to San Quintín, on the west coast of Baja California; and the range of T. margarita is restricted on the west coast of Baja California to Scammon´s Lagoon, Baja California Sur and Playa Kino Viejo, Sonora in the central region of the Gulf of California, Mexico to Panama. Based on the new material, new information on taxonomy, ecology, and life history is provided for each of these species. Pinnotheres nudus Holmes, 1895 is restored as a valid species and is removed from its synonymy with O. transversus. An updated checklist with remarks on zoogeography for the 60 pinnotherid species, included in 23 genera, of the northeastern Pacific region (Alaska to the Mexican tropical Pacific) is given.",9/23/16,311-329,,2,4170,,,<strong>The Pinnotheridae of the northeastern Pacific (Alaska to Mexico),,,,,,"Campos, E. (2016). The Pinnotheridae of the northeastern Pacific (Alaska to Mexico): Zoogeographical remarks and new bivalve hosts (Crustacea, Brachyura, Pinnotheridae). Zootaxa, 4170(2), Article 2. https://doi.org/10.11646/zootaxa.4170.2.5"
2007,"Campos, Ernesto; Carlton, James T.; Kuris, Armand M.; Sadeghian, Patricia S.",Decapoda,The Light and Smith Manual: Intertidal invertebrates from central California to Oregon,978-0-520-23939-5,,,,,2007,632–656,,,,,,,,,,University of California Press,Berkeley,"Campos, E., Carlton, J. T., Kuris, A. M., & Sadeghian, P. S. (2007). Decapoda. In The Light and Smith Manual: Intertidal invertebrates from central California to Oregon (4th ed., pp. 632–656). University of California Press."
1998,"Campos, Ernesto; Diaz, Victoria; Gamboa-Contreras, J A",Notes on distribution and taxonomy of five poorly known species of pinnotherid crabs from the eastern Pacific (Crustacea: Brachyura: Pinnotheridae),Proceedings of the Biological Society of Washington,,,,,"The Pinnotherid crabs Glassella costaricana (Wicksten, 1982) [from Costa Rica], Pinnixa richardsoni (Glassell, 1936) [from Panama] and P. scamit Martin & Zmarzly, 1994 [from California, U.S.A.] are reported for the first time from the Mexican Pacific. They were collected at Acapulco, Guerrero, Juchitan de Zaragoza, Oaxaca, and Todos Santos Bay, Baja California, respectively. The southern distribution of P. barnharti Rathbun, 1918 is found to be restricted to Punta Banda estuary, Todos Santos Bay, Baja California, Mexico. A second male of Pinnaxodes gigas Green, 1992, is reported from the upper Gulf of California; its range is extended from Estero Tastiota, Sonora to Bajo Macho, northeast Consag Rock. Based on the new material taxonomic remarks on the species are provided.",1998,372-381,,2,111,,,,,,,,,"Campos, E., Diaz, V., & Gamboa-Contreras, J. A. (1998). Notes on distribution and taxonomy of five poorly known species of pinnotherid crabs from the eastern Pacific (Crustacea: Brachyura: Pinnotheridae). Proceedings of the Biological Society of Washington, 111(2), 372–381."
2023,"Carney, Brooke; Tessler, David; Coletti, Heather; Welker, Jeffrey M.; Causey, Douglas",Stable isotope-determined diets of Black Oystercatchers<i> Haematopus bachmani </i>in the Northern Gulf of Alaska,Marine Ornithology,,"1018-3337, 2074-1235",,http://www.marineornithology.org/article?rn=1519,,4/15/23,123-135,,,51,,,,,,,,,"Carney, B., Tessler, D., Coletti, H., Welker, J. M., & Causey, D. (2023). Stable isotope-determined diets of Black Oystercatchers Haematopus bachmani in the Northern Gulf of Alaska. Marine Ornithology, 51, 123–135."
1982,"Carter, J. A.; Steele, D. H.","Stomach contents of immature lobsters (<i>Homarus americanus</i>) from Placentia Bay, Newfoundland",Canadian Journal of Zoology,,0008-4301,10.1139/z82-045,https://cdnsciencepub.com/doi/abs/10.1139/z82-045,"Stomachs of immature lobsters (Homarus americanus) from Placentia Bay, Newfoundland, were examined to determine natural diet. The most frequently occurring prey were sea urchins, mussels, rock crabs, polynoid and nereid polychaetes, and brittlestars. There was high incidence of lobster exuviae during the moulting period in late summer. Rock crabs, brittlestars, and mussels were dominant (in terms of relative volumes of hard parts in each stomach) more often than other food items. Sea urchins, periwinkles, chitons, rock crabs, and polynoids were consumed more frequently in late summer compared with other seasons. Stomach contents constituted approximately 1% of the wet weight of individual lobsters. There were no significant seasonal differences in stomach fullness during the period June to November.The residencies of natural prey hard parts in immature lobster stomachs were estimated. Some items remained in stomachs for up to 180 days. Measures of stomach fullness of lobsters 3 days after ad libitum feeding on rock crabs, mussels, and sea urchins were similar. Linear selection indices indicated relatively high selection by immature lobsters for hard parts of rock crabs and mussels and positive selection for nereids, polynoids, and brittlestars. Immature lobsters showed negative selection for hard parts of sea urchins, starfish, and periwinkles.",1982-03,337-347,,3,60,,Can. J. Zool.,,,,,,,"Carter, J. A., & Steele, D. H. (1982). Stomach contents of immature lobsters (Homarus americanus) from Placentia Bay, Newfoundland. Canadian Journal of Zoology, 60(3), 337–347. https://doi.org/10.1139/z82-045"
1903,"Caullery, M.; Mesnil, F.",Sur la structure nucleaire d'un infusoire parasite des Actinies,Comptes rendus hebdomadaires des séances et mémoires de la Société de biologie,,,,,,1903,806-809,,11,55,,,,,,,,,"Caullery, M., & Mesnil, F. (1903). Sur la structure nucleaire d’un infusoire parasite des Actinies. Comptes rendus hebdomadaires des séances et mémoires de la Société de biologie, 55(11), 806–809."
1972,"Chia, Fu-Shiang; Spaulding, James G.","Development and juvenile growth of the sea anemone, tealia crassicornis",The Biological Bulletin,,0006-3185,10.2307/1540225,https://www.journals.uchicago.edu/doi/abs/10.2307/1540225,"1. Tealia crassicornis in the Friday Harbor Laboratories was observed to spawn from April to June. The eggs measure 500-700 µ in diameter, and bear surface spines 25 µ in length.2. The cleavage is superficial, resulting in small cells on the animal pole and large cells on the vegetal pole.3. Endoderm appears to be formed by multipolar ingression while the central yolk mass remains uncleaved and the formation of the gastrovascular cavity is achieved by absorption of yolk material.4. The settlement of planula larvae can be facilitated by adding the tubes of the polychaete worms, Phyllochaetopterus or Sabellaria to the culture dishes.5. A chronology of development is presented and the histogenesis of larval tissue is described.6. The young anemones have grown to a size of 4 cm in diameter with 60 to 70 tentacles within 18 months when fed in the laboratory.7. Young anemones can withstand starvation for at least 9 months. There is no growth when starved.",1972-04,206-218,,2,142,,,,,,,,,"Chia, F.-S., & Spaulding, J. G. (1972). Development and juvenile growth of the sea anemone, tealia crassicornis. The Biological Bulletin, 142(2), 206–218. https://doi.org/10.2307/1540225"
1977,"Child, Gary","Feeding biology and ecological aspects of a cancroid crab <i>Cancer oregonensis</i> (Dana) Rathbun (decapoda, brachyura)",,,,,https://scholarsarchive.byu.edu/etd/7657,,12/1/77,,,,,,,,,,,Brigham Young University,,"Child, G. (1977). Feeding biology and ecological aspects of a cancroid crab Cancer oregonensis (Dana) Rathbun (decapoda, brachyura) [Master of Science, Brigham Young University]. https://scholarsarchive.byu.edu/etd/7657"
1960,"Ching, Hilda Lei","Some digenetic trematodes of shore birds at Friday Harbor, Washington",Proceedings of the Helminthological Society of Washington,,,,,"Ching describes Plenosoma n.g. (Microphallidae) and three new species, P. minimum, Gymnophallus obscurus (Microphallidae), and Echinostephilla haematopi (Philophthalmidae) from the intestine of Haematopus bachmani, Goose Island, Friday Harbour, Washington. Plenosoma resembles Pseudospelotrema Yamaguti, 1939 and Maritreminoides Yoshida, 1938 in the extent of the uterus into the fore-body, but differs from them in the anterior distribution of the vitellaria, and the presence of a large, muscular genital atrium and a longitudinal genital opening. Pseudosellacotyla Yamaguti, 1954 resembles Plenosoma in the anterior distribution of the vitellaria, but differs from it in lacking a cirrus sac and possessing a bipartite seminal vesicle and a genital pore opening ventral to the acetabulum. Levinseniella Stiles & Hassall, 1902 differs from Plenosoma in possessing a more complexly organized genital atrium, and lacking a cirrus sac. Gymnophallus obscurus n.sp. resembles G. macroporus in the arrangement of the vitellaria and gonads, but its body and eggs are half the size of those of G. macroporus, and its uterus extends anteriorly to the intestinal caeca. G. obscurus resembles Parvatrema borealis in arrangement and shape of the vitellaria and body and egg size, but its genital pore lies immediately in front of the acetabulum rather than some distance anterior to it. Echinostephilla haematopi n.sp. differs from the type and only other species of the genus, E. virgula Lebour, 1909 in possessing a tapering anterior end, lacking scales on the posterior third of the body, the ovary being smaller than the testes, and having fewer (10 to 35) vitelline follicles than 40 to 60 on each side. Skrjabinovermis vesiculata Belopolskaya, 1953 is placed in synonymy with E. virgula, because of the similarity of hosts, body shape, and measurements of body, organs and eggs. The miracidium and immature adult stages of E. haematopi are briefly described. The following new host and locality records are noted: Galactosomum humbargari from Larus heermanni, L. glaucescens and L. philadelphia; Cryptocotyle lingua from L. glaucescens; Levinseniella propinqua and Microphallus primas from Haematopus bachmani. E. I. Sillman.",1960,53-62,,1,27,,,,,,,,,"Ching, H. L. (1960). Some digenetic trematodes of shore birds at Friday Harbor, Washington. Proceedings of the Helminthological Society of Washington, 27(1), 53–62."
1991,"Ching, Hilda Lei",Lists of larval worms from marine invertebrates of the Pacific Coast of North America,Journal of the Helminthological Society of Washington,,,,,,1991,57-68,,1,58,,,,,,,,,"Ching, H. L. (1961). THREE TREMATODES FROM THE HARLEQUIN DUCK. Canadian Journal of Zoology, 39(3), 373–376. https://doi.org/10.1139/z61-041"
