reference_number,focal_consumer_taxon,focal_consumer_life_stage,resource_genus,resource_taxonomic_resolution,general_location_of_study,id.x,resource_species,alternate_nomenclature,resource_category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,id.y,kingdom,resource_phylum,resource_class,resource_order,resource_family,subclass,infraclass,subterclass,superorder,superfamily,subphylum,subfamily,superclass,suborder,infraorder,parvorder,subkingdom,infrakingdom,tribe,subgenus,infraphylum,parvphylum,gigaclass,megaclass,phylum_division,subphylum_subdivision,subtribe,section,subsection,subspecies,epifamily
155,GOBIESOX MAEANDRICUS,adult,Ampithoe,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1290,Ampithoe corallina,NA,gammarid,NA,NA,Southern California,adult,NA,NA,present,Light & Smith,all,NA,solitary,mobile,NA,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,423090,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Eumalacostraca,NA,NA,Peracarida,Corophioidea,Crustacea,NA,Multicrustacea,Senticaudata,Corophiida,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Ampithoe,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1291,Ampithoe dalli,NA,gammarid,NA,NA,"Cape Arago, OR to South",adult,20,NA,present,Light & Smith,all,"on exposed and protected beaches, in tide pools, under rocks and log fouling organisms, in 10-34%o salinity",solitary,mobile,NA,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,423092,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Eumalacostraca,NA,NA,Peracarida,Corophioidea,Crustacea,NA,Multicrustacea,Senticaudata,Corophiida,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Ampithoe,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1292,Ampithoe lacertosa,NA,gammarid,NA,NA,NA,adult,24,NA,present,Light & Smith,all,"Among algae, gravel, or woody debris protected open coasts",solitary,mobile,NA,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,423106,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Eumalacostraca,NA,NA,Peracarida,Corophioidea,Crustacea,NA,Multicrustacea,Senticaudata,Corophiida,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Ampithoe,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1293,Ampithoe longimana,NA,gammarid,NA,NA,Southern California (introduced) and North Atlantic,adult,10,NA,present,Light & Smith,all,NA,solitary,mobile,algae,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,158026,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Eumalacostraca,NA,NA,Peracarida,Corophioidea,Crustacea,NA,Multicrustacea,Senticaudata,Corophiida,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Ampithoe,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",501,Ampithoe plumulosa,NA,amphipod,NA,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie",low,"in tubes, on wet intertidal algae and surfgrass",solitary,mobile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,little known,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,423115,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Eumalacostraca,NA,NA,Peracarida,Corophioidea,Crustacea,NA,Multicrustacea,Senticaudata,Corophiida,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Ampithoe,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1294,Ampithoe pollex,NA,gammarid,NA,NA,Southern California (possibly introduced),adult,5.5,NA,present,Light & Smith,all,NA,solitary,mobile,NA,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,423117,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Eumalacostraca,NA,NA,Peracarida,Corophioidea,Crustacea,NA,Multicrustacea,Senticaudata,Corophiida,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Ampithoe,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1295,Ampithoe ramondi,NA,gammarid,NA,NA,Point Conception to 45*,adult,12,NA,present,Light & Smith,all,in diverse algae,solitary,mobile,NA,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,102000,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Eumalacostraca,NA,NA,Peracarida,Corophioidea,Crustacea,NA,Multicrustacea,Senticaudata,Corophiida,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Ampithoe,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1296,Ampithoe sectimanus,NA,gammarid,NA,NA,NA,adult,12.5,NA,present,Light & Smith,all,High salinity exposed rocky coasts among algae,solitary,mobile,NA,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,1673761,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Eumalacostraca,NA,NA,Peracarida,Corophioidea,Crustacea,NA,Multicrustacea,Senticaudata,Corophiida,Corophiidira,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Ampithoe,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1297,Ampithoe simulans,NA,gammarid,NA,NA,NA,adult,30,NA,present,Light & Smith,all,"Among algae and Phyllospadix of open and semiprotected coasts,",solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Eumalacostraca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Harpacticus,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1064,Harpacticus compressus,NA,copepod,NA,zooplankton,cosmopolitan,adult,NA,Both,present,Light & Smith,low,in epiphytes on eelgrass and macroalgae,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,352108,Animalia,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,NA,Neocopepoda,NA,Podoplea,NA,Crustacea,NA,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Harpacticus,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1065,Harpacticus pacificus,NA,copepod,NA,zooplankton,Eastern Pacific,adult,NA,Both,common,Light & Smith,low,"in epiphytes on macroalgae, eelgrass, and rocks",aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,358707,Animalia,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,NA,Neocopepoda,NA,Podoplea,NA,Crustacea,NA,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Harpacticus,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1066,Harpacticus septentrionalis,NA,copepod,NA,zooplankton,NA,adult,NA,NA,present,Light & Smith,low,Lower intertidal/shallow subtidal algae and eelgrass,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,116177,Animalia,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,NA,Neocopepoda,NA,Podoplea,NA,Crustacea,NA,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Harpacticus,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1067,Harpacticus spinulosus,NA,copepod,NA,zooplankton,NA,adult,NA,NA,present,Light & Smith,low,"of algae collected at DB, sand around eelgrass",aggregating,mobile,NA,filter feeder,generalist,juvenile flatfish,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,358712,Animalia,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,NA,Neocopepoda,NA,Podoplea,NA,Crustacea,NA,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Harpacticus,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1068,Harpacticus uniremis,NA,copepod,NA,zooplankton,"Alaska to La Jolla, CA",adult,NA,Both,present,Light & Smith,middle,habitat generalist,aggregating,mobile,NA,filter feeder,generalist,"in ALaska and Washington, outmigrating juvenile pink and chum salmon",NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,116179,Animalia,Arthropoda,Copepoda,Harpacticoida,Harpacticidae,NA,Neocopepoda,NA,Podoplea,NA,Crustacea,NA,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Parathalestris,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1110,Parathalestris bulbiseta,NA,copepod,NA,zooplankton,Southern British Columbia to La Jolla,adult,NA,Both,present,Light & Smith,all,usually associated with macroalgae but can also occur on unvegetated sand,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,354576,Animalia,Arthropoda,Copepoda,Harpacticoida,Thalestridae,NA,Neocopepoda,NA,Podoplea,NA,Crustacea,Thalestrinae,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,GOBIESOX MAEANDRICUS,adult,Parathalestris,genus,"Tepona Pt. and Sotsin Pt., 1 mile S of Trinidad, Humboldt Co., and Abalone Pt., 2 miles N of Westport, Mendocino Co., California,",1111,Parathalestris californica,NA,copepod,NA,zooplankton,NA,adult,NA,NA,present,Light & Smith,all,usually associated with macroalgae but can also occur on unvegetated sand,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,354577,Animalia,Arthropoda,Copepoda,Harpacticoida,Thalestridae,NA,Neocopepoda,NA,Podoplea,NA,Crustacea,Thalestrinae,Multicrustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Callistochiton,genus,Santa Catalina Island,1762,Callistochiton connellyi,NA,chiton,NA,NA,Pacific Northwest to Northern Baja California,adult,NA,Both,rare,Light & Smith,middle to low,NA,solitary,mobile,NA,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,NA,NA,NA,NA,NA,NA,middle,386119,Animalia,Mollusca,Polyplacophora,Chitonida,Callistoplacidae,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Callistochiton,genus,Santa Catalina Island,407,Callistochiton crassicostatus,NA,chiton,NA,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie; Light & Smith",middle to low,under rocks,solitary,mobile,microalgal film,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,2,fix,NA,NA,NA,NA,middle,386120,Animalia,Mollusca,Polyplacophora,Chitonida,Callistoplacidae,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Callistochiton,genus,Santa Catalina Island,408,Callistochiton palmulatus,NA,chiton,NA,NA,NA,adult,NA,Both,fairly common,"Morris, Abbott, & Haderlie; Light & Smith",middle to low,under rocks,solitary,mobile,microalgal film,grazer,generalist,NA,NA,NA,NA,NA,NA,NA,assuming all chiton eat microalgal film unless otherwise noted,Taxonomic,Species,2,fix,NA,NA,NA,NA,middle,386134,Animalia,Mollusca,Polyplacophora,Chitonida,Callistoplacidae,Neoloricata,NA,NA,NA,Chitonoidea,NA,NA,NA,Chitonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Littorina,genus,Santa Catalina Island,247,Littorina keenae,Littorina planaxis,littorine,eroded periwinke,NA,Coos Bay to Baja California,adult,NA,Both,abundant,"Morris, Abbott, & Haderlie",high,highest RIZ mollusk,solitary,mobile,microalgal film,grazer,generalist,Acanthina sp.,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,NA,445651,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Caenogastropoda,NA,NA,NA,Littorinoidea,NA,Littorininae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Littorina,genus,Santa Catalina Island,1877,Littorina littorea,NA,limpet,NA,NA,Introduced from East Coast,adult,NA,N,present,Light & Smith,all,Tide pools on sheltered rocky shores,solitary,mobile,"a wide range of algae, especially small, ephemeral macroalgae",grazer,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,140262,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Caenogastropoda,NA,NA,NA,Littorinoidea,NA,Littorininae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Littorina,genus,Santa Catalina Island,1878,Littorina plena,NA,limpet,NA,NA,"Kodiak, AK to Baja California",adult,NA,Both,present,Light & Smith,all,"Common throughout intertidal, among algae, mussels, and barnacles, on moderately exposed and sheltered shores,",solitary,mobile,"Chow 1989, J. Exp. Mar. Biol. Ecol. 130: 147-165 (competition, diet);",unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,445659,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Caenogastropoda,NA,NA,NA,Littorinoidea,NA,Littorininae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Littorina,genus,Santa Catalina Island,1879,Littorina saxatilis,NA,limpet,NA,NA,introduced from East Coast to San Francisco Bay,adult,NA,N,unclear,Light & Smith,all,"in upper eulittoral, among barnacles",solitary,mobile,"broad range of diatoms, blue-green algae, ephemeral filamentous and foliose macroalgae, and macrophyte litter",unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Caenogastropoda,NA,NA,NA,Littorinoidea,NA,Littorininae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Littorina,genus,Santa Catalina Island,248,Littorina scutulata,NA,littorine,checkered periwinkle,NA,"Sitka, AK to Baja California",adult,NA,Both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",high to middle,hide at low tide in cracks or holdfasts,solitary,mobile,"microalgal film, Pelvetia sp., Cladophora sp., Ulva sp.",grazer,generalist,"Acanthina spirata, Acanthina punctulata, Leptasteria hexactis",NA,NA,trematodes,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,high,445657,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Caenogastropoda,NA,NA,NA,Littorinoidea,NA,Littorininae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Littorina,genus,Santa Catalina Island,1880,Littorina subrotundata,NA,limpet,NA,NA,North to Cape Arago,adult,NA,N,not present,Light & Smith,all,"in mid- to upper intertidal on moderately to strongly wave-exposed rocky shores, where it is found (barnacle ecotype) among barnacles, mussels and beds of red alga Mazzaella.",solitary,mobile,"diatoms, enteromorphine Ulva, Mazzaella tips",unknown,generalist,"crabs, especially in protected rocky shores",NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,445800,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Caenogastropoda,NA,NA,NA,Littorinoidea,NA,Littorininae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Pagurus,genus,Santa Catalina Island,1011,Pagurus armatus,NA,hermit crab,NA,NA,NA,adult,NA,N,present,Light & Smith,low,often in moonsnail shells encrusted with hydroids,solitary,mobile,NA,NA,NA,NA,encrusted with hydroids,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,366655,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Eumalacostraca,NA,NA,Eucarida,Paguroidea,Crustacea,NA,Multicrustacea,Pleocyemata,Anomura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Pagurus,genus,Santa Catalina Island,1012,Pagurus beringanus,NA,hermit crab,NA,NA,NA,adult,NA,N,present,Light & Smith,low,on rock jetties,solitary,mobile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,366657,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Eumalacostraca,NA,NA,Eucarida,Paguroidea,Crustacea,NA,Multicrustacea,Pleocyemata,Anomura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Pagurus,genus,Santa Catalina Island,1013,Pagurus caurinus,NA,hermit crab,NA,NA,NA,adult,NA,N,rare,Light & Smith,low,protected waters,solitary,mobile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,366667,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Eumalacostraca,NA,NA,Eucarida,Paguroidea,Crustacea,NA,Multicrustacea,Pleocyemata,Anomura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Pagurus,genus,Santa Catalina Island,527,Pagurus granosimanus,NA,hermit crab,blue spotted hermit crab,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie",low,"more common N, tidepools with gravel bottoms",aggregating,mobile,Pelvetia sp.,scavenger,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,fix,NA,NA,NA,NA,NA,366694,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Eumalacostraca,NA,NA,Eucarida,Paguroidea,Crustacea,NA,Multicrustacea,Pleocyemata,Anomura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Pagurus,genus,Santa Catalina Island,526,Pagurus hemphilli,NA,hermit crab,NA,NA,NA,adult,NA,N,present,"Morris, Abbott, & Haderlie",middle to low,more common subtidally,solitary,mobile,NA,scavenger,generalist,NA,NA,NA,NA,NA,NA,NA,little known,Taxonomic,Species,NA,fix,NA,NA,NA,NA,middle,366698,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Eumalacostraca,NA,NA,Eucarida,Paguroidea,Crustacea,NA,Multicrustacea,Pleocyemata,Anomura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Pagurus,genus,Santa Catalina Island,525,Pagurus hirsutiusculus,NA,hermit crab,white banded hermit crab,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie",middle to low,tidepools with sandy or rocky bottoms,aggregating,mobile,NA,scavenger,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,middle,366699,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Eumalacostraca,NA,NA,Eucarida,Paguroidea,Crustacea,NA,Multicrustacea,Pleocyemata,Anomura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,OCTOPUS BIMACULOIDES,adult,Pagurus,genus,Santa Catalina Island,524,Pagurus samuelis,NA,hermit crab,blue banded hermit crab,NA,NA,adult,NA,Both,abundant,"Morris, Abbott, & Haderlie",high to middle,tidepools,aggregating,mobile,"Macrocystis pyrifera, Pelvetia sp., drift algae, carrion",scavenger,generalist,"Rhacochilus vacca, Semicossyphus pulcher, Gibbonsia elegans, Gibbonsia metzi",NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,high,366786,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Eumalacostraca,NA,NA,Eucarida,Paguroidea,Crustacea,NA,Multicrustacea,Pleocyemata,Anomura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Dirona picta,adult,Aglaophenia,genus,"Meta-analysis, or literature summary, no exact location specified for each individual",940,Aglaophenia inconspicua,NA,hydroid,NA,NA,"Heceta Head, Oregon to Santa Maria Bay, Baja California",hydroid colony,NA,Both,present,Light & Smith,all,on algae,colonial,sessile,NA,filter feeder,generalist,NA,in close association with an unidentified sponge (Class Demospongiae). Foraminiferans (Cibicideslobatulus?) were found growing epizoically on the theca of some.,NA,Peachia quinquecapitata,NA,NA,NA,NA,Taxonomic,Species,NA,NA,yes,NA,NA,NA,NA,284030,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Hydroidolina,NA,NA,NA,Plumularioidea,Medusozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Dirona picta,adult,Aglaophenia,genus,"Meta-analysis, or literature summary, no exact location specified for each individual",92,Aglaophenia latirostris,NA,hydroid,ostrich plume hydroid,NA,British Columbia to Central America,hydroid,NA,Both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",low,Common on rocks and large red and brown algae from the low intertidal,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,284035,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Hydroidolina,NA,NA,NA,Plumularioidea,Medusozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Dirona picta,adult,Aglaophenia,genus,"Meta-analysis, or literature summary, no exact location specified for each individual",91,Aglaophenia struthionides,NA,hydroid,ostrich plume hydroid,650,Alaska to Southern California,hydroid,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,exposed rocky shores,colonial,sessile,NA,filter feeder,generalist,"Dendronotus subramosus, Doto sp.",NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,NA,284054,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Hydroidolina,NA,NA,NA,Plumularioidea,Medusozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Tritonia festiva,adult,Clavularia,genus,"Meta-analysis, or literature summary, no exact location specified for each individual",96,Clavularia sp.,NA,octocoral,NA,NA,NA,adult,NA,Both,NA,"Morris, Abbott, & Haderlie",low,NA,colonial,sessile,NA,filter feeder,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Cnidaria,Octocorallia,Malacalcyonacea,Clavulariidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
