publication_year,firstauthor,title,reference
1999,Anderson,"Determination of the diet of octopus rubescens berry, 1953 (cephalopoda: octpododae), through examination of its beer bottle dens in puget sound.","Anderson, Roland C.. 1999. Determination of the diet of octopus rubescens berry, 1953 (cephalopoda: octpododae), through examination of its beer bottle dens in puget sound.. Malacologia. 41. 2. 455-460"
1972,Chia,"Development and juvenile growth of the sea anemone, tealia crassicornis","Chia, Fu-Shiang; Spaulding, James G.. 1972. Development and juvenile growth of the sea anemone, tealia crassicornis. The Biological Bulletin. 142. 2. 206-218. 10.2307/1540225"
2007,Collin,"Development of tylodina fungina gabb, 1865 (gastropoda: notaspidea) from the pacific coast of panama","Collin, Rachel. 2007. Development of tylodina fungina gabb, 1865 (gastropoda: notaspidea) from the pacific coast of panama. 50. 1"
2007,Shulman,Dicyemida (rhombozoa),"Shulman, Danna Joy; Hochberg, F. G.. 2007. Dicyemida (rhombozoa). The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 200-202"
2012,Lie,"Diel vertical migration and feeding of three species of chaetognaths (flaccisagitta enflata, aidanosagitta delicata and aidanosagitta neglecta) in two shallow, subtropical bays in hong kong","Lie, Alle A. Y.; Tse, Pan; Wong, Chong Kim. 2012. Diel vertical migration and feeding of three species of chaetognaths (flaccisagitta enflata, aidanosagitta delicata and aidanosagitta neglecta) in two shallow, subtropical bays in hong kong. Journal of Plankton Research. 34. 8. 670-684. 10.1093/plankt/fbs041"
2010,Plyuscheva,"Diet analyses of the scale-worms lepidonotus squamatus and harmothoe imbricata (polychaeta, polynoidae) in the white sea","Plyuscheva, Maria; Martin, Daniel; Britayev, Temir. 2010. Diet analyses of the scale-worms lepidonotus squamatus and harmothoe imbricata (polychaeta, polynoidae) in the white sea. Marine Biology Research. 6. 3. 271-281. 10.1080/17451000903334694"
2015,Cogliati,Diet and cannibalism in plainfin midshipman porichthys notatus,"Cogliati, K. M.; Danukarjanto, C.; Pereira, A. C.; Lau, M. J.; Hassan, A.; Mistakidis, A. F.; Bolker, B. M.; Neff, B. D.; Balshine, S.. 2015. Diet and cannibalism in plainfin midshipman porichthys notatus. Journal of Fish Biology. 86. 4. 1396-1415. 10.1111/jfb.12649"
2004,Malaquias,Diet and feeding biology of haminoea orbygniana (mollusca: gastropoda: cephalaspidea),"Malaquias, Manuel António E.; Condinho, Silvia; Cervera, Juan L.; Sprung, Martin. 2004. Diet and feeding biology of haminoea orbygniana (mollusca: gastropoda: cephalaspidea). Journal of the Marine Biological Association of the United Kingdom. 84. 4. 767-772. 10.1017/S0025315404009890h"
1963,Leighton,"Diet and growth in the black abalone, haliotis cracherodii ","Leighton, David; Boolootian, Richard A.. 1963. Diet and growth in the black abalone, haliotis cracherodii . Ecology. 44. 2. 228-238. 10.2307/1932170"
2017,Bizzarro,Diet composition and trophic ecology of northeast pacific ocean sharks,"Bizzarro, Joseph J.; Carlisle, Aaron B.; Smith, Wade D.; Cortés, Enric. 2017. Diet composition and trophic ecology of northeast pacific ocean sharks. Advances in Marine Biology. Academic Press. 77. 111-148"
2014,Villegas,"Diet of octopus bimaculatus verril, 1883 (cephalopoda: octopodidae) in bahía de los ángeles, gulf of california","Villegas, Elisa Jeanneht Armendáriz; Ceballos-Vázquez, Bertha Patricia; Markaida, Unai; Abitia-Cárdenas, Andrés; Medina-López, Marco Antonio; Arellano-Martínez, Marcial. 2014. Diet of octopus bimaculatus verril, 1883 (cephalopoda: octopodidae) in bahía de los ángeles, gulf of california. Journal of Shellfish Research. 33. 1. 305-314. 10.2983/035.033.0129"
2004,Zagal,Diet of the stauromedusa haliclystus auricula from southern chile,"Zagal, Carolina J.. 2004. Diet of the stauromedusa haliclystus auricula from southern chile. Journal of the Marine Biological Association of the United Kingdom. 84. 2. 337-340. 10.1017/S0025315404009245h"
2017,Mazariegos-Villarreal,"Diet of the wavy turban snail, megastraea undosa (gastropoda: turbinidae), in subtropical rocky reefs","Mazariegos-Villarreal, Alejandra; Fierro-Ja√∫regui, María De Lourdes; León-Cisneros, Karla; Serviere-Zaragoza, Elisa. 2017. Diet of the wavy turban snail, megastraea undosa (gastropoda: turbinidae), in subtropical rocky reefs. Pacific Science. 71. 4. 523-534. 10.2984/71.4.9"
2000,Kao,"Diet, daily ration and gastric evacuation of the leopard shark (triakis semifasciata)","Kao, John S.. 2000. Diet, daily ration and gastric evacuation of the leopard shark (triakis semifasciata). California State University, Hayward"
1993,Barry,"Diet, food preference, and algal availability for fishes and crabs on intertidal reef communities in southern california","Barry, James P.; Ehret, Michael J.. 1993. Diet, food preference, and algal availability for fishes and crabs on intertidal reef communities in southern california. Environmental Biology of Fishes. 37. 1. 75-95. 10.1007/BF00000715"
2014,Whitcombe,"Dietary and stable isotope analyses reveal the role of kelp pipefish (syngnathus californiensis), a presumed cryptic prey, in the diet of the elegant tern (thalasseus elegans) in southern california waters","Whitcombe, Cassandra D.. 2014. Dietary and stable isotope analyses reveal the role of kelp pipefish (syngnathus californiensis), a presumed cryptic prey, in the diet of the elegant tern (thalasseus elegans) in southern california waters. California State University, Fullerton"
1982,Horn,Dietary selectivity in the field and food preferences in the laboratory for two herbivorous fishes (cebidichthys violaceus and xiphister mucosus) from a temperate intertidal zone,"Horn, M. H.; Murray, S. N.; Edwards, T. W.. 1982. Dietary selectivity in the field and food preferences in the laboratory for two herbivorous fishes (cebidichthys violaceus and xiphister mucosus) from a temperate intertidal zone. Marine Biology. 67. 3. 237-246. 10.1007/BF00397664"
1982,Robles,Disturbance and predation in an assemblage of herbivorous diptera and algae on rocky shores,"Robles, Carlos. 1982. Disturbance and predation in an assemblage of herbivorous diptera and algae on rocky shores. Oecologia. 54. 1. 23-31. 10.1007/BF00541103"
2007,Pearse,Echinodermata,"Pearse, John S.; Mooi, Rich; Messing, Charles G.; Mah, Christopher; Hendler, Gordon; Lambert, Philip. 2007. Echinodermata. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 913-948"
1979,Cooper,"Ecological aspects of tubularia crocea (agassiz, 1862) and its nudibranch predators in elkhorn slough, california.","Cooper, John W. 1979. Ecological aspects of tubularia crocea (agassiz, 1862) and its nudibranch predators in elkhorn slough, california.. California State University, Hayward"
1980,Caine,"Ecology of two littoral species of caprellid amphipods (crustacea) from washington, usa","Caine, E. A.. 1980. Ecology of two littoral species of caprellid amphipods (crustacea) from washington, usa. Marine Biology. 56. 4. 327-335. 10.1007/BF00386871"
2006,Towanda,Ectosymbiotic behavior of cancer gracilis and its trophic relationships with its host phacellophora camtschatica and the parasitoid hyperia medusarum,"Towanda, T; Thuesen, Ev. 2006. Ectosymbiotic behavior of cancer gracilis and its trophic relationships with its host phacellophora camtschatica and the parasitoid hyperia medusarum. Marine Ecology Progress Series. 315. 221-236. 10.3354/meps315221"
2004,Drolet,Effect of light and substratum complexity on microhabitat selection and activity of the ophiuroid ophiopholis aculeata,"Drolet, David; Himmelman, John H.; Rochette, Rémy. 2004. Effect of light and substratum complexity on microhabitat selection and activity of the ophiuroid ophiopholis aculeata. Journal of Experimental Marine Biology and Ecology. 313. 1. 139-154. 10.1016/j.jembe.2004.08.004"
2000,Vickery,Effects of food concentration and availability on the incidence of cloning in planktotrophic larvae of the sea star pisaster ochraceus,"Vickery, Ms; McClintock, Jb. 2000. Effects of food concentration and availability on the incidence of cloning in planktotrophic larvae of the sea star pisaster ochraceus. The Biological Bulletin. 199. 3. 298-304. 10.2307/1543186"
2007,Wyckmans,Effects of food diversity on diatom selection by harpacticoid copepods,"Wyckmans, Marisa; Chepurnov, Victor A.; Vanreusel, Ann; De Troch, Marleen. 2007. Effects of food diversity on diatom selection by harpacticoid copepods. Journal of Experimental Marine Biology and Ecology. 345. 2. 119-128. 10.1016/j.jembe.2007.02.002"
1986,Ambrose,Effects of octopus predation on motile invertebrates in a rocky subtidal community,"Ambrose, Rf. 1986. Effects of octopus predation on motile invertebrates in a rocky subtidal community. Marine Ecology Progress Series. 30. 261-273. 10.3354/meps030261"
1998,Ferry-Graham,Effects of prey size and mobility on prey-capture kinematics in leopard sharks triakis semifasciata,"Ferry-Graham, Lara A.. 1998. Effects of prey size and mobility on prey-capture kinematics in leopard sharks triakis semifasciata. Journal of Experimental Biology. 201. 16. 2433-2444. 10.1242/jeb.201.16.2433"
2015,Wood,Effects of spatial scale of sampling on food web structure,"Wood, S. A.; Russell, R.; Hanson, D.; Williams, R. J.; Dunne, J. A.. 2015. Effects of spatial scale of sampling on food web structure. Ecology and Evolution. 5. 17. 3769-82. 10.1002/ece3.1640"
1999,Shuster,"Effects of temperature and food availability on adult body length in natural and laboratory populations of paracerceis sculpta (holmes), a gulf of california isopod","Shuster, Stephen M; Guthrie, Erin E. 1999. Effects of temperature and food availability on adult body length in natural and laboratory populations of paracerceis sculpta (holmes), a gulf of california isopod. Journal of Experimental Marine Biology and Ecology. 233. 2. 269-284. 10.1016/S0022-0981(98)00133-6"
1993,Martin,"Effects of the exxon valdez oil spill on migrant shorebirds using rocky intertidal habitats of prince william sound, alaska, during spring, 1989. Exxon valdez oil spill state/federal natural resource damage assessment final report","Martin, P. D.. 1993. Effects of the exxon valdez oil spill on migrant shorebirds using rocky intertidal habitats of prince william sound, alaska, during spring, 1989. Exxon valdez oil spill state/federal natural resource damage assessment final report. Fish and Wildlife Service, Anchorage, AK (United States). Migratory Bird Management"
1983,Schroeter,Effects of the starfish patiria miniata on the distribution of the sea urchin lytechinus anamesus in a southern californian kelp forest,"Schroeter, Stephen C.; Dixon, John; Kastendiek, Jon. 1983. Effects of the starfish patiria miniata on the distribution of the sea urchin lytechinus anamesus in a southern californian kelp forest. Oecologia. 56. 2. 141-147. 10.1007/BF00379683"
2024,Womacks,"Effects of warming temperatures on the feeding interactions of an omnivorous crab, pugettia producta (crustacea: brachyura: epialtidae)","Womacks, C.H.; Seroy, S.K.; Dobkowski, K.A.. 2024. Effects of warming temperatures on the feeding interactions of an omnivorous crab, pugettia producta (crustacea: brachyura: epialtidae). Pacific Science. 77. 4. 10.2984/77.4.2"
2015,Bueno,Effects of wave exposure on the abundance and composition of amphipod and tanaidacean assemblages inhabiting intertidal coralline algae,"Bueno, M.; Dena-Silva, S.A.; Flores, A.A.V.; Leite, F.P.P.. 2015. Effects of wave exposure on the abundance and composition of amphipod and tanaidacean assemblages inhabiting intertidal coralline algae. Journal of the Marine Biological Association of the United Kingdom. 7-Jan. 10.1017/S002531541500123X"
1982,Frank,"Effects of winter feeding on limpets by black oystercatchers, haematopus bachmani","Frank, Peter W.. 1982. Effects of winter feeding on limpets by black oystercatchers, haematopus bachmani. Ecology. 63. 5. 1352-1362. 10.2307/1938863"
2007,Hight,"Elevated body temperatures of adult female leopard sharks, triakis semifasciata, while aggregating in shallow nearshore embayments: evidence for behavioral thermoregulation?","Hight, Barbara V.; Lowe, Christopher G.. 2007. Elevated body temperatures of adult female leopard sharks, triakis semifasciata, while aggregating in shallow nearshore embayments: evidence for behavioral thermoregulation?. Journal of Experimental Marine Biology and Ecology. 352. 1. 114-128. 10.1016/j.jembe.2007.07.021"
2008,Sunday,Emerging infectious disease in sea stars: castrating ciliate parasites in patiria miniata,"Sunday, J.; Raeburn, L.; Hart, M. W.. 2008. Emerging infectious disease in sea stars: castrating ciliate parasites in patiria miniata. Diseases of Aquatic Organisms. 81. 2. 173-6. 10.3354/dao01949"
2009,Majer,Evidence of an alarm signal in ophiuroidea (echinodermata),"Majer, Alessandra Pereira; Trigo, José Roberto; Duarte, Luiz Francisco Lembo. 2009. Evidence of an alarm signal in ophiuroidea (echinodermata). Marine Biodiversity Records. 2. e102. 10.1017/S1755267209001067"
1985,Byrne,Evisceration behaviour and the seasonal incidence of evisceration in the holothurian eupentacta quinquesemita (selenka),"Byrne, Maria. 1985. Evisceration behaviour and the seasonal incidence of evisceration in the holothurian eupentacta quinquesemita (selenka). Ophelia. 24. 2. 75‚Äì90. 10.1080/00785236.1985.10426621"
2009,Hultgren,Evolution of decoration in majoid crabs: a comparative phylogenetic analysis of the role of body size and alternative defensive strategies.,"Hultgren, K. M.; Stachowicz, J. J.. 2009. Evolution of decoration in majoid crabs: a comparative phylogenetic analysis of the role of body size and alternative defensive strategies.. The American Naturalist. 173. 5. 566-578. 10.1086/597797"
2019,Appy,Experimental elucidation of the life cycle of rhinebothrium urobatidium (cestoda: rhinebothriidea) from the round stingray (urobatis halleri: myliobatiformes) to first and second intermediate hosts,"Appy, Ralph G.; Goffredi, Shana K.; Pernet, Bruno; Latino, Carin. 2019. Experimental elucidation of the life cycle of rhinebothrium urobatidium (cestoda: rhinebothriidea) from the round stingray (urobatis halleri: myliobatiformes) to first and second intermediate hosts. Bulletin, Southern California Academy of Sciences. 118. 3. 139. 10.3160/0038-3872-118.3.139"
1992,Winter,Experimental evidence for the effects of polyphenolic compounds from dictyoneurum californicum ruprecht (phaeophyta: laminariales) on feeding rate and growth in the red abalone haliotus rufescens swainson,"Winter, Frank C.; Estes, James A.. 1992. Experimental evidence for the effects of polyphenolic compounds from dictyoneurum californicum ruprecht (phaeophyta: laminariales) on feeding rate and growth in the red abalone haliotus rufescens swainson. Journal of Experimental Marine Biology and Ecology. 155. 2. 263-277. 10.1016/0022-0981(92)90067-K"
2000,Deheyn,Expression of bioluminescence in amphipholis squamata (ophiuroidea: echinodermata) in presence of various organisms: a laboratory study,"Deheyn, D.; Mallefet, J.; Jangoux, M.. 2000. Expression of bioluminescence in amphipholis squamata (ophiuroidea: echinodermata) in presence of various organisms: a laboratory study. Journal of the Marine Biological Association of the United Kingdom. 80. 1. 179-180. 10.1017/S0025315499001733"
1985,Thompson,Exudation of biologically-active metabolites in the sponge aplysina fistularis,"Thompson, J E. 1985. Exudation of biologically-active metabolites in the sponge aplysina fistularis. Chemical Evidence"
1981,Kent,Feeding and food preferences of the muricid gastropod ceratostoma foliatum,"Kent, Bretton. 1981. Feeding and food preferences of the muricid gastropod ceratostoma foliatum. Nautilus. 95. 38-42"
1981,Crane,Feeding and growth by the sessile larvae of the teleost porichthys notatus,"Crane, Jules M.. 1981. Feeding and growth by the sessile larvae of the teleost porichthys notatus. Copeia. 1981. 4. 895. 10.2307/1444196"
1997,Houtman,Feeding and predator-avoidance by the rose anemone urticina piscivora,"Houtman, R.; Paul, L. R.; Ungemach, R. V.; Ydenberg, R. C.. 1997. Feeding and predator-avoidance by the rose anemone urticina piscivora. Marine Biology. 128. 2. 225-229. 10.1007/s002270050086"
2002,Schwarz,Feeding behavior and acquisition of zooxanthellae by planula larvae of the sea anemone anthopleura elegantissima,"Schwarz, J.; Weis, V.; Potts, D.. 2002. Feeding behavior and acquisition of zooxanthellae by planula larvae of the sea anemone anthopleura elegantissima. Marine Biology. 140. 3. 471-478. 10.1007/s00227-001-0736-y"
1976,Stenzel,Feeding behavior and diet of the long-billed curlew and willet,"Stenzel, Lynne E.; Huber, Harriet R.; Page, Gary W.. 1976. Feeding behavior and diet of the long-billed curlew and willet. The Wilson Bulletin. 88. 2. 314-332"
1966,Karl,Feeding behavior and reproductive cycles in pisaster ochraceus.,Karl Perry Mauzey. 1966. Feeding behavior and reproductive cycles in pisaster ochraceus.. Biological Bulletin. 131. 127-144
2008,Sease,Feeding behavior of anthopleura artemisia and anthropleura elegantissima,"Sease, Anna M.. 2008. Feeding behavior of anthopleura artemisia and anthropleura elegantissima. Oregon Institute of Marine Biology"
1968,Mauzey,Feeding behavior of asteroids and escape responses of their prey in the puget sound region,"Mauzey, Karl P.; Birkeland, Charles; Dayton, Paul K.. 1968. Feeding behavior of asteroids and escape responses of their prey in the puget sound region. Ecology. 49. 4. 603-619"
1982,Tangren,Feeding behavior of crows and gulls on a puget sound beach,"Tangren, Gerald V. 1982. Feeding behavior of crows and gulls on a puget sound beach. Western Birds. 13. 4-Jan. 12-Jan"
1997,Williams,"Feeding behavior of dipolydora commensalis (polychaeta: spionidae): particle capture, transport, and selection","Williams, Jason D.; McDermott, John J.. 1997. Feeding behavior of dipolydora commensalis (polychaeta: spionidae): particle capture, transport, and selection. Invertebrate Biology. 116. 2. 115-123. 10.2307/3226975"
1977,Child,"Feeding biology and ecological aspects of a cancroid crab cancer oregonensis (dana) rathbun (decapoda, brachyura)","Child, Gary. 1977. Feeding biology and ecological aspects of a cancroid crab cancer oregonensis (dana) rathbun (decapoda, brachyura). Brigham Young University"
1988,Palmer,"Feeding biology of ocenebra lurida (prosobranchia: muricacea): diet, predator-prey size relations, and attack behavior","Palmer, A. Richard. 1988. Feeding biology of ocenebra lurida (prosobranchia: muricacea): diet, predator-prey size relations, and attack behavior. The Veliger. 31. 4-Mar. 192-203"
1985,Strickler,Feeding currents in calanoid copepods: two new hypotheses,"Strickler, J. R.. 1985. Feeding currents in calanoid copepods: two new hypotheses. Symposia of the Society for Experimental Biology. 39. 459-485"
2019,Miyamoto,"Feeding ecology of chaetognath flaccisagitta enflata in the kuroshio region, western north pacific","Miyamoto, Hiroomi; Vijai, Dharmamony; Okazaki, Yuji; Saito, Hiroaki. 2019. Feeding ecology of chaetognath flaccisagitta enflata in the kuroshio region, western north pacific. Kuroshio Current. American Geophysical Union (AGU). 257-272"
1981,Ainley,Feeding ecology of marine cormorants in southwestern north america,"Ainley, David G.; Anderson, Daniel W.; Kelly, Paul R.. 1981. Feeding ecology of marine cormorants in southwestern north america. The Condor. 83. 2. 120-131. 10.2307/1367418"
1994,Gosselin,"Feeding habits of newly hatched juveniles of an intertidal predatory gastropod, nucella emarginata (deshayes)","Gosselin, Louis A.; Chia, Fu-Shiang. 1994. Feeding habits of newly hatched juveniles of an intertidal predatory gastropod, nucella emarginata (deshayes). Journal of Experimental Marine Biology and Ecology. 176. 1. 13-Jan. 10.1016/0022-0981(94)90193-7"
1985,Pugh,Feeding in intertidal acari,"Pugh, P. J. A.; King, P. E.. 1985. Feeding in intertidal acari. Journal of Experimental Marine Biology and Ecology. 94. 1. 269-280. 10.1016/0022-0981(85)90064-4"
1985,Lawton,Feeding in relation to morphometrics within the genus cancer: evolutionary and ecological considerations,"Lawton, Peter; Elner, Robert W.. 1985. Feeding in relation to morphometrics within the genus cancer: evolutionary and ecological considerations. Proceedings of the Symposium on Dungeness Crab Biology and Management. Alaska Sea Grant Report. 85. 3. 357-379"
2004,Giesecke,Feeding of sagitta enflata and vertical distribution of chaetognaths in relation to low oxygen concentrations,"Giesecke, Ricardo; González, Humberto E.. 2004. Feeding of sagitta enflata and vertical distribution of chaetognaths in relation to low oxygen concentrations. Journal of Plankton Research. 26. 4. 475-486. 10.1093/plankt/fbh039"
1991,Ruiz-Campos,"Feeding of the woolly sculpin, clinocottus analis (pisces: cottidae), in todos santos bay, baja california, mexico","Ruiz-Campos, Gorgonio; Hammann, M. Gregory. 1991. Feeding of the woolly sculpin, clinocottus analis (pisces: cottidae), in todos santos bay, baja california, mexico. The Southwestern Naturalist. 36. 3. 348-353. 10.2307/3671688"
2023,Johnson,"Feeding preferences and the effect of temperature on feeding rates of the graceful kelp crab, pugettia gracilis","Johnson, Katrina H.; Dobkowski, Katie A.; Seroy, Sasha K.; Fox, Shelby; Meenan, Natalie. 2023. Feeding preferences and the effect of temperature on feeding rates of the graceful kelp crab, pugettia gracilis. PeerJ. 11. e15223. 10.7717/peerj.15223"
2010,Temereva,"Filter feeding mechanism in the phoronid phoronopsis harmeri (phoronida, lophophorata)","Temereva, E. N.; Malakhov, V. V.. 2010. Filter feeding mechanism in the phoronid phoronopsis harmeri (phoronida, lophophorata). Russian Journal of Marine Biology. 36. 2. 109-116. 10.1134/S1063074010020057"
1968,North,Fish bulletin 139. Utilization of kelp-bed resources in southern california,"North, Wheeler J.; Hubbs, Carl L.. 1968. Fish bulletin 139. Utilization of kelp-bed resources in southern california"
1961,Clemens,Fishes of the pacific coast of canada,"Clemens, W A; Wilby, G V. 1961. Fishes of the pacific coast of canada. Fisheries Research Board of Canada"
1924,Morgan,Foettingeria actiniarum (parasitic in anemones),"Morgan, W. De. 1924. Foettingeria actiniarum (parasitic in anemones). Journal of Cell Science. s2-68. 270. 343-360. 10.1242/jcs.s2-68.270.343"
1988,Brodeur,Food habits and diet overlap of various eastern bering sea fishes,"Brodeur, Richard D; Livingston, Patricia A. 1988. Food habits and diet overlap of various eastern bering sea fishes. Resource Ecology and Fisheries Management Division Northwest and Alaska Fisheries Center; National Marine Fisheries Service National Oceanic and Atmospheric Administration"
1976,Lg,"Food habits of the leopard shark, triakis semifasciata, in elkhorn slough, monterey bay, california","Lg, Talent. 1976. Food habits of the leopard shark, triakis semifasciata, in elkhorn slough, monterey bay, california. Calif. Fish Game. 62. 286-298"
1980,Yoshiyama,Food habits of three species of rocky intertidal sculpins (cottidae) in central california,"Yoshiyama, Ronald M.. 1980. Food habits of three species of rocky intertidal sculpins (cottidae) in central california. Copeia. 1980. 3. 515-525. 10.2307/1444529"
1968,Johnson,"Food of the buffalo sculpin, enophrys bison","Johnson, Clifford Ray. 1968. Food of the buffalo sculpin, enophrys bison. Journal of the Fisheries Research Board of Canada. 25. 4. 807-812. 10.1139/f68-072"
1975,Eastman,"Food preferences of triopha maculata  and  triopha carpenteri  on the monterey peninsula, california","Eastman, James Kirbye. 1975. Food preferences of triopha maculata  and  triopha carpenteri  on the monterey peninsula, california. California State University, Fresno"
1984,Ambrose,"Food preferences, prey availability, and the diet of octopus bimaculatus verrill","Ambrose, Richard F.. 1984. Food preferences, prey availability, and the diet of octopus bimaculatus verrill. Journal of Experimental Marine Biology and Ecology. 77. 1. 29-44. 10.1016/0022-0981(84)90049-2"
1986,Grossman,Food resource partitioning in a rocky intertidal fish assemblage,"Grossman, Gary D.. 1986. Food resource partitioning in a rocky intertidal fish assemblage. Journal of Zoology. 1. 2. 317-355. 10.1111/j.1096-3642.1986.tb00642.x"
1990,Demetropoulos,"Foraging and dietary strategies of two sublittoral cottids, jordania zonope and artedius harringtoni","Demetropoulos, C. L.; Braithwaite, L. F.; Maurer, B. A.; Whiting, D.. 1990. Foraging and dietary strategies of two sublittoral cottids, jordania zonope and artedius harringtoni. Journal of Fish Biology. 37. 1. 19-32. 10.1111/j.1095-8649.1990.tb05923.x"
1984,Annett,Foraging behavior and prey selection of the leather seastar dermasterias imbricata,"Annett, Cynthia; Pierotti, Raymond. 1984. Foraging behavior and prey selection of the leather seastar dermasterias imbricata. Marine Ecology-progress Series - MAR ECOL-PROGR SER. 14. 197-206. 10.3354/meps014197"
1983,Hom,Foraging ecology of herons in a southern san francisco bay salt marsh,"Hom, Calvin W.. 1983. Foraging ecology of herons in a southern san francisco bay salt marsh. Colonial Waterbirds. 6. 37-44. 10.2307/1520965"
1973,Krantz,"Four new predatory species of halacaridae (acari: prostigmata) from oregon, with remarks on their distribution in the intertidal mussel habitat (pelecypoda : mytilidae1)","Krantz, G. W.. 1973. Four new predatory species of halacaridae (acari: prostigmata) from oregon, with remarks on their distribution in the intertidal mussel habitat (pelecypoda : mytilidae1). Annals of the Entomological Society of America. 66. 5. 975-985. 10.1093/aesa/66.5.975"
1985,Perry,Function of the shell spine in the predaceous rocky intertidal snail acanthina spirata (prosobranchia: muricacea),"Perry, D. M.. 1985. Function of the shell spine in the predaceous rocky intertidal snail acanthina spirata (prosobranchia: muricacea). Marine Biology. 88. 1. 51-58. 10.1007/BF00393043"
1999,Donovan,Functional significance of shell sculpture in gastropod molluscs: test of a predator-deterrent hypothesis in ceratostoma foliatum (gmelin),"Donovan, Deborah A; Danko, Jean Paul; Carefoot, Thomas H. 1999. Functional significance of shell sculpture in gastropod molluscs: test of a predator-deterrent hypothesis in ceratostoma foliatum (gmelin). Journal of Experimental Marine Biology and Ecology. 236. 2. 235-251. 10.1016/S0022-0981(98)00200-7"
2009,Kochzius,Genetic population structures of the blue starfish linckia laevigata and its gastropod ectoparasite thyca crystallina,"Kochzius, M.; Seidel, C.; Hauschild, J.; Kirchhoff, S.; Mester, P.; Meyer-Wachsmuth, I.; Nuryanto, A.; Timm, J.. 2009. Genetic population structures of the blue starfish linckia laevigata and its gastropod ectoparasite thyca crystallina. Marine Ecology Progress Series. 396. 211-219. 10.3354/meps08281"
2012,Behrens,Geographic variation in the diet of opaleye (girella nigricans) with respect to temperature and habitat,"Behrens, Michael D.; Lafferty, Kevin D.. 2012. Geographic variation in the diet of opaleye (girella nigricans) with respect to temperature and habitat. PLOS ONE. 7. 9. e45901. 10.1371/journal.pone.0045901"
1970,Feder,"Growth and predation by the ochre sea star, pisaster ochraceus (brandt), in monterey bay, california","Feder, Howard M.. 1970. Growth and predation by the ochre sea star, pisaster ochraceus (brandt), in monterey bay, california. Ophelia. 8. 1. 161-185. 10.1080/00785326.1970.10429557"
1990,Pierce,Growth and reproduction of the tidepool sculpin oligocottus maculosus,"Pierce, Bryan E.; Pierson, Keith B.. 1990. Growth and reproduction of the tidepool sculpin oligocottus maculosus. Japanese Journal of Ichthyology. 36. 4. 410-418. 10.11369/jji1950.36.410"
1972,Miller,Guide to the coastal marine fishes of california,"Miller, Daniel J.; Lea, Robert N.. 1972. Guide to the coastal marine fishes of california. Fish Bulletin. 157"
2001,Logothetis,"Gut morphology and function in atherinops affinis (teleostei: atherinopsidae), a stomachless omnivore feeding on macroalgae","Logothetis, E. A.; Horn, M. H.; Dickson, K. A.. 2001. Gut morphology and function in atherinops affinis (teleostei: atherinopsidae), a stomachless omnivore feeding on macroalgae. Journal of Fish Biology. 59. 5. 1298-1312. 10.1111/j.1095-8649.2001.tb00193.x"
1978,Caine,Habitat adaptations of north american caprellid amphipoda (crustacea),"Caine, Edsel A.. 1978. Habitat adaptations of north american caprellid amphipoda (crustacea). The Biological Bulletin. 155. 2. 288-296. 10.2307/1540953"
1991,Butler,"Habitat selection and time of breeding in the great blue heron, (ardea herodias)","Butler, Robert William. 1991. Habitat selection and time of breeding in the great blue heron, (ardea herodias). University of British Columbia"
1977,Ooishi,"Haplostominae (copepoda, cyclopoida) associated with compound ascidians from the san juan archipelago and vicinity","Ooishi, Shigeko; Illg, Paul L.. 1977. Haplostominae (copepoda, cyclopoida) associated with compound ascidians from the san juan archipelago and vicinity. Special publications from the Seto Marine Biological Laboratory. 5. 1-154. 10.5134/176460"
1954,Arai,Helminth parasites of embiotocid fishes. I. A new genus of the trematode family zoogonidae,"Arai, Hisao P.. 1954. Helminth parasites of embiotocid fishes. I. A new genus of the trematode family zoogonidae. The Journal of Parasitology. 40. 3. 356-359. 10.2307/3273751"
2007,Woodwick,Hemichordata,"Woodwick, Keith H.; Cameron, Christopher B.. 2007. Hemichordata. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 909-912"
1990,Russel,Host utilization during ontogeny by two pycnogonid species (tanystylum duospinum and ammothea hilgendorfi) parasitic on the hydroid eucopella everta (coelenterata: campanulariidae),"Russel, David J.; Hedgepeth, Joel W.. 1990. Host utilization during ontogeny by two pycnogonid species (tanystylum duospinum and ammothea hilgendorfi) parasitic on the hydroid eucopella everta (coelenterata: campanulariidae). Bijdragen lot de Dierkunde. 60. 3. 215-224"
2002,Kathman,Identification manual to the mysidacea and euphausiacea of the northeast pacific,"Kathman, R. D.; Austin, W. C.; Saltman, J. C.; Fulton, J. D.. 2002. Identification manual to the mysidacea and euphausiacea of the northeast pacific. Department of Fisheries and Oceans"
2010,Bates,Impact of temperature on an emerging parasitic association between a sperm-feeding scuticociliate and northeast pacific sea stars,"Bates, Amanda E.; Stickle, William B.; Harley, Christopher D. G.. 2010. Impact of temperature on an emerging parasitic association between a sperm-feeding scuticociliate and northeast pacific sea stars. Journal of Experimental Marine Biology and Ecology. 384. 2-Jan. 44-50. 10.1016/j.jembe.2009.12.001"
