publication_year,firstauthor,title,reference,reference_number,author,year,link_or_doi
NA,NA,Long-billed dowitcher (limnodromus scolopaceus),"Takekawa, J. Y. and N. D. Warnock (2020). Long-billed Dowitcher (Limnodromus scolopaceus), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.lobdow.01",413,Takekawa,2020,"Takekawa, J. Y. and N. D. Warnock (2020). Long-billed Dowitcher (Limnodromus scolopaceus), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy.library.ucsb.edu/10.2173/bow.lobdow.01"
NA,NA,"Love, m. 1996. Probably more than you want to know about the fishes of the pacific coast. Really big press, santa barbara, ca.","Love, M. 1996. Probably more than you want to know about the fishes of the Pacific Coast. Really Big Press, Santa Barbara, CA.",231,NA,NA,12/20/2023 03:10PM
1976,Cheng,Marine insects,"Cheng, L.. 1976. Marine insects. North-Holland Publ. Co",315,Cheng,1976,NA
NA,NA,"Mauzey, k. P., c. Birkeland, and p. K. Dayton. 1968. Feeding behavior of asteroids and escape responses of their prey in the puget sound region. Ecology 49:603-619.","Mauzey, k. P., c. Birkeland, and p. K. Dayton. 1968. Feeding behavior of asteroids and escape responses of their prey in the puget sound region. Ecology 49:603-619.",232,NA,NA,12/20/2023 03:01PM
2016,Hovel,"Mesopredator foraging success in eelgrass (zostera marina l.): relative effects of epiphytes, shoot density, and prey abundance","Hovel, Kevin A.; Warneke, Alexandria M.; Virtue-Hilborn, Stacey P.; Sanchez, Alterra E.. 2016. Mesopredator foraging success in eelgrass (zostera marina l.): relative effects of epiphytes, shoot density, and prey abundance. Journal of Experimental Marine Biology and Ecology. 474. 142-147. 10.1016/j.jembe.2015.10.014",96,Kevin A.HovelAlexandria M.WarnekeStacey P.Virtue-HilbornAlterra E.Sanchez,2016,NA
2019,Retallack,"Metagenomic next-generation sequencing reveals miamiensis avidus (ciliophora: scuticociliatida) in the 2017 epizootic of leopard sharks (triakis semifasciata) in san francisco bay, california, usa","Retallack, Hanna; Okihiro, Mark S.; Britton, Elliot; Sommeran, Sean Van; DeRisi, Joseph L.. 2019. Metagenomic next-generation sequencing reveals miamiensis avidus (ciliophora: scuticociliatida) in the 2017 epizootic of leopard sharks (triakis semifasciata) in san francisco bay, california, usa. Journal of Wildlife Diseases. 55. 2. 375-386. 10.7589/2018-04-097",117,Hanna Retallack;  Mark S. Okihiro;  Elliot Britton;  Sean Van Sommeran;  Joseph L. DeRisi,2019,NA
1983,Ambrose,Midden formation by octopuses: the role of biotic and abiotic factors,"Ambrose, Richard F.. 1983. Midden formation by octopuses: the role of biotic and abiotic factors. Marine Behaviour and Physiology. 10. 2. 137‚Äì144. 10.1080/10236248309378613",166,Richard F. Ambrose,1983,NA
2015,Boonstra,Milbemycin oxime (interceptor) treatment of amphipod parasites (hyperiidae) from several host jellyfish species,"Boonstra, Jennifer L.; Koneval, Maureen E.; Clark, James D.; Schick, Mark; Smith, Malissa; Stark, Amy L.. 2015. Milbemycin oxime (interceptor) treatment of amphipod parasites (hyperiidae) from several host jellyfish species. Journal of Zoo and Wildlife Medicine. 46. 1. 158-160. 10.1638/2014-0087R.1",247,Boonstra,2015,NA
NA,NA,Mimicry of the gastropod mitrella carinata by the amphipod pleustes platypa,"Crane, J. M. (1969). Mimicry of the gastropod mitrella carinata by the amphipod pleustes platypa. The Veliger, 12, 200–200.",421,Crane,1969,NA
2020,Shanebeck,Missing link: california rock crabs serve as intermediate hosts for the parasite helicometrina nimia,"Shanebeck, K. M.; Presswell, B.; Lagrue, C.. 2020. Missing link: california rock crabs serve as intermediate hosts for the parasite helicometrina nimia. Journal of Helminthology. 94. e143. 10.1017/S0022149X20000218",200,Shanebeck et al,2020,NA
2020,Shanebeck,Missing link: california rock crabs serve as intermediate hosts for the parasite helicometrina nimia,"Shanebeck, K. M.; Presswell, B.; Lagrue, C.. 2020. Missing link: california rock crabs serve as intermediate hosts for the parasite helicometrina nimia. Journal of Helminthology. 94. e143. 10.1017/S0022149X20000218",203,Shanebeck,2020,NA
2007,Lindberg,Mollusca,"Lindberg, David R.; Scheltema, Amelie H.; Shimek, Ronald L.; Hochberg, F. G.; Shulman, Danna Joy; Eernisse, Douglas J.; Clark, Roger N.; Draeger, Anthony; Mclean, James H.; Reid, David; Seapy, Roger R.; Lalli, Carol M.; Williams, Gary C.; Goddard, Jeffrey H. R.; Gosliner, Terence M.; McDonald, Gary R.; Coan, Eugene V.; Valentich-Scott, Paul. 2007. Mollusca. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 694-859",NA,NA,NA,NA
2006,Kicklighter,Multiple components in ink of the sea hare aplysia californica are aversive to the sea anemone anthopleura sola,"Kicklighter, Cynthia E.; Derby, Charles D.. 2006. Multiple components in ink of the sea hare aplysia californica are aversive to the sea anemone anthopleura sola. Journal of Experimental Marine Biology and Ecology. 334. 2. 256-268. 10.1016/j.jembe.2006.02.002",1,Cynthia E.KicklighterCharles D.Derby,2006,NA
1992,Schabes,"Mysid locomotion and feeding: kinematics and water-flow patterns of antarctomysis sp., acanthomysis sculpta, and neomysis rayii","Schabes, Mauricio; Hamner, William. 1992. Mysid locomotion and feeding: kinematics and water-flow patterns of antarctomysis sp., acanthomysis sculpta, and neomysis rayii. Journal of Crustacean Biology. 12. 1. 10-Jan. 10.2307/1548713",306,Schabes and Hamner,1992,NA
1939,Noble,Myxosporidia from tide pool fishes of california,"Noble, Elmer R.. 1939. Myxosporidia from tide pool fishes of california. The Journal of Parasitology. 25. 4. 359-364. 10.2307/3272019",8,Elmer R. Noble,1939,NA
NA,NA,"Nakashima, r. 1974. Asteroid predation in monterey bay. B. S. Thesis. University of california santa barbara.","Nakashima, r. 1974. Asteroid predation in monterey bay. B. S. Thesis. University of california santa barbara.",233,NA,NA,12/20/2023 03:00PM
1968,MacGinitie,Natural history of marine animals,"MacGinitie, G. E.; MacGinitie, Nettie. 1968. Natural history of marine animals. McGraw-Hill",431,McGintie,1949,NA
1965,Paine,"Natural history, limiting factors and energetics of the opisthobranch navanax inermis","Paine, Robert T.. 1965. Natural history, limiting factors and energetics of the opisthobranch navanax inermis. Ecology. 46. 5. 603-619. 10.2307/1935000",185,Robert T. Paine,1965,NA
2007,Hope,Nematoda,"Hope, W. Duane. 2007. Nematoda. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 234-266",NA,NA,NA,NA
2007,Kuris,Nematomorpha,"Kuris, Armand M.. 2007. Nematomorpha. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 274-274",NA,NA,NA,NA
2007,Roe,Nemertea,"Roe, Pamela; Norenburg, Jon L.; Maslakova, Svetlana. 2007. Nemertea. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 221-233",NA,NA,NA,NA
NA,NA,Neptunea pribiloffensis (dall 1919) and tealia crassicornia ( muller 1776) on a snail's use of babysitters,"Shimek, R. (1981). Shimek, R. L. 1981. Neptunea pribiloffensis (Dall, 1919) and Tealia crassicornis (Müller, 1776), On a snail’s use of babysitters. The Veliger, 24, 62–66.",42,Ronald L. Shimek,1981,NA
1912,Heath,"New polyclads from monterey bay, california","Heath, Harold; McGregor, Ernest A.. 1912. New polyclads from monterey bay, california. Proceedings of the Academy of Natural Sciences of Philadelphia. 64. 455-488",199,HAROLD HEATH AND ERNEST A. MCGREGOR.,1912,NA
1984,Wicksten,New records of snapping shrimps (family alpheidae) from california,"Wicksten, Mary K. 1984. New records of snapping shrimps (family alpheidae) from california. Proceedings of the Biological Society of Washington. 97. 1. 186-190",NA,NA,NA,NA
1981,Levine,"New species of lankesteria (apicomplexa, eugregarinida) from ascidians on the central california coast1","Levine, Norman D.. 1981. New species of lankesteria (apicomplexa, eugregarinida) from ascidians on the central california coast1. The Journal of Protozoology. 28. 3. 363-370. 10.1111/j.1550-7408.1981.tb02868.x",235,Levine,1981,https://doi.org/10.1111/j.1550-7408.1981.tb02868.x
1935,Park,New trematodes from birds: plagiorchis noblei (plagiorchidae) from agelaius phoeniceus californicus; galactosomum humbargari (heterophidae) from larus californicus,"Park, James. 1935. New trematodes from birds: plagiorchis noblei (plagiorchidae) from agelaius phoeniceus californicus; galactosomum humbargari (heterophidae) from larus californicus. University of the Pacific Theses and Dissertations. 13",389,Park,1935,NA
1958,Illg,North american copepods of the family notodelphyidae,"Illg, Paul L.. 1958. North american copepods of the family notodelphyidae. Proceedings of the United States National Museum. 108. 3390. 463-649. 10.5479/si.00963801.108-3390.463",105,Illg,1958,NA
2019,Valdés,Northeast pacific benthic shelled sea slugs,"Valdés, Ángel. 2019. Northeast pacific benthic shelled sea slugs. Zoosymposia. 13. 1. 242-304. 10.11646/zoosymposia.13.1.21",283,Valdez,2019,NA
1998,Campos,Notes on distribution and taxonomy of five poorly known species of pinnotherid crabs from the eastern pacific (crustacea: brachyura: pinnotheridae),"Campos, Ernesto; Diaz, Victoria; Gamboa-Contreras, J A. 1998. Notes on distribution and taxonomy of five poorly known species of pinnotherid crabs from the eastern pacific (crustacea: brachyura: pinnotheridae). Proceedings of the Biological Society of Washington. 111. 2. 372-381",NA,NA,NA,NA
1933,Glassell,Notes on parapinnixa affinis holmes and its allies,"Glassell, Steve A. 1933. Notes on parapinnixa affinis holmes and its allies. Transactions of the San Diego Society of Natural History. 7. 319-330. 10.5962/bhl.part.6163",NA,NA,NA,NA
1970,Johnson,"Notes on the intertidal life history of the northern clingfish, gobiesox maeandricus (girard)","Johnson, Clifford Ray. 1970. Notes on the intertidal life history of the northern clingfish, gobiesox maeandricus (girard). The American Midland Naturalist. 83. 2. 625-627. 10.2307/2423966",155,Clifford Ray Johnson,1970,NA
1937,MacGinitie,Notes on the natural history of several marine crustacea,"MacGinitie, G. E.. 1937. Notes on the natural history of several marine crustacea. The American Midland Naturalist. 18. 6. 1031-1037. 10.2307/2420601",430,McGintie,1937,NA
2010,Polkinghorne,Novel chlamydiales associated with epitheliocystis in a leopard shark triakis semifasciata,"Polkinghorne, A.; Schmidt-Posthaus, H.; Meijer, A.; Lehner, A.; Vaughan, L.. 2010. Novel chlamydiales associated with epitheliocystis in a leopard shark triakis semifasciata. Diseases of Aquatic Organisms. 91. 1. 75-81. 10.3354/dao02255",126,"A. Polkinghorne1,5, H. Schmidt-Posthaus2, A. Meijer3, A. Lehner4, L. Vaughan1,*",2010,NA
1989,Walker,Nutrition and development of brooded embryos in the brittlestar amphipholis squamata: do endosymbiotic bacteria play a role?,"Walker, C. W.; Lesser, M. P.. 1989. Nutrition and development of brooded embryos in the brittlestar amphipholis squamata: do endosymbiotic bacteria play a role?. Marine Biology. 103. 4. 519-530. 10.1007/BF00399584",61,C.W. Walker t and M.P. Lesser,1989,NA
1954,Lasker,"Nutrition of the sea urchin, strongylocentrotus purpuratus","Lasker, Reuben; Giese, Arthur C.. 1954. Nutrition of the sea urchin, strongylocentrotus purpuratus. The Biological Bulletin. 106. 3. 328-340. 10.2307/1538767",66,Reuben Lasker and Arthur C. Giese,1954,NA
1988,Stebbins,"Observations and experiments on the natural history and behavior of the commensal isopod colidotea rostrata (benedict, 1898) (isopoda: idoteidae)","Stebbins, Timothy D.. 1988. Observations and experiments on the natural history and behavior of the commensal isopod colidotea rostrata (benedict, 1898) (isopoda: idoteidae). Journal of Crustacean Biology. 8. 4. 539-547",288,Stebbins,1988,NA
2013,Russo,"Observations on the ectoparasites of elasmobranchs in san francisco bay, california","Russo, Ron. 2013. Observations on the ectoparasites of elasmobranchs in san francisco bay, california. California Fish and Game. 99. 233-236",118,Ronald A. Russo,2013,NA
NA,NA,Observations on the food of kelp forest fishes. In: utilization of kelp bed resources in southern california,"North, W. J., & Hubbs, C. L. (1968). Observations on the food of kelp forest fishes. In: Fish Bulletin 139. Utilization of Kelp-Bed Resources in Southern California. https://escholarship.org/uc/item/22w5w2zp",357,Quast,1968,NA
1987,Goddard,"Observations on the opisthobranch mollusks of punta gorda, california, with notes on the distribution and biology of crimoria coneja","Goddard, J. H. R. 1987. Observations on the opisthobranch mollusks of punta gorda, california, with notes on the distribution and biology of crimoria coneja. Observations on the opisthobranch mollusks of Punta Gorda, California, with notes on the distribution and biology of Crimoria coneja. 29. 3. 267-273",454,Goddard,1987,NA
1982,Coyer,"Observations on the reproductive behavior of the giant kelpfish, heterostichus rostratus (pisces: clinidae)","Coyer, James A.. 1982. Observations on the reproductive behavior of the giant kelpfish, heterostichus rostratus (pisces: clinidae). Copeia. 1982. 2. 344-350. 10.2307/1444613",95,JAMES A. COYER,1982,NA
1968,Johnson,"Occurrence and behaviour of hyale grandicornis, a gammarid amphipod commensal in the genus acmaea","Johnson, Samuel E.. 1968. Occurrence and behaviour of hyale grandicornis, a gammarid amphipod commensal in the genus acmaea. Veliger. 11. 56-60",100,Samuel E. Johnson,1968,NA
1988,Ching,"Occurrence of a metacercaria (trematoda: gymnophallidae) in acmaeid gastropods, lottia digitalis and ""collisella"" scabra","Ching, Hilda Lei; Grosholz, Edwin D.. 1988. Occurrence of a metacercaria (trematoda: gymnophallidae) in acmaeid gastropods, lottia digitalis and ""collisella"" scabra. Proceedings of the Helminthological Society of Washington. 55. 1. 107-108",387,Ching,1988,NA
1991,Forsythe,"Octopus bimaculoides (pickford & mcconnaughey, 1949): a marine invertebrate host for ectoparasitic protozoans","Forsythe, J. W.; Hanlon, R. T.; Bullis, R. A.; Noga, E. J.. 1991. Octopus bimaculoides (pickford & mcconnaughey, 1949): a marine invertebrate host for ectoparasitic protozoans. Journal of Fish Diseases. 14. 4. 431-442. 10.1111/j.1365-2761.1991.tb00595.x",171,"J. W. FORSYTHE, R. T. HANLON, R. A. BULLIS, E. J. NOGA,",1991,NA
1950,Rees,"On cladonema myersi, a new species of hydroid from the californian coast","Rees, W. J.. 1950. On cladonema myersi, a new species of hydroid from the californian coast. Proceedings of the Zoological Society of London. 119. 4. 861-865. 10.1111/j.1096-3642.1950.tb00912.x",NA,NA,NA,NA
1993,Kleppel,On the diets of calanoid copepods,"Kleppel, G. S.. 1993. On the diets of calanoid copepods. Marine Ecology Progress Series. 99. 2-Jan. 183-195",371,Kleppel,NA,NA
NA,NA,"On the identity of lottia strigatella (carpenter, 1864) (patellogastropoda: lottiidae)","Simison, W. B., & Lindberg, D. R. (2003). On the identity of Lottia strigatella (Carpenter, 1864) (Patellogastropoda: Lottiidae). Veliger, 46(1), 1–19.",438,Simison,2003,NA
1969,Harada,On the interspecific association of a snapping shrimp and gobioid fishes,"Harada, Eiji. 1969. On the interspecific association of a snapping shrimp and gobioid fishes. Publications of the Seto Marine Biological Laboratory. 16. 5. 315-334. 10.5134/175555",281,Harada,1969,NA
2008,Griffiths,"Ontogenetic shift in susceptibility to predators in juvenile northern abalone, haliotis kamtschatkana","Griffiths, Allison M.; Gosselin, Louis A.. 2008. Ontogenetic shift in susceptibility to predators in juvenile northern abalone, haliotis kamtschatkana. Journal of Experimental Marine Biology and Ecology. 360. 2. 85-93. 10.1016/j.jembe.2008.04.004",301,Griffiths and Gosselin,2009,NA
1996,Cook,Ontogeny of feeding morphology and kinematics in juvenile fishes: a case study of the cottid fish clinocottus analis,"Cook, Amy. 1996. Ontogeny of feeding morphology and kinematics in juvenile fishes: a case study of the cottid fish clinocottus analis. Journal of Experimental Biology. 199. 9. 1961-1971. 10.1242/jeb.199.9.1961",153,AMY COOK,1961,NA
1960,Roushdy,Ophiuroids feeding on phytoplankton,"Roushdy, H. M.; Hansen, Vagn Kr. 1960. Ophiuroids feeding on phytoplankton. Nature. 188. 4749. 517-518. 10.1038/188517b0",51,H. M. ROUSHDY & VAGN. KR. HANSEN,1960,NA
NA,NA,Oregon estuarine invertebrates: an illustrated guide to the common and important invertebrate animals,"Rudy, Paul, Lynn Hay Rudy, and Jay F. Watson. Oregon estuarine invertebrates: an illustrated guide to the common and important invertebrate animals. [Washington, DC]: Fish and Wildlife Service, US Dept. of the Interior., 1983.",439,Rudy,1983,NA
1935,Wilson,Parasitic copepods from the pacific coast,"Wilson, Charles Branch. 1935. Parasitic copepods from the pacific coast. The American Midland Naturalist. 16. 5. 776-797. 10.2307/2420107",99,Charles Branch Wilson,1935,NA
NA,NA,Parasitic copepods of the pacific coast,NA,176,Wilson,1935,NA
1990,Dierks,"Parental care and diet of california gull (larus californicus) chicks at alviso, california","Dierks, Ann Jennifer. 1990. Parental care and diet of california gull (larus californicus) chicks at alviso, california. San Jose State University",410,Dierks,1990,NA
1967,Day,Part 1: errantia,"Day, J. H.; History), British Museum (Natural. 1967. Part 1: errantia. A monograph on the Polychaeta of southern Africa. BM(NH). Vol 1",NA,NA,NA,NA
2014,Best,Phenotypic and phylogenetic evidence for the role of food and habitat in the assembly of communities of marine amphipods,"Best, Rebecca J.; Stachowicz, John J.. 2014. Phenotypic and phylogenetic evidence for the role of food and habitat in the assembly of communities of marine amphipods. Ecology. 95. 3. 775-786. 10.1890/13-0163.1",297,Best and Stachowitz,2014,NA
2007,Zimmer,Phoronida,"Zimmer, Russel. 2007. Phoronida. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 860-863",NA,NA,NA,NA
1972,Arenas,Phoronis ovalis wright in chile,"Arenas, José N.. 1972. Phoronis ovalis wright in chile. Studies on Neotropical Fauna. 7. 1. 113-115. 10.1080/01650527209360437",208,Jos√© N. Arenas,1972,12/20/2023 12:14PM
1993,Boeger,"Phylogeny and a revised classification of the monogenoidea bychowsky, 1937 (platyhelminthes)","Boeger, Walter A.; Kritsky, Delane C.. 1993. Phylogeny and a revised classification of the monogenoidea bychowsky, 1937 (platyhelminthes). Systematic Parasitology. 26. 1. Jan-32. 10.1007/BF00009644",270,Boeger & Kritsky,1993,NA
1992,Conlan,"Phylogeny and ecology of a kelp-boring amphipod, peramphithoe stypotrupetes, new species (corophioidea: ampithoidae)","Conlan, K. E.; Chess, J. R.. 1992. Phylogeny and ecology of a kelp-boring amphipod, peramphithoe stypotrupetes, new species (corophioidea: ampithoidae). Journal of Crustacean Biology. 12. 3. 410-422. 10.2307/1549035",262,Conlan and Chess,1992,NA
NA,NA,"Phylum cnidaria, class hydrozoa, p. 44-71. In: reproduction and development of marine invertebrates of the northern pacific coast: data and methods for the study of eggs, embryos, and larvae.","Phylum cnidaria, class hydrozoa, p. 44-71. In: reproduction and development of marine invertebrates of the northern pacific coast: data and methods for the study of eggs, embryos, and larvae.",246,NA,2015,NA
1997,Zhinan,"Phytal meiofauna of a rocky shore at the cape d'aguilar marine reserve, hong kong","Zhinan, Z. 1997. Phytal meiofauna of a rocky shore at the cape d'aguilar marine reserve, hong kong. The Marine Flora and Fauna of Hong Kong and Southern China IV. Hong Kong University Press. 205",308,Zhinan,1997,NA
2007,Holleman,Platyhelminthes,"Holleman, John J.; Hooge, Mathew D.; Kuris, Armand M.. 2007. Platyhelminthes. The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon. University of California Press. 206-220",NA,NA,NA,NA
NA,NA,"Population dynamics and comparative ecophysiology of two intertidal isopods, gnorimosphaeroma luteum and g. oregonense","Brook, H. J. (1994). Population dynamics and comparative ecophysiology of two intertidal Isopods, Gnorimosphaeroma luteum and G. oregonense [University of Calgary]. http://hdl.handle.net/1880/30443",292,Brook,1995,NA
1992,Kenner,"Population dynamics of the sea urchin strongylocentrotus purpuratus in a central california kelp forest: recruitment, mortality, growth, and diet","Kenner, M. C.. 1992. Population dynamics of the sea urchin strongylocentrotus purpuratus in a central california kelp forest: recruitment, mortality, growth, and diet. Marine Biology. 112. 1. 107-118. 10.1007/BF00349734",67,M. C. Kenner,1992,NA
1993,McAlary,"Population structure and reproduction of the fissiparous seastar, linckia columbiae gray, on santa catalina island, california","McAlary, Florence A.. 1993. Population structure and reproduction of the fissiparous seastar, linckia columbiae gray, on santa catalina island, california. Third California Islands Symposium. 233-248",31,Florence A. McAlary,1993,NA
1990,Stepien,"Population structure, diets and biogeographic relationships of a rocky intertidal fish assemblage in central chile: high levels of herbivory in a temperate system","Stepien, Carol A.. 1990. Population structure, diets and biogeographic relationships of a rocky intertidal fish assemblage in central chile: high levels of herbivory in a temperate system. Bulletin of Marine Science. 47. 3. 598-612",94,"Stepien, Carol A.",1990,NA
1953,Young,"Postmonorchis donacis, a new species of monorchid trematode from the pacific coast, and its life history","Young, R. T.. 1953. Postmonorchis donacis, a new species of monorchid trematode from the pacific coast, and its life history. Journal of the Washington Academy of Sciences. 43. 3. 88-93",49,R. T. Young,1953,NA
1990,Purcell,Predation and food limitation as causes of mortality in larval herring at a spawning ground in british columbia,"Purcell, Jennifer E.; Grover, Jill J.. 1990. Predation and food limitation as causes of mortality in larval herring at a spawning ground in british columbia. Marine Ecology Progress Series. 59. 2-Jan. 55-61",245,NA,1990,https://www.jstor.org/stable/24842421
1981,Day,Predation by patiria miniata (asteroidea) on bryozoans: prey diversity may depend on the mechanism of succession,"Day, R. W.; Osman, R. W.. 1981. Predation by patiria miniata (asteroidea) on bryozoans: prey diversity may depend on the mechanism of succession. Oecologia. 51. 3. 300-309. 10.1007/BF00540898",20,R.W. Day and R.W. Osman,1981,NA
1971,Robilliard,Predation by the nudibranch dirona albolineata on three species of prosobranchs',"Robilliard, Gordon A. 1971. Predation by the nudibranch dirona albolineata on three species of prosobranchs'. Pacific Science. 25. 429-435",108,Gordon Robilliard,1971,NA
2022,Boukouzis,Predation of crabs on different species of jellyfish,"Boukouzis, Katerina. 2022. Predation of crabs on different species of jellyfish. University of Washington",NA,NA,NA,NA
1986,Posey,Predation on a burrowing shrimp: distribution and community consequences,"Posey, Martin H.. 1986. Predation on a burrowing shrimp: distribution and community consequences. Journal of Experimental Marine Biology and Ecology. 103. 1. 143-161. 10.1016/0022-0981(86)90138-3",148,Martin H.Posey,1986,NA
1962,Winkler,"Predation on the california sea hare, aplysia californica cooper, by the solitary great green sea anemone, anthopleura xanthogrammica (brandt), and the effect of sea hare toxin and acetylcholine on anemone muscle","Winkler, Lindsay R.; Tilton, Bernard E.. 1962. Predation on the california sea hare, aplysia californica cooper, by the solitary great green sea anemone, anthopleura xanthogrammica (brandt), and the effect of sea hare toxin and acetylcholine on anemone muscle",2,LINDSAY R. WINKLER and BERNARD E. TILTONl,1962,NA
1984,Harvell,Predator-induced defense in a marine bryozoan,"Harvell, Catherine. 1984. Predator-induced defense in a marine bryozoan. Science (New York, N.Y.). 224. 1357-9. 10.1126/science.224.4655.1357",210,Drew Harvell,1984,12/20/2023 12:14PM
1982,Yoshioka,Predator-induced polymorphism in the bryozoan membranipora membranacea (l.),"Yoshioka, Paul M.. 1982. Predator-induced polymorphism in the bryozoan membranipora membranacea (l.). Journal of Experimental Marine Biology and Ecology. 61. 3. 233-242. 10.1016/0022-0981(82)90071-5",212,Paul Yoshioka,1982,12/20/2023 12:14PM
1983,Mace,Predator-prey functional responses and predation by staghorn sculpins (leptocottus armatus) on chum salmon fry (oncorhynchus keta),"Mace, Pamela M.. 1983. Predator-prey functional responses and predation by staghorn sculpins (leptocottus armatus) on chum salmon fry (oncorhynchus keta). University of British Columbia",143,"Mace, Pamela M.",1983,NA
2018,Terbiyik,Preliminary results on the feeding and gut content of flaccisagitta enflata in coastal areas of iÃáskenderun bay (northeastern mediterranean sea),"Terbiyik Kurt, Tuba. 2018. Preliminary results on the feeding and gut content of flaccisagitta enflata in coastal areas of iÃáskenderun bay (northeastern mediterranean sea). Kahramanmara≈ü Süt√ßü ƒ∞mam √úniversitesi Tarƒ±m ve Doƒüa Dergisi. 21. 5. 765-771. 10.18016/ksudobil.406362",223,Tuba TERBIYIK KURT,2018,12/20/2023 12:14PM
2011,Cone,"Prevalence and intensity of gyrodactylus maculosi sp. n. (Monogenea) parasitizing gills of sculpin (oligocottus maculosus) in coastal british columbia, canada","Cone, D K; Roth, M. 2011. Prevalence and intensity of gyrodactylus maculosi sp. n. (Monogenea) parasitizing gills of sculpin (oligocottus maculosus) in coastal british columbia, canada",84,D. K. CONE1 AND M. ROTH2'3,1993,NA
1990,Adamson,"Prevalence and intensity of pseudodelphis oligocotti n. gen., n. sp. (Dracunculoidea; guyanemidae) in the tidepool sculpin, oligocottus maculosus (scorpaeniformes; cottidae)","Adamson, M. L.; Roth, Myron. 1990. Prevalence and intensity of pseudodelphis oligocotti n. gen., n. sp. (Dracunculoidea; guyanemidae) in the tidepool sculpin, oligocottus maculosus (scorpaeniformes; cottidae). The Journal of Parasitology. 76. 4. 509-514. 10.2307/3282830",85,M. L. Adamson and Myron Roth,1990,NA
1978,Van,Prey capture by pisaster brevispinus (asteroidea: echinodermata) on soft substrate,"Van Veldhuizen, H. D.; Phillips, D. W.. 1978. Prey capture by pisaster brevispinus (asteroidea: echinodermata) on soft substrate. Marine Biology. 48. 1. 89-97. 10.1007/BF00390534",33,"Van Veldhuizen, H.D., Phillips, D.W.",1978,NA
NA,NA,"Prey choice and habitat use by foraging black oystercatchers interactions between prey quality, habitat availability, and age of bird","Falxa, G. A. (1992). Prey choice and habitat use by foraging Black Oystercatchers: Interactions between prey quality, habitat availability, and age of bird. https://hdl.handle.net/2027/uc1.x48193",383,Falxa,1992,NA
1987,Lindberg,"Prey preference and seasonal predation by oystercatchers on limpets at san nicolas island, california, usa","Lindberg, David R.; Warheit, Kenneth I.; Estes, James A.. 1987. Prey preference and seasonal predation by oystercatchers on limpets at san nicolas island, california, usa. Marine Ecology Progress Series. 39. 2. 105-113",384,Lindberg,1987,NA
NA,NA,"Prey resource base of the tern and skimmer colonies at bolsa chica ecological reserve, orange county, and the western salt works, south san diego bay","Horn, M. H., P. A. Cole and W. E. Loeffler. (1996b). Prey resource base of the tern and skimmer colonies at Bolsa Chica Ecological Reserve, Orange County, and the Western Salt Works, South San Diego Bay. Carlsbad, CA: U.S. Fish and Wildl. Serv.",400,Horn,1996,"Horn, M. H., P. A. Cole and W. E. Loeffler. (1996b). Prey resource base of the tern and skimmer colonies at Bolsa Chica Ecological Reserve, Orange County, and the Western Salt Works, South San Diego Bay. Carlsbad, CA: U.S. Fish and Wildl. Serv."
2002,Costello,"Prey resource use by coexistent hydromedusae from friday harbor, washington","Costello, J. H.; Colin, S. P.. 2002. Prey resource use by coexistent hydromedusae from friday harbor, washington. Limnology and Oceanography. 47. 4. 934-942. 10.4319/lo.2002.47.4.0934",244,Costello and Colin,2002,NA
1974,Menge,"Prey selection and foraging period of the predaceous rocky intertidal snail, acanthina punctulata","Menge, Jane Lubchenco. 1974. Prey selection and foraging period of the predaceous rocky intertidal snail, acanthina punctulata. Oecologia. 17. 4. 293-316. 10.1007/BF00345748",192,Jane Lubeheneo Menge,1974,NA
2011,Onthank,Prey selection in octopus rubescens: possible roles of energy budgeting and prey nutritional composition,"Onthank, Kirt L.; Cowles, David L.. 2011. Prey selection in octopus rubescens: possible roles of energy budgeting and prey nutritional composition. Marine Biology. 158. 12. 2795-2804. 10.1007/s00227-011-1778-4",324,Onthank and Cowles,2011,NA
2018,López-Peraza,"Protocol for removal of the marine leech stibarobdella moorei (oka, 1910) from the two-spotted octopus, octopus bimaculatus (verril, 1883)","López-Peraza, Diana J.; Hernández-Rodríguez, Mónica; Barón-Sevilla, Benjamín. 2018. Protocol for removal of the marine leech stibarobdella moorei (oka, 1910) from the two-spotted octopus, octopus bimaculatus (verril, 1883). American Malacological Bulletin. 36. 1. 119-124. 10.4003/006.036.0105",170,"Diana J. L√≥pez-Peraza, M√≥nica Hern√°ndez-Rodr√≠guez, Benjam√≠n Bar√≥n-Sevilla",2018,NA
